word,count
র,509941
ন,399677
ক,374351
ত,327192
ম,227291
য,205035
ব,200939
ল,178814
স,177703
দ,175170
ছ,160312
আম,147240
প,143456
য়,106052
ট,93954
জ,92537
চ,85043
ই,82452
শ,74460
খ,74003
থ,68252
কর,66323
হ,65738
গ,63594
ভ,61096
ও,45522
ড,36665
ধ,36429
ষ,36160
এট,35072
আর,32916
ফ,29340
আপন,27797
আছ,27557
জন,25441
একট,25225
হয়,25018
ড়,24308
ঠ,21915
বল,21212
মন,19937
এই,19700
আমর,19640
পর,19560
অন,19198
হব,18179
করত,17298
হল,15282
এখ,13874
সব,13731
এখন,13281
বন,12520
কথ,12155
করব,11447
করছ,11362
ওয়,10929
এক,10867
রব,10240
যদ,10000
চল,9783
এব,9746
রত,9308
সম,9243
রক,9199
মত,8864
এস,8605
আস,8269
নত,7637
আগ,7582
এর,7365
ণ,7284
হচ,7131
ঝ,7110
ঘ,6983
হত,6761
রণ,6689
ইন,6303
মর,6288
ওর,6059
বলছ,6006
তর,5929
ধর,5728
উ,5676
খত,5411
একজন,5409
সত,5364
আব,5347
সময়,5345
বর,5327
কত,5224
বলত,5203
ধন,5170
আসল,5165
যব,5155
অ,4831
ওহ,4747
ঞ,4649
গল,4516
যখন,4472
মধ,4463
কব,4388
ওক,4376
বস,4350
পড়,4338
সর,4327
নয়,4296
ঙ,4114
কট,4098
রন,4012
কল,3969
উপর,3872
উন,3713
ওট,3687
এত,3633
কখন,3567
যই,3552
এ,3543
ঐ,3487
ইয়,3480
হয,3419
বছর,3363
লব,3312
রস,3292
দর,3291
সন,3262
ইল,3262
অস,3236
উচ,3193
অবশ,3175
আচ,3111
মহ,3102
দরক,3084
এমন,3055
রম,3039
লক,3024
যন,3008
য়গ,2995
আসছ,2957
পন,2956
সমস,2951
শন,2903
ভয়,2897
আল,2888
করল,2883
ইট,2855
রট,2818
ভব,2777
আজ,2755
এসব,2753
বড়,2750
ষণ,2741
বলব,2739
রপর,2603
শক,2599
রয়,2576
এগ,2571
ইক,2555
য়ন,2534
আসব,2503
ওখ,2468
রছ,2465
ইর,2452
অপ,2447
তব,2437
ঝত,2418
বলল,2357
পছন,2336
কম,2321
হয়ত,2276
গব,2272
অভ,2264
সক,2256
আশ,2236
পদ,2207
রথম,2173
নক,2117
অবস,2109
বই,2103
তখন,2095
লত,2090
মজ,2089
খছ,2062
গত,2055
ছন,2037
ঢ,2029
সবক,2022
রশ,2014
নট,1999
ওদ,1998
গর,1970
খব,1967
সপ,1931
ৎ,1924
অর,1914
ওই,1910
বপ,1879
দয়,1871
রল,1865
এন,1837
ইত,1823
রই,1815
এল,1792
উক,1784
আন,1778
মল,1760
যত,1753
হওয়,1746
পথ,1736
উঠ,1733
টর,1728
নব,1702
যক,1698
সবচ,1689
নর,1680
রও,1670
আসত,1663
উত,1645
গছ,1637
উদ,1598
সঙ,1595
বত,1582
যথ,1573
তন,1572
লন,1543
জলদ,1542
ওন,1530
আক,1514
এভ,1501
অত,1497
অফ,1496
হও,1494
এদ,1489
পত,1470
ঘর,1470
জর,1449
এরকম,1430
নই,1423
গন,1404
টন,1393
দরজ,1383
একদম,1339
পক,1316
ইচ,1311
সবসময়,1305
খল,1290
তত,1286
যবহ,1275
আত,1272
কয়,1268
হয়ন,1256
আয়,1252
নদ,1245
আ,1241
রহ,1239
সট,1231
অপর,1229
মস,1207
দক,1206
কন,1202
একব,1189
নন,1188
আহ,1187
যবস,1178
শব,1175
রদ,1167
ইব,1162
