word,count
ket,2603
ar,2573
eo,2116
da,2071
an,1804
a,1790
e,1680
ur,1436
ma,1260
eus,1131
ha,1087
o,1077
zo,1073
petra,908
gant,864
un,772
oa,741
din,721
ne,704
en,699
ya,634
bet,629
mat,599
se,560
vo,528
teus,502
n'eo,464
deus,457
amañ,454
mont,452
war,449
m,445
hag,423
evit,417
ra,412
met,401
bezañ,393
dit,391
ho,380
on,373
ran,371
er,369
out,341
ken,340
meus,334
c'hoant,331
neus,316
ober,307
na,304
rez,292
gwir,289
graet,287
neuze,287
deomp,284
perak,282
hon,281
mañ,273
me,272
all,263
te,261
re,261
ebet,259
piv,258
ret,254
gwelet,250
vit,249
ta,239
d'ar,239
lâret,233
chom,232
tu,230
unan,230
tra,229
ac'hanon,229
pa,228
em,228
oc'h,227
vont,223
vez,222
pezh,221
pep,211
lâr,211
anezhañ,209
al,208
hini,207
soñj,205
traoù,200
penaos,199
pelec'h,198
kuit,197
pe,194
goût,192
setu,191
netra,187
holl,186
peus,186
omp,184
anezho,184
vefe,182
deoc'h,181
oan,179
ouzh,178
ganit,169
rin,169
paotr,168
digarez,162
ni,156
he,156
ganin,153
n'on,150
letanant,148
ivez,147
maon,144
c'hoazh,142
dav,138
dezhi,136
fell,135
n'eus,135
d'an,134
maout,131
bremañ,131
dezhañ,130
dra,130
dre,130
deuet,128
marteze,127
n,127
ac'hanout,126
nemet,126
kaoc'h,125
bennak,125
vezañ,124
hor,122
kaout,120
lazhet,119
den,118
sell,118
ez,117
N'ouzon,114
kae,114
gwelloc'h,114
trugarez,113
gast,113
rit,113
tamm,113
moa,112
vat,111
lec'h,108
fall,108
gantañ,107
dont,106
aet,106
buan,105
ezhomm,105
ul,104
raio,104
amzer,103
komz,103
en-dro,102
paotred,101
Ale,101
kit,101
nann,99
ok,99
prest,98
hep,98
sur,98
laouen,96
echu,96
oar,96
Doue,95
welet,95
sikour,94
tout,94
tud,93
daou,92
dezho,92
ri,91
maez,90
int,88
ro,88
d'ober,87
benn,87
war-raok,86
anv,86
klask,86
oas,86
a-raok,85
Easy,85
kaset,84
d'am,84
penn,82
lakaat,81
betek,81
anezhi,81
marv,79
arabat,79
mamm,79
ac'hanomp,79
klevet,78
zoken,78
c'hast,78
forzh,77
peseurt,77
ouzhin,77
paouez,77
n'out,76
d'az,75
c'hoari,75
aon,74
faot,74
kas,73
atav,73
aze,73
eil,73
dud,72
aotrou,71
toa,71
stourm,71
dija,71
brav,70
soudarded,70
sot,70
kabiten,69
lakaet,69
c'hoarvezet,69
labour,68
gortoz,68
c'hwi,68
banne,68
goude,68
Salud,68
skarzh,67
abaoe,67
brezel,67
dreist,67
peogwir,66
soudard,66
veg,65
ac'hanoc'h,65
tont,64
a-benn,64
ganeoc'h,64
reomp,64
a-sav,64
sellet,64
iskis,63
kompren,63
doa,63
evel,63
arc'hant,62
kemer,62
revr,62
distreiñ,62
serjant,62
gouzout,62
z,62
gloazet,62
lazhañ,60
chomit,60
Company,60
serr,60
fouzhañ,60
kavet,60
plijet,60
marplij,59
deuit,59
gentañ,58
bez,57
pad,57
ganeomp,57
buhez,56
vel,56
roet,56
wech,55
dispar,54
tan,54
ganti,54
kevrenn,54
kollet,54
selaou,54
lez,54
soñjal,54
baotred,53
blam,53
reiñ,53
eno,53
eñ,52
bras,52
merc'hed,52
brein,52
cheñchet,52
kalz,52
tapet,52
paourkaezh,52
dra-se,52
c'hellan,52
nevez,51
emañ,51
deiz,51
du-se,51
a-du,51
cheñch,51
Lol,51
hoc'h,51
krediñ,51
gudenn,50
keta,50
dirak,50
c'hell,49
Pebezh,49
asambles,49
jeu,49
to,49
chef,48
sioul,48
pell,48
lak,47
fin,47
poent,47
belec'h,47
geo,47
vloaz,46
a-dreñv,46
kentañ,46
gêr,46
morse,46
devezh,46
reont,46
vel-se,45
voc'h,45
plac'h,45
h,45
Shaun,45
oamp,45
bed,44
goulenn,44
mignon,44
rae,44
n'oc'h,43
di,43
putenn,43
vi,43
maomp,43
goap,43
noz,43
fenoz,43
plij,42
vimp,42
peoc'h,42
Oh,42
n'o,42
Malarkey,42
ganto,41
sañset,41
edukatour,41
plijout,41
bev,41
vidout,41
