word,count
da,6419492
je,6325138
ne,3150315
se,3100767
i,2816224
u,2795178
to,2326066
sam,2198139
na,1570614
ti,1509496
mi,1323224
si,1319524
za,1299617
li,1204223
što,1107425
ja,1031265
su,926829
šta,906366
sa,873409
ali,872301
nije,797233
ovo,732579
te,723337
me,711498
samo,703806
od,683742
ga,669846
a,667148
bi,638507
kako,627225
o,587834
dobro,575312
ako,559032
smo,546393
sve,543678
kao,521666
će,489137
tako,471882
znam,459760
s,432484
mogu,428088
nisam,423914
pa,401600
ste,400650
redu,392009
biti,388112
bio,385245
on,369851
zašto,356283
još,353008
koji,350617
ću,343152
bilo,341886
nešto,338626
vas,327390
hvala,314570
kad,311425
iz,309563
mislim,303390
ima,296898
ovdje,296206
ih,292571
ili,285486
sada,281887
znaš,281029
moj,266057
onda,265201
do,263724
vam,260290
više,250551
možda,248405
nas,247727
rekao,247676
zar,245526
kada,242525
mu,241476
bih,239466
nema,238953
bila,234974
malo,232233
ovde,232232
mene,231890
ona,231204
treba,229501
molim,227705
hajde,221843
tebe,221247
ništa,220588
imam,213712
Hej,211247
tamo,208007
sad,203911
ni,199367
ko,198223
jesi,197957
nam,197891
gdje,197640
možeš,195825
tu,195289
želim,192486
zbog,190368
može,186845
jer,186421
vi,184755
nisi,180279
svi,179928
ljudi,178778
idemo,174511
stvarno,172715
ćemo,171562
po,171110
moram,169046
koliko,165700
jedan,162781
zato,161892
moja,154306
Oh,153796
ćeš,153790
misliš,151257
stvari,151246
gde,148338
baš,147813
koje,147238
nego,143760
bez,142295
dok,142258
ono,140286
već,136676
imaš,135030
oni,135005
ovaj,134638
reći,134070
ok,133638
joj,133252
gospodine,131125
naravno,130831
neće,130709
toga,129809
tvoj,129240
možemo,127862
imamo,127099
taj,126538
koja,126535
posao,126453
moje,123940
sto,123272
dana,123080
reci,122981
prije,122627
Zdravo,119819
moramo,119390
radi,119235
nikad,118959
žao,118263
tome,117547
dan,116386
kod,115870
nemoj,115708
želiš,115577
godina,114645
rekla,113935
put,113529
mama,113263
daj,113109
bolje,112640
neko,112102
mora,109551
sta,109453
mogao,109363
bože,108093
vidim,107416
jeste,106959
znači,105818
radiš,105466
hoćeš,104928
izgleda,104571
mnogo,104407
im,103284
uvijek,102282
meni,102216
moraš,102124
dobar,102037
volim,101428
bili,100963
tata,100026
svoje,99550
neću,99198
tko,98906
dva,98895
idem,98415
ce,98412
stvar,97114
g,97104
evo,93355
vremena,93332
nisu,92961
mislio,92834
bude,92121
vidi,91995
vrijeme,91980
njega,91612
danas,90842
kažem,90398
odmah,90204
znate,89703
imao,89417
život,89382
nikada,89213
tvoja,87547
kući,87455
ime,86629
zna,86388
puno,84690
neka,84644
tri,83739
sranje,82194
tobom,81619
tim,81196
upravo,80629
koju,79795
možete,79542
pre,78886
svoj,78047
uvek,78015
toliko,77789
idi,77247
svoju,77002
neki,75974
mnom,75852
tvoje,75660
jesam,75370
kaže,74478
ide,73867
oko,73611
god,73383
opet,73042
ove,72508
čemu,72131
radim,71885
jednom,71758
nismo,70348
čak,69917
vidimo,69743
sigurno,69525
žena,69132
hoću,69085
novac,68995
tebi,68949
trebalo,68404
nemam,67918
ta,67598
jako,67590
postoji,67098
vreme,67038
godine,66773
otac,66744
ovamo,66741
cu,66654
znao,66621
trebao,66201
puta,65194
dovoljno,64927
prvi,64920
veoma,64847
želi,64784
pomoći,64555
vidiš,64480
njih,64373
imate,63958
prema,63946
pravu,63844
dušo,63749
čekaj,63335
drugi,63141
odavde,63036
problem,62884
niko,62688
sutra,62478
slušaj,62338
jedna,61323
zajedno,60949
vrlo,60866
dosta,60816
sebe,60635
pogledaj,60465
dalje,60372
ova,60136
drago,59569
koga,59349
vrata,59260
dobra,58811
nakon,58792
kroz,58283
ma,58010
vidio,57022
došao,56689
brzo,56615
kažeš,56614
moju,56435
siguran,56431
pod,55851
njim,54995
nekoliko,54762
jednu,54473
vidjeti,54238
dođi,54201
način,54048
mogla,53977
svaki,53923
unutra,53758
gore,53394
ići,53366
uradio,53337
zaista,52945
neke,52743
par,52295
ovu,52205
izvini,52151
mali,52052
minuta,51947
dugo,51862
nama,51171
super,50953
nećeš,50944
desilo,50796
ćete,50403
protiv,50285
mislila,50241
naš,50060
ovog,49921
ponovo,49868
pravo,49844
mog,49729
isto,49689
momci,49395
noć,49368
ovako,49163
previše,49160
imaju,48992
mogli,48928
pusti,48838
prvo,48673
jedno,48604
naći,48460
vama,48195
vaš,48047
dogodilo,47950
loše,47775
znamo,47691
večeras,47622
preko,47590
mjesto,47169
osim,47138
kasnije,47011
ubio,46949
nadam,46757
ovom,46576
video,46497
imala,46380
pravi,46170
majka,46145
imati,46123
jednog,46058
budem,46000
čuo,45829
auto,45779
doći,45665
ljude,45423
čovjek,45072
tom,44903
niste,44499
broj,44392
teško,44356
vratiti,44063
pomoć,43989
dolazi,43873
one,43814
želite,43396
sviđa,43324
stani,43297
zove,43128
ruke,43034
budi,42983
Dakle,42860
istina,42726
radio,42619
znati,42562
naše,42253
veliki,42092
mislite,41919
jel,41911
dr,41808
imali,41569
ideš,41393
njegov,41330
misli,41181
kakav,41146
tip,41061
htio,40849
mrtav,40840
ubiti,40730
uz,40725
oprosti,40499
onaj,40392
vaše,40380
izvinite,40312
dešava,40219
netko,39988
pet,39946
rekli,39732
nju,39669
kuće,39586
prijatelj,39396
raditi,39294
lepo,39201
dolara,39172
čini,39158
zapravo,39064
vezi,39046
iza,38967
čovječe,38861
dao,38816
bit,38800
novi,38637
tog,38501
hoće,38497
dobiti,38350
ju,38326
prestani,38325
trebali,38323
ovim,38136
vrati,37830
otići,37803
lijepo,37712
uzmi,37625
jos,37364
svojim,37336
zasto,37293
svog,37273
no,36964
oprostite,36961
sebi,36682
trebala,36653
nekoga,36624
tvoju,36598
sin,36479
trebam,36408
veze,36309
posla,36277
drugo,36174
nesto,35875
života,35832
njima,35778
nazad,35733
jednostavno,35488
dobio,35300
e,35221
govori,35123
l,35099
morate,35066
budeš,34989
poput,34981
otišao,34962
uraditi,34921
znala,34819
vaša,34711
priča,34659
srce,34595
pitanje,34448
nekog,34412
ipak,34321
bismo,34293
sama,34248
Halo,34243
problema,34121
voli,34090
briga,33994
spreman,33796
gotovo,33773
njom,33716
učiniti,33669
događa,33648
ćao,33558
radimo,33542
biće,33526
skoro,33453
van,33440
drži,33406
sati,33352
gledaj,33266
dati,32996
cemo,32951
mesto,32925
uh,32879
vidite,32859
mom,32851
ovoga,32841
brini,32807
žene,32769
strane,32722
nitko,32631
dole,32566
došli,32448
jutro,32445
sjajno,32404
sigurna,32363
bog,32360
tačno,32282
njemu,32275
uskoro,32265
dio,32084
najbolje,32073
bar,31976
jedini,31934
mala,31709
čovek,31507
oca,31450
dvije,31427
znas,31386
posle,31330
pazi,31153
grad,30937
razgovarati,30913
prijatelji,30857
njegova,30836
dijete,30778
trenutak,30613
glavu,30475
potpuno,30393
važno,30316
sat,30268
stari,30186
rade,30165
nemaš,30151
pitam,30072
ozbiljno,30069
vjerujem,29972
odlično,29808
ljubav,29791
ostati,29765
morao,29732
stalno,29731
tek,29583
Bok,29493
verujem,29484
hteo,29450
naša,29450
tada,29407
druge,29238
kakva,29179
radite,29154
pola,29094
uredu,29066
napraviti,28943
ideja,28891
ranije,28889
velika,28868
nemamo,28757
sata,28741
ponekad,28674
našao,28652
došla,28623
polako,28619
ženu,28612
čega,28589
jasno,28570
kuću,28505
blizu,28451
najbolji,28446
lako,28438
napravio,28432
pred,28337
znaju,28319
ruku,28314
ovoj,28266
između,28196
brat,28178
svih,28121
prava,28058
ljudima,27927
osoba,27891
kraj,27867
pretpostavljam,27850
mojoj,27711
plan,27699
ikada,27660
policija,27612
pričaš,27549
životu,27421
brod,27419
tvog,27419
moći,27417
valjda,27288
dvoje,27192
vise,27168
oči,26955
vec,26911
kažu,26871
lice,26863
nećemo,26834
novca,26740
moji,26732
pored,26678
oružje,26639
dve,26563
draga,26512
odakle,26475
živi,26452
nece,26306
vodi,26292
noći,26287
pojma,26285
vidjela,26273
razumijem,26240
kraju,26198
voliš,26141
gospodo,26124
izgledaš,25952
zvuči,25660
svom,25484
žele,25419
slučaj,25323
sina,25322
vratio,25134
laku,25090
čudno,25060
čoveče,24979
trebaš,24963
slučaju,24917
pištolj,24884
svega,24856
ha,24848
biste,24828
znaci,24739
poslije,24670
Isuse,24661
mozda,24642
manje,24614
dolje,24566
vjerovati,24519
sobu,24454
četiri,24451
čujem,24411
momak,24323
ostani,24227
nje,24153
smrt,24114
jesu,24062
prijatelja,23991
gospođo,23928
uradi,23813
takođe,23806
daleko,23804
svima,23774
pitanja,23684
spremni,23622
hoćete,23600
vode,23573
uzeti,23565
dajte,23514
zovem,23480
prilično,23415
ikad,23394
trebamo,23370
šanse,23334
sobi,23332
razlog,23254
smrti,23131
uradim,23104
izgubio,23080
ispod,23079
Aha,23072
mojim,22992
telefon,22965
htjela,22913
rat,22841
istinu,22798
nista,22756
govorim,22731
nemojte,22662
jebeni,22626
neku,22615
kola,22539
drugog,22451
našli,22443
kojeg,22399
gradu,22371
dečko,22347
ovi,22331
razumem,22238
bile,22142
šest,22071
moguće,22032
sine,21993
poruku,21950
jebi,21941
njen,21930
potrebno,21908
ovome,21799
sinoć,21670
učinio,21657
jebeno,21648
sestra,21619
ispred,21539
cijeli,21535
zaboravi,21517
njoj,21501
dete,21475
sastanak,21449
kapetane,21366
uopšte,21283
verovatno,21283
želio,21246
čula,21237
volio,21226
mozes,21223
umro,21211
deo,21196
dragi,21166
jedina,21158
svijet,21150
nekako,21124
jedino,21049
moglo,21038
dame,21038
igra,21029
uzeo,21016
njegove,21009
zvao,20915
dođe,20869
krv,20816
mrzim,20793
tražim,20730
ovih,20698
nekim,20682
pokušavam,20641
recite,20641
otvori,20563
otišla,20489
dali,20458
putu,20403
san,20348
necu,20338
čim,20337
govoriš,20331
točno,20260
svim,20251
sva,20220
pogledajte,20173
oboje,20173
ostavi,20169
zemlji,20165
uradila,20135
divno,20080
kome,20050
smiri,20024
zemlju,19995
ljubavi,19990
želimo,19877
iako,19824
boli,19779
tvom,19752
zelim,19718
brate,19710
bojim,19705
Jack,19679
pronaći,19594
prva,19589
svojoj,19559
drugu,19531
pitao,19461
kim,19461
prijatelju,19421
moze,19401
devojka,19386
piće,19379
svijetu,19359
djevojka,19345
sami,19333
ostavio,19291
morati,19269
poslu,19262
takav,19162
isti,19092
druga,19081
eto,19060
osjećam,18982
videla,18969
deset,18942
niti,18856
ostali,18841
kuća,18814
čuješ,18766
čovjeka,18748
film,18690
onog,18690
vidjeli,18615
miru,18609
nastavi,18589
negdje,18587
poziv,18548
postoje,18513
nikoga,18488
pomognem,18464
Ah,18441
dobre,18429
njegovo,18424
kuci,18401
svako,18361
barem,18359
lud,18358
poslao,18342
vjerojatno,18255
kakve,18233
sretan,18194
kraja,18129
ostalo,18096
našu,18070
napolje,18004
pokušao,17957
odem,17912
pričam,17902
razloga,17834
spremna,17814
traži,17806
grada,17765
izlazi,17682
pitanju,17681
budu,17629
muž,17577
pomozi,17470
tvojim,17468
tih,17461
zemlje,17451
idite,17442
voleo,17434
vašu,17427
kojoj,17427
mjesta,17425
doktor,17387
nova,17366
mrtva,17363
natrag,17342
svakog,17341
drugom,17317
krevet,17310
koristi,17290
znali,17278
njegovu,17257
vani,17250
hajdemo,17198
brže,17083
tražio,17079
krvi,17059
pošto,17037
ces,17013
New,17005
jedva,16967
brata,16958
budemo,16931
ujutro,16866
školu,16811
vratim,16804
ajde,16740
trebaju,16704
dolaze,16699
stavi,16675
red,16614
živ,16609
pričati,16600
porodica,16591
noge,16589
djeca,16574
važi,16544
svakom,16540
dala,16524
dobri,16515
zanima,16440
djecu,16423
posebno,16415
mislis,16397
našeg,16353
tipa,16344
bas,16332
godinu,16321
policajac,16313
ostaviti,16297
dolazim,16274
također,16272
htela,16269
kažete,16259
moraju,16221
čeka,16197
kurac,16194
sjećaš,16191
stan,16188
shvatio,16166
dobili,16162
jesmo,16157
pravila,16148
priču,16116
riječ,16112
umrijeti,16085
jutros,16076
velike,16056
odgovor,16041
roditelji,16038
svetu,16018
majku,15978
priliku,15978
zaboravio,15976
napad,15887
nedelje,15863
slušajte,15858
boga,15854
tvojoj,15848
dobila,15844
zbogom,15843
idu,15835
bitno,15835
strani,15800
zabavno,15765
pustite,15752
misle,15741
nove,15710
obitelj,15706
nosi,15699
bolji,15685
sedam,15651
odeš,15640
dovraga,15631
uradiš,15615
sobom,15589
zadnji,15516
prokletstvo,15516
toj,15513
piše,15504
mojih,15486
zao,15465
hranu,15464
pitati,15422
gospodin,15418
sigurni,15412
glavni,15407
devojke,15405
kunem,15307
svakako,15236
time,15224
gdine,15196
trenutno,15178
tijelo,15176
tvoji,15155
mjestu,15122
videti,15121
radila,15026
dom,15025
zatvor,15018
kralj,14990
policiju,14989
cemu,14989
večeru,14957
ceo,14952
među,14944
odlazi,14920
čuli,14917
the,14912
doktore,14852
poznajem,14832
vodu,14832
miliona,14811
zoveš,14798
godinama,14759
negde,14755
konačno,14750
postao,14747
obično,14730
gđo,14726
usta,14695
radili,14685
k,14674
да,14661
morala,14629
hoćemo,14617
iskreno,14611
kriv,14604
vrsta,14604
stara,14600
savršeno,14563
imas,14556
požuri,14556
ode,14544
pustiti,14537
osećam,14490
zatvoru,14485
svet,14481
školi,14478
imena,14463
ka,14462
kojima,14458
sjećam,14400
bogu,14385
nekad,14371
prošlo,14362
vašeg,14320
kuda,14309
slike,14293
gledam,14290
ceš,14276
cekaj,14219
vjerovatno,14192
loš,14150
veliku,14138
počeo,14123
kasno,14120
soba,14108
stigao,14055
uradili,14053
jebote,14051
upoznao,13990
gledati,13975
vole,13969
strašno,13962
veče,13960
odvesti,13957
nećete,13935
tokom,13932
John,13923
spusti,13889
um,13887
kojim,13884
dupe,13880
dođavola,13806
šef,13799
želeo,13789
našla,13777
glas,13763
ulazi,13759
novu,13726
znak,13718
sranja,13659
glave,13658
hocu,13644
otišli,13637
uopće,13615
onoga,13594
zovi,13588
umrla,13570
drugim,13546
sliku,13536
cak,13524
ustvari,13515
prošle,13513
greška,13475
čuti,13455
Frank,13452
razgovor,13451
smisla,13451
izbora,13444
sedi,13434
čekajte,13431
onih,13416
seks,13409
izaći,13388
zabavu,13386
rođendan,13381
šefe,13351
inače,13349
društvo,13347
sreće,13338
porodicu,13336
obećavam,13321
zemlja,13308
Mike,13286
mozemo,13270
djevojke,13268
smiješno,13263
sekundi,13261
uradimo,13251
jest,13250
kreni,13230
boze,13221
oče,13183
Charlie,13103
pas,13092
ideju,13091
drugih,13087
stranu,13087
leđa,13086
shvatam,13071
hoces,13050
uslugu,13046
cijelu,13037
zovu,13032
čoveka,13025
vraćam,13023
iznad,12994
pokušaj,12982
rukama,12953
osam,12951
javi,12938
nemoguće,12937
pare,12913
mjeseci,12911
deca,12910
videli,12905
potrebna,12901
nemate,12895
živim,12888
pogrešno,12866
kapetan,12860
izgubili,12860
završio,12816
njena,12789
ovuda,12788
kladim,12780
sistem,12777
kaži,12760
drugačije,12724
jedne,12707
poklon,12691
nekada,12690
često,12677
ubije,12674
svaka,12669
smeta,12660
mislili,12648
mesta,12637
informacije,12615
druže,12613
šteta,12607
radis,12586
kakvo,12585
odemo,12583
kojem,12541
daje,12516
njihove,12513
rad,12508
napravila,12500
d,12495
izbor,12447
