word,count
you,89295883
the,77561774
I,69103488
to,58307307
a,49693281
it,46595663
that,35077052
and,34994501
of,30171011
in,25045635
is,25042803
what,24350562
me,22763662
this,20197227
he,18338748
for,17522883
we,17375991
on,17331284
my,17085841
your,16511462
have,16139340
no,15837159
I'm,15654849
do,15406558
was,14664281
not,14636139
be,14476775
don't,14459747
are,14386189
know,13873222
with,12838155
all,12676977
but,12066152
just,11762451
so,11455832
here,11137905
there,10971190
get,10575174
like,10054839
go,9593091
right,9518658
out,9090115
if,8969287
you're,8948597
she,8925196
can,8919530
up,8766326
about,8596574
him,8595788
at,8152208
now,8075800
Oh,7907320
one,7878975
come,7819767
they,7813062
yeah,7514123
got,7330154
how,7287701
her,7255941
well,7183195
want,6706094
will,6534252
think,6384200
see,6114530
good,6090567
let,6028560
did,5994109
as,5909093
who,5857607
from,5766324
why,5750972
his,5709656
okay,5461008
yes,5245586
when,5128292
going,5125615
back,5101112
time,4960244
I'll,4957093
an,4925077
us,4838943
gonna,4811128
look,4751151
them,4712625
where,4596919
take,4592202
man,4517983
were,4437646
can't,4411720
would,4404348
been,4391159
hey,4346093
or,4345818
then,4201445
had,4160120
tell,4133088
our,4119886
some,4076754
say,3941285
need,3863410
really,3859777
we're,3797291
could,3766675
didn't,3717438
down,3667598
something,3633860
by,3620903
way,3543714
more,3448090
too,3427810
make,3375907
has,3372645
never,3286872
I've,3249860
over,3123852
little,3072804
very,3011381
people,3007403
please,2982509
sorry,2978714
only,2952068
because,2907250
off,2893241
mean,2872881
give,2830194
said,2778981
love,2741716
thank,2691290
should,2689270
any,2673140
am,2672747
two,2660396
doing,2604723
thing,2500190
sure,2474057
even,2455876
much,2448719
Mr,2405789
help,2402282
these,2365784
god,2331096
sir,2304984
find,2249979
into,2240952
anything,2203271
still,2191615
first,2160384
nothing,2143444
life,2122992
uh,2119998
they're,2088504
day,2075568
work,2062865
wait,2058980
maybe,2058403
stop,2044823
call,2041046
before,2026079
again,2019620
their,2005213
put,1965361
talk,1959343
than,1949012
other,1920630
away,1911480
thought,1908634
night,1903338
home,1873163
after,1861205
must,1849254
those,1846197
great,1839707
last,1822572
keep,1816070
better,1793231
told,1773877
everything,1754259
new,1731605
long,1714968
things,1706553
won't,1684028
you've,1679324
always,1667967
does,1661681
around,1645340
guy,1643511
name,1641925
ever,1622793
years,1617562
we'll,1612001
guys,1605580
leave,1596152
doesn't,1595237
I'd,1582109
money,1545092
place,1524811
feel,1489200
father,1483021
made,1475744
old,1462614
believe,1452038
big,1439239
you'll,1433847
done,1425368
isn't,1423130
fine,1408014
nice,1391101
through,1390359
stay,1386650
every,1385584
coming,1377851
lot,1372060
hello,1367947
which,1367828
someone,1366462
girl,1359653
kind,1355495
kill,1339461
thanks,1336792
shit,1330564
three,1321091
listen,1316900
left,1313423
hear,1310484
wanted,1308174
house,1301272
enough,1299024
wrong,1295367
bad,1294369
world,1293312
happened,1285104
may,1284904
being,1271236
understand,1271142
course,1270991
remember,1270759
fuck,1270031
dad,1258752
might,1250942
another,1245138
ok,1245036
dead,1242587
hell,1235259
came,1225202
own,1218798
talking,1211184
mother,1205897
ask,1192102
else,1174910
fucking,1174169
today,1169367
car,1161402
