word,count
la,20161
mi,17510
vi,15193
ne,12113
estas,12040
kaj,7611
ĉu,6498
de,6419
ni,5923
al,5870
en,4617
li,4220
ke,3901
por,3379
ĉi,3288
tio,2807
sed,2674
ili,2525
kiel,2398
tie,2396
vin,2258
min,2109
pri,2084
mia,1996
jes,1989
kun,1952
kio,1931
estis,1928
kion,1904
ĝi,1873
povas,1810
kiu,1767
via,1695
tiu,1693
ŝi,1588
ĝin,1572
volas,1547
se,1534
tion,1468
bone,1462
havas,1428
do,1405
pli,1332
nur,1330
nun,1312
oni,1298
scias,1222
kial,1159
lin,1086
devas,1075
el,1029
kie,989
kiam,984
unu,910
tiel,897
ja,851
sur,850
jen,846
jam,835
da,826
ankaŭ,825
nu,818
pro,789
tre,786
per,776
ĉiuj,769
vian,756
ilin,743
diris,737
estos,737
aŭ,731
je,729
dio,712
tiun,701
Ho,688
iru,685
nin,658
sinjoro,644
nia,643
ankoraŭ,640
ĉar,638
mian,619
dum,611
esti,598
ĉio,596
plu,594
dankon,579
eĉ,577
venu,572
vere,569
neniam,548
diras,546
ĝis,542
homoj,540
eble,534
ion,531
tiuj,527
iu,517
du,507
fari,499
antaŭ,482
faris,481
ol,481
post,478
tien,476
ĉiam,475
ĉe,472
bona,465
bezonas,458
plej,448
faras,446
kia,444
ĉion,444
tiom,443
rigardu,443
patro,431
bonvolu,430
certe,429
bonan,425
tuj,423
diru,422
kiuj,412
tro,403
lia,396
vivo,391
sen,389
vidis,389
paĉjo,385
poste,385
pardonu,385
saluton,380
tempo,374
neniu,374
panjo,373
mem,367
atendu,362
ŝin,361
tute,361
kiom,360
vidas,358
lasu,352
ci,344
pensas,342
estu,340
kiun,339
viaj,338
ek,336
laŭ,335
s-ro,326
okazas,324
okazis,323
diri,321
faru,321
multe,318
iom,318
for,317
venis,317
hodiaŭ,316
nenion,316
tiam,311
homo,310
petas,310
io,306
estus,301
komprenas,300
mondo,297
alia,297
miaj,296
ha,295
granda,292
tamen,289
nenio,288
ĉiu,278
iras,275
donu,275
vidi,269
kien,269
rapide,267
iri,264
sian,263
jaroj,258
ŝatas,256
patrino,256
venas,251
havis,251
kontraŭ,248
viajn,248
aliaj,246
povus,245
parolas,242
tri,241
denove,241
tagon,241
niaj,240
volis,239
bela,237
eblas,231
ajn,231
kredas,228
tia,228
sia,227
sinjorino,226
cxu,226
aŭskultu,225
Cervo,224
rajtas,224
ĝuste,224
faros,223
kara,222
prenu,222
unua,221
arbaro,218
nek,218
sankta,218
restu,216
sin,216
ekzistas,215
sola,214
morgaŭ,214
filo,213
ĉiujn,212
konas,212
kune,210
opinias,209
iros,208
tuta,206
vidu,201
He,200
ĉesu,198
gravas,197
timas,196
ŝajnas,195
helpu,194
alian,193
infanoj,190
nomo,188
trovis,188
sentas,187
afero,185
necesas,185
vivas,183
knabo,181
viro,181
inter,180
venos,180
ekde,180
iam,179
morto,176
preskaŭ,174
tra,174
paroli,174
simple,174
amas,173
povis,172
tiujn,172
longe,172
povos,171
vivon,171
tago,170
mortis,169
pensis,169
amiko,168
baldaŭ,168
devos,168
Hej,167
bedaŭras,167
kompreneble,167
sub,166
fartas,165
tutan,165
frato,164
foriru,164
nian,161
tero,159
edzino,159
revenos,159
helpi,159
bonege,157
haltu,156
unue,155
domo,155
antaŭe,155
loko,154
iun,154
atentu,153
vera,152
reĝo,152
sciis,151
aspektas,150
aŭdis,150
milito,149
deziras,148
kvazaŭ,148
laboro,148
devus,148
certas,145
virino,145
aŭdas,145
tempon,144
amikoj,144
zorgu,144
mortos,143
knabino,143
sufiĉas,142
malfermu,142
hejmen,141
ordo,141
memoras,140
nova,140
sufiĉe,140
ŝia,140
fratino,139
kapo,138
bonvole,137
mortigi,137
fino,135
miajn,135
a,134
lando,133
amo,133
kiujn,132
gvidanto,131
komprenis,130
iomete,130
moŝto,130
atendas,128
ĵus,127
akvo,126
multaj,126
lian,126
Peppino,122
iris,122
kapablas,121
Eboshi,120
vojo,119
manĝi,119
malbona,118
signifas,118
manĝu,118
restos,117
monon,117
verŝajne,116
scii,115
kvin,115
malbone,114
almenaŭ,114
tial,113
lasta,113
æu,112
koro,112
pravas,112
okuloj,111
finfine,111
dek,111
forgesis,111
l,111
barono,110
mono,110
Ashitaka,110
malpli,110
restas,109
damne,109
parolu,109
restis,108
nokton,108
horo,108
niajn,108
ilia,107
grava,106
perdis,105
foriri,105
tagoj,105
mankas,105
pretas,105
okazos,104
viroj,104
mortigos,103
vivi,103
homojn,102
decidis,102
donis,102
apud,101
liaj,101
petis,101
urbo,100
morti,100
ĉielo,99
resti,99
ege,99
ku,99
veni,99
devis,98
bonas,98
sidiĝu,98
eniru,97
trovi,97
Iŝan,97
siajn,96
vidos,96
preni,96
laboras,96
familio,96
pordon,96
diros,95
princino,95
momenton,95
alvenis,94
tiaj,94
juna,94
silentu,93
temas,93
lernejo,93
prenis,93
filino,93
kvar,93
kelkaj,93
hejme,93
fakte,93
virinoj,92
jaro,92
s-ino,92
nepre,92
rigardas,91
traduko,91
same,91
havi,91
Milady,90
revenis,90
mortigis,90
edzo,90
Okkoto,90
loĝas,90
krom,89
aferoj,89
laboron,89
havos,89
grandan,89
ŝipo,89
lo,89
sukcesis,89
serĉas,89
kapitano,88
Pablo,88
infano,88
nomiĝas,88
ekstere,87
iuj,87
tenu,87
kompreni,87
neniun,87
fajro,87
provu,87
dua,86
permesu,86
avinjo,86
donos,86
facile,86
daŭre,85
Nederlanda,85
rigardi,85
jarojn,85
donas,85
Chico,85
Haŭl,85
malfrue,84
Mak,84
nokto,84
æi,84
stulta,83
ŝatus,83
alportu,83
trovos,83
vivu,83
kapon,83
kuru,83
planedo,82
problemo,82
homa,82
knaboj,81
esperas,81
prenos,81
kamarado,81
trankviliĝu,80
novan,80
minutoj,80
eliru,80
multajn,79
parolis,79
funkcias,79
fine,79
volus,79
sukcesos,79
nomon,78
revenu,78
manĝas,78
diable,78
ĉirkaŭ,78
Billy,77
montru,77
reen,77
momento,77
labori,77
suno,76
foriris,76
hejmo,76
eta,76
manoj,76
onklo,76
lokon,76
rapidu,75
ĉiun,75
manojn,75
trankvila,75
Tano,74
lupo,74
iliaj,74
estro,74
libera,74
belega,74
doloras,74
aliajn,73
eniri,73
sama,73
forgesu,73
muziko,73
vesperon,73
supre,73
ambaŭ,73
pardonon,72
gepatroj,72
demandi,72
pastro,71
okulojn,71
akvon,71
adiaŭ,71
supren,71
vojon,71
ludi,71
konservu,71
stultulo,70
Sofi,70
ideo,70
Mej,70
prefere,70
ironworks,70
korpo,70
pordo,70
foje,70
hieraŭ,70
matenon,69
metu,69
intencas,69
sango,69
aŭdi,69
celas,69
ricevis,69
atingi,69
feliĉa,69
eliri,68
idioto,68
daŭrigu,68
skribis,68
frue,68
alportis,67
Fantoci,67
kelkajn,67
alvenas,66
reiru,66
Macario,66
doni,66
forta,66
helpos,66
si,66
oro,66
libro,66
lasis,66
ĝojas,66
flugi,65
malaperis,65
animo,65
similas,65
helpon,65
trankvile,65
forlasis,65
chu,65
ve,64
falis,64
antaŭen,64
reveni,64
aferojn,64
siaj,64
dormi,64
ŝtelis,64
mondon,64
fero,63
ofte,63
aĉeti,63
kies,63
nokte,63
foriros,63
revido,63
fojon,63
scipovas,63
demandas,63
Ah,62
terura,62
lumo,62
arbo,62
patron,62
malamas,62
atendi,62
timu,62
Turf,62
preta,62
ekzemple,62
sendis,61
dormas,61
polico,61
tria,61
ĉie,61
ricevos,61
paco,61
lasos,60
ŝajne,60
terure,60
celo,60
caro,60
veron,60
staras,60
zorgas,60
boars,60
infanojn,60
demandis,59
danĝero,59
lupoj,59
sekvu,59
vento,59
komencis,59
Elnederlandigis,59
dormis,59
bonvenon,59
freneziĝis,59
ĉeestas,59
tian,59
ludo,58
vero,58
kian,58
lasi,58
longa,58
aĵoj,58
eniris,58
soldatoj,58
timo,58
popolo,58
ĉi-tie,58
dankas,58
propra,57
vizaĝo,57
sorĉistino,57
rolo,57
