word,count
on,4107552
ma,3486086
ei,2974906
sa,2318109
see,2286387
et,1995242
ja,1850798
ta,1712107
kui,1252021
seda,1029315
kas,982393
me,882860
mis,872405
mida,783744
pole,753634
jah,648551
aga,627426
oma,618354
siis,609591
nii,582662
olen,574936
ära,569909
oled,560636
oli,547440
siin,537451
mu,533971
nad,532200
kõik,527433
selle,491892
mind,484194
midagi,479650
te,436316
mul,423540
mulle,408301
kes,396427
minu,395362
nüüd,379953
su,379778
sind,376687
kuidas,359222
ole,349657
ka,336093
mitte,330751
välja,327107
tema,325913
mina,324965
nagu,322343
sinu,319805
sulle,302842
veel,302326
miks,301328
tagasi,290071
meie,290010
või,286490
sul,280136
küll,275378
hea,268200
sina,268181
teda,256816
väga,255859
saa,253788
seal,247265
teie,244624
üks,234410
lihtsalt,228896
kus,225217
need,224538
oleks,209852
siia,205572
kuid,204067
palju,201798
tead,198076
palun,197588
eest,196893
tea,196249
teha,195687
hästi,194413
pärast,191538
tule,191218
sellest,188848
tean,188476
meil,186725
olla,183747
oleme,183480
juba,182965
Tere,179783
olgu,177825
keegi,177549
isa,167024
ainult,166897
peale,163100
neid,161745
tahad,158037
pean,156449
tahan,154813
ju,154620
tänan,153432
kunagi,152361
talle,151243
just,148964
vaata,148186
mees,146027
sest,142644
tee,142228
maha,140403
minema,138779
teed,138304
saab,136469
meid,134393
tal,134355
läbi,133330
üle,132327
teid,131601
ema,130909
asi,130452
enam,128748
kohe,127688
vaja,126523
läheb,125865
olete,124257
Oh,123905
vaid,123642
olnud,123479
arvan,123343
pead,123242
koos,122163
vastu,121939
tõesti,121784
enne,120215
mine,120017
tuleb,119217
taha,118085
jumal,116245
aru,114841
Hei,114833
üles,114452
olema,114035
aega,113676
anna,113204
nende,113198
peame,112235
kaks,111585
võib,111182
täna,110811
korras,110726
saan,109852
minna,108751
sisse,106774
kinni,105231
sinuga,104312
ise,103790
isegi,103658
elu,103543
kogu,103157
olid,102764
öelda,102279
ikka,102254
end,102090
valmis,99514
pea,98738
lähme,96078
võta,95147
peaks,95100
jaoks,94979
vabandust,94545
teile,94530
siit,94012
muidugi,93488
teada,93207
saad,93111
lase,93104
alati,92858
rohkem,92763
eks,92358
ning,92211
ütles,91913
kurat,91656
saada,90280
raha,89619
ütle,89411
kohta,87238
praegu,87190
alla,87183
sellega,86726
liiga,86706
oota,85904
sinna,85471
minuga,85293
juurde,84383
lahti,83173
kuhu,82421
arvad,81931
aeg,81578
temaga,80858
rääkida,80675
selles,80231
kindel,79319
olin,79270
näha,79264
teil,78986
parem,78736
tore,78506
korda,78362
peab,78200
edasi,75427
juhtus,74369
ette,73980
head,73867
kuule,73325
õigus,73231
surnud,73101
nimi,72948
suur,72915
meile,72619
polnud,72532
kõige,72055
ütlesin,71981
ühe,71357
ega,71331
tegema,71322
hr,70151
inimesed,69940
teen,69540
teeb,68957
meeldib,68856
aitäh,68603
näinud,68142
iga,67382
kahju,67301
koju,67181
tegelikult,66570
võin,65882
ilma,65671
lähen,65617
räägi,64759
sain,64144
kuni,63487
teeme,63271
teinud,63213
näed,63115
kokku,62760
saanud,61426
päris,61147
härra,61103
asja,61029
kaasa,60848
enda,60691
ennast,60648
viga,60345
aastat,60304
vist,60279
toimub,60188
noh,59627
mingi,59324
sama,59098
kord,58697
pane,58688
väike,58230
said,58018
võid,57985
las,57911
kolm,57544
naine,57533
saame,57483
läks,57406
tähendab,57163
tahab,56956
arvasin,56598
söör,56172
sai,55751
mille,55671
neile,55667
ongi,55053
poiss,54746
kuradi,54401
töö,54126
all,54102
poleks,54044
võib-olla,53453
kaua,53243
sõber,53231
kallis,53082
kätte,52864
õige,52654
suuda,52441
ütlesid,52347
tegid,52295
päeva,52136
terve,51689
jälle,51483
aidata,51131
äkki,51064
kena,50987
tuli,50904
neil,50541
usu,50355
täpselt,50316
kindlasti,50133
natuke,49935
ehk,49638
ärge,49475
kõike,49249
armastan,49110
kedagi,49047
üldse,48898
millest,48879
selline,48579
keda,48537
tegi,48316
mõned,48266
tulla,48229
kust,48140
hakkama,48131
sellele,47851
tulen,47665
endale,47621
ajal,47457
teine,47080
päev,46683
asju,46315
tüdruk,46155
võtta,46101
mingit,45655
asjad,45647
vana,45438
kuna,45239
kuula,45223
selleks,45191
jäta,44759
tundub,44242
juures,43961
viis,43849
tunne,43819
ütlen,43811
hoia,43538
lõpeta,43242
No,42682
nägin,42616
tunnen,42432
selge,42397
näen,42261
auto,42251
elus,42024
kullake,41939
tegin,41908
räägid,41732
poole,41487
pidanud,41391
abi,41376
võiks,41247
järgi,40877
sir,40346
sel,40262
alles,40202
tulge,40159
järele,39972
milline,39906
teate,39892
homme,39868
saaks,39786
hiljem,39742
tööd,39671
sinust,39632
räägin,39546
sellepärast,39531
raske,39507
mõtlesin,39491
tahtsin,39441
jää,39431
aitab,39419
tappa,39397
uuesti,39198
ees,39060
varem,39048
taga,38899
ilmselt,38678
osa,38644
eriti,38614
peaksid,38555
suurepärane,38520
läinud,38424
teab,38366
peal,38177
seega,38109
võimalik,38076
lähed,38049
okei,37943
neist,37936
millal,37829
aasta,37578
poolt,37429
esimene,37088
kiiresti,36928
surma,36676
koht,36563
maja,36358
minust,36332
teist,36160
väljas,36032
vahel,35851
sellist,35827
eemale,35824
mehed,35746
parim,35721
mõtlen,35621
käia,35418
poeg,35233
samuti,35038
õhtul,35035
ainus,35020
maailma,35003
sellel,34940
kell,34878
paar,34829
võtan,34744
uus,34619
rääkima,34514
ümber,34317
minge,34107
vähemalt,33996
pool,33992
näe,33991
vaadake,33929
kelle,33686
piisavalt,33498
täiesti,33494
ilus,33486
vajan,33393
jääb,33376
mr,33347
Jack,33335
ah,33316
inimesi,33300
loodan,33279
tõsi,33199
peaaegu,32986
andeks,32983
võime,32892
kapten,32884
oleksin,32709
dr,32691
iganes,32646
leida,32570
olemas,32520
lapsed,32506
tohi,32263
tõsiselt,32216
panna,31983
sealt,31962
tehtud,31895
vait,31748
Vabandage,31678
John,31677
saama,31654
üksi,31496
oleksid,31474
võibolla,31437
kõiki,31243
võimalus,31210
lähe,31140
heaks,31065
peaksin,30984
poisid,30962
viimane,30943
tahtnud,30941
veidi,30801
temast,30658
lugu,30580
aja,30563
issand,30337
anda,30172
sõbrad,30048
vend,29946
proua,29942
näeme,29928
kuulnud,29904
sees,29898
käes,29856
muretse,29730
probleem,29698
laps,29499
tahaks,29329
lõpuks,29302
eile,29251
jääda,29208
paistab,29168
inimene,28984
jama,28849
meeldi,28812
öelnud,28672
ütleb,28655
hommikul,28580
hakkab,28545
ringi,28453
usun,28292
annan,28239
minutit,28138
tunned,28125
täis,28115
neetud,28104
läheme,28062
nalja,28019
mõte,28008
persse,27895
kuulsin,27612
muud,27609
varsti,27557
sõna,27370
tulid,27305
otse,27300
juhtub,27176
meiega,27007
hoida,26975
kodus,26873
hetk,26821
võtke,26796
mäletad,26795
kõigest,26715
nime,26536
tänu,26391
tahate,26374
