word,count
ez,156710
da,100396
eta,90529
bat,53947
dut,52826
egin,41044
zer,40884
duzu,37009
bai,36199
nahi,31273
behar,28416
du,28373
baina,28328
hori,27914
nire,25046
naiz,23603
izan,23240
zure,22599
esan,21643
dago,21403
zara,20667
hau,19727
ere,19258
dugu,17837
ari,17110
zen,16921
egiten,16083
dira,14931
hemen,14717
zuen,14190
egingo,12148
ezin,12107
nuen,12031
ondo,11984
bere,11483
zu,11443
oso,11363
nik,11327
uste,11282
orain,11152
al,10880
izango,10711
zergatik,10514
joan,10180
jauna,10004
ni,9858
ongi,9735
asko,9523
dute,9300
beste,8920
ikusi,8872
dizut,8807
hitz,8606
gara,8524
nola,8348
edo,8306
zaude,8177
gure,7881
zuk,7773
ezer,7768
nago,7395
eman,7193
dena,7157
utzi,7117
baino,6851
ezta,6779
dela,6779
zerbait,6581
Kaixo,6521
egon,6512
non,6464
etorri,6421
bezala,6339
hil,6331
den,6140
dakit,6012
mesedez,5959
gauza,5898
gehiago,5848
bakarrik,5836
batean,5789
bi,5752
ditut,5736
gero,5721
goazen,5673
hartu,5658
ba,5521
ona,5362
barkatu,5281
aita,5235
hor,5222
entzun,5212
gabe,5009
beharko,4998
ikusten,4950
tira,4888
inoiz,4826
badakit,4779
horrela,4773
benetan,4770
zaitut,4702
egun,4698
nor,4688
nintzen,4681
begira,4650
sentitzen,4648
ama,4631
eskerrik,4615
orduan,4590
beti,4582
bera,4550
esaten,4534
gaur,4447
gizon,4435
daude,4343
badakizu,4329
didazu,4321
zenuen,4300
duzue,4174
ematen,4163
arte,4118
gertatzen,4048
sartu,4043
ditu,4023
urte,4008
mila,3940
diot,3851
esker,3835
baten,3802
beraz,3799
oraindik,3779
egia,3752
lehen,3720
bada,3696
batek,3689
lan,3668
egongo,3617
horrek,3598
baduzu,3594
ados,3590
zait,3582
duen,3575
alde,3560
zuten,3550
berriz,3509
ezazu,3505
zein,3488
kaka,3466
maite,3448
neska,3448
hain,3444
ulertzen,3440
duela,3435
dituzu,3412
jakin,3401
dio,3401
atera,3387
nuke,3384
itxaron,3338
ezagutzen,3310
zaitez,3304
esango,3293
bizi,3280
guztiak,3269
zoaz,3232
aurkitu,3210
ziren,3208
batzuk,3194
ditugu,3185
diozu,3178
hemendik,3152
joango,3133
daukat,3114
hona,3087
guztia,3081
jarri,3060
gertatu,3059
horiek,3057
bila,3056
egiteko,3048
zenbat,2993
zegoen,2952
dit,2931
besterik,2930
lasai,2925
zaizu,2924
izena,2923
on,2912
berak,2906
ahal,2903
niri,2861
hala,2860
lagun,2840
denbora,2837
deitu,2830
hasi,2823
horixe,2804
zurekin,2800
etxera,2785
itzuli,2779
eraman,2765
agian,2763
noski,2750
handia,2743
han,2699
aurrera,2688
ze,2678
gustatzen,2677
prest,2671
hiru,2668
nirekin,2668
zatoz,2666
zela,2665
honetan,2653
genuen,2632
gaude,2626
berriro,2625
emango,2623
bizitza,2609
pentsatu,2565
burua,2535
inork,2499
duzun,2476
lagundu,2469
agur,2459
ea,2444
azken,2440
ene,2410
moduz,2392
ziur,2391
buruz,2386
batekin,2370
ekarri,2368
dudan,2348
galdu,2338
dizu,2333
zertan,2326
ibili,2323
azkar,2280
bakarra,2252
berri,2240
zidan,2239
dirua,2234
zarete,2227
nora,2213
gauzak,2212
nau,2209
aizu,2193
andrea,2188
zuri,2171
bihar,2161
bota,2161
jo,2150
begiratu,2147
hara,2131
pixka,2102
nahikoa,2094
nork,2087
maitea,2084
horregatik,2075
batera,2072
zinen,2067
ikusiko,2062
dezagun,2054
artean,2054
eskatu,2052
gu,2047
izatea,2033
nauzu,2030
ote,2013
ederra,2008
zuek,1989
inor,1966
egitea,1965
zain,1964
a,1956
dituzte,1950
lana,1946
aurretik,1939
geratu,1935
sekula,1919
lortu,1915
zera,1907
axola,1894
utziko,1893
emakume,1891
ondoren,1887
nahiko,1883
honek,1873
etxean,1872
hauek,1859
dakizu,1850
zituen,1839
ederki,1839
nion,1836
bertan,1831
jakina,1830
geldi,1827
ahaztu,1825
kontuz,1821
baita,1820
gelditu,1814
lo,1814
duzula,1807
denak,1789
iritsi,1786
noa,1784
denok,1774
horretan,1733
beharra,1730
espero,1708
aukera,1704
dudala,1701
behin,1690
ginen,1685
dezaket,1682
zuretzat,1676
beharbada,1666
zenuke,1665
elkarrekin,1660
saiatu,1659
hobe,1658
biok,1640
