word,count
on,6252492
ei,3368381
ja,3079202
se,2829092
hän,2624446
mitä,1993666
en,1977692
että,1742498
ole,1564141
olen,1229508
niin,1176241
oli,1134401
mutta,1131929
sen,1045198
vain,1031258
minä,968259
jos,935173
tämä,893493
nyt,879059
voi,850579
sinä,848962
olet,823980
kun,770971
sitä,716619
kuin,697706
he,646331
täällä,625107
hänen,616819
kaikki,596819
et,585737
minun,584895
olla,580235
ovat,578597
hyvä,573185
minua,544962
onko,522276
sitten,518862
sinua,502856
miksi,494216
sinun,493275
älä,487577
miten,481579
hänet,477659
kyllä,471883
mitään,465718
siitä,462361
kiitos,449453
Hei,438071
mikä,437628
ne,425578
olisi,408827
kanssa,388730
joka,386956
pitää,379497
ollut,373528
tai,365121
tässä,363465
minulle,358031
tiedä,356799
häntä,355983
minulla,347688
jotain,346287
missä,339903
tuo,335284
minut,334376
me,320851
oletko,319550
ehkä,317905
kuka,317800
sinut,315924
sinulle,312453
tämän,311582
vielä,308108
hyvin,306713
anteeksi,305210
jo,298582
olemme,296593
koska,293590
tänne,291962
meidän,291312
haluan,289486
tiedän,286441
tehdä,283092
emme,275895
tule,268168
anna,259109
siellä,254086
saa,253472
paljon,253219
pois,252540
täytyy,246799
tätä,246521
eivät,243891
sinulla,242753
ennen,236803
herra,231777
tulee,231253
siinä,230601
takaisin,228893
aina,226182
selvä,223026
enää,220187
eikö,216351
yksi,214861
mistä,213254
juuri,210896
kuinka,210554
te,210033
näin,203193
pitäisi,203151
vai,198068
halua,197274
meillä,196957
kaksi,196130
koskaan,195778
koko,195659
mennä,195227
joku,193880
hänelle,188978
tästä,187997
olin,186715
tietää,185021
mies,180971
aivan,180276
joten,179060
mene,174463
No,174228
kai,172403
voin,172156
Entä,167585
oikein,167241
totta,167214
aika,165454
siihen,165273
isä,165243
ihan,163746
kuten,163502
siis,163477
olette,162516
vähän,159974
teet,157983
edes,155734
kunnossa,153503
todella,152862
hyvää,150501
kukaan,150002
voit,149361
äiti,148863
aikaa,148600
haluat,147766
eikä,147653
ulos,144350
vaan,143454
itse,142758
sillä,142196
minusta,142056
mukaan,141856
kaiken,141698
myös,141637
katso,140470
noin,138961
sanoi,138135
ettei,136017
pidä,135740
tulla,134632
heidän,133910
hänellä,133894
päästä,133765
pahoillani,133299
auttaa,132065
taas,131065
kerro,130910
jälkeen,130188
kiinni,128983
sinusta,128445
tänään,128268
niitä,127576
tee,127107
meitä,127018
teidän,126213
puhua,125856
liian,125327
etkö,124904
vaikka,123696
kotiin,122602
tuli,122145
näyttää,122048
muuta,121157
mennään,119548
vuotta,118926
nämä,117482
nähdä,116214
sinne,115538
tapahtui,115457
Haluatko,115379
ilman,114884
heti,114173
jotka,113795
ette,113345
tiedät,112417
ota,112396
tähän,112202
kolme,112101
odota,111955
meidät,111210
saat,110903
antaa,110891
sanoa,110637
varmasti,109664
tarvitse,107849
menee,106927
teitä,106505
täältä,105901
haluaa,105544
kertoa,105174
luoja,104242
nähnyt,103647
saada,103557
pian,103181
heidät,101116
teen,100498
poika,99771
vastaan,98887
hänestä,98228
tekee,98204
olevan,97801
sanoin,97758
sisään,97624
enemmän,97600
tehnyt,97533
heitä,96990
usko,96196
tuolla,95170
voimme,93844
jonka,93753
meille,93609
tiedätkö,93331
tuon,93298
takia,92672
asia,92612
käy,92393
olit,92347
sain,91006
teille,90925
luulin,90921
ikinä,90813
kuollut,90524
sano,90402
varma,89600
varmaan,89387
hienoa,89310
rakastan,89013
olivat,88881
tarvitsen,88249
piti,87319
tappaa,87168
joo,86898
minne,86770
yhä,86597
mihin,86519
oikeassa,84966
ottaa,84942
yhdessä,84646
voisi,84606
tapahtuu,84435
kerran,84372
ajan,83550
juttu,83289
lähteä,82394
siksi,81835
teidät,81593
n,81577
yhtä,81449
valmis,81352
ihmiset,80654
toinen,80590
pidän,80129
tulen,79661
tyttö,78828
kauan,78754
teki,78584
teillä,78379
silloin,77776
hauskaa,77742
kulta,77057
tuota,76932
pitänyt,76925
lopeta,76407
rouva,76140
voinut,76025
rahaa,75907
enkä,75454
yksin,75435
ensin,75383
joskus,75033
nainen,74922
tohtori,74872
apua,74600
lisää,74534
olisin,74479
tällä,74085
älkää,73717
päivä,72398
kyse,72389
päivää,71734
menen,71468
kertaa,71363
tosi,70941
pari,70809
myöhemmin,70544
huomenna,70508
tuntuu,70299
meni,70280
ainoa,70265
oliko,70063
sai,69861
sanoit,69843
alas,69517
jotta,69375
uusi,69245
tavata,69158
Niinkö,69054
nähdään,68682
ylös,68655
odottaa,68200
jonkun,67958
sir,67538
milloin,67374
yhden,67067
saan,66478
saanut,66256
vie,66236
minäkin,65717
paras,65391
etten,65187
parempi,64957
halusin,64803
paikka,64540
jota,64477
mikään,63623
ketään,63596
kuuntele,63433
hieman,63307
ihmisiä,63094
okei,62997
teit,62960
osaa,62789
kuuluu,62763
viime,62482
silti,62332
hetki,62146
tein,62075
asiaa,61960
ohi,61611
alkaa,61377
jotakin,61042
miehen,60950
ajattelin,60589
ymmärrä,60572
oletteko,60022
muista,60001
ymmärrän,59615
pieni,59501
yli,59428
oikea,58598
yritän,58496
sama,57980
minkä,57443
tullut,57436
riittää,57062
pyydän,56958
luulen,56931
teemme,56862
isäni,56823
tarkoittaa,56452
nopeasti,56389
läpi,56376
vanha,56067
irti,56032
asioita,55645
minuun,55270
neiti,55266
jokin,55180
tarpeeksi,55091
haluaisin,54902
paska,54807
puhu,54643
voinko,54620
poissa,54589
voisin,54559
viisi,54473
kanssasi,54470
otan,54447
tulin,54275
kuoli,54108
kunnes,53984
Toivottavasti,53806
tiennyt,53793
heille,53771
tulossa,53703
tulkaa,53612
jossa,53577
iso,53561
täysin,53538
kiltti,53505
tahansa,53468
nimi,53449
hiljaa,53354
muuten,53254
pysy,53235
löytää,53122
poliisi,53082
saanko,52968
hyvältä,52938
asti,52587
oikeasti,52579
olisit,52437
soittaa,52373
kohta,52346
käyttää,52231
senkin,52022
ettet,51884
vasta,51783
isäsi,51760
halunnut,51125
vuoden,50598
töitä,50513
kuitenkin,50455
yrittää,50441
mukana,50368
miltä,50305
hitto,50305
neljä,50276
kuulostaa,50272
kaveri,50127
ensimmäinen,49319
ainakin,49284
samaa,49229
kaunis,49085
dollaria,48989
rahat,48734
kello,48711
sellaista,48479
tunnen,48379
eli,48285
sanoo,48153
näytä,48098
melkein,48066
pakko,47925
tarkoitat,47911
mukava,47870
kerron,47746
näen,47558
kiva,47522
liikaa,47501
kuulin,47449
luulet,47437
muut,47389
John,47230
niistä,47229
varten,47216
tunne,46814
kuullut,46699
meistä,46629
pysty,46605
siltä,46525
mieltä,46494
sait,46460
eilen,46187
Luuletko,46165
kapteeni,46115
asian,45939
auta,45926
kuulla,45699
jumala,45636
toisen,45407
kertoi,45230
kotona,45193
minuuttia,45171
sieltä,45055
kertonut,45041
uskoa,44957
tänä,44901
hieno,44788
suoraan,44781
jopa,44748
kanssani,44676
nuo,44616
tehdään,44494
puhut,44369
näytät,44362
voitte,43857
menossa,43798
paitsi,43628
hauska,43602
päivän,43584
helvetti,43562
ystäväni,43476
menkää,43346
tarvitsemme,43321
pikku,43301
Haloo,43289
maailman,43186
uuden,43131
vuoksi,43107
kaikkea,42991
kanssaan,42943
osa,42897
äitisi,42823
palaa,42805
eri,42735
mikset,42692
Jack,42644
asiat,42608
olimme,42516
pojat,42444
tervetuloa,42387
mä,42373
hullu,42336
uskon,42163
tapa,42152
aikaan,42140
katsokaa,42074
hätää,41976
New,41919
tietenkin,41892
tarvitsee,41784
jätä,41754
kuule,41735
halusi,41493
löysin,41333
tietysti,41322
hetkinen,41312
vauhtia,41280
tuntia,41264
näe,41191
maksaa,41178
lähellä,41125
tarkoitan,41065
elää,41025
auto,40900
tapahtunut,40815
sanon,40751
sille,40667
soita,40615
jolla,40499
toki,40453
yötä,40422
sinuun,40397
voitko,40360
ongelma,40342
saamme,40308
kävi,40250
jää,40121
työtä,40007
kovin,39970
yritä,39881
yhtään,39776
sanonut,39760
huomenta,39705
tiesin,39678
niiden,39664
minulta,39587
valmiina,39447
jättää,39331
muistatko,39289
olkaa,39207
viimeinen,39123
muita,39062
parasta,38985
hyvät,38968
lapset,38939
tavalla,38917
päivänä,38869
terve,38850
onnea,38843
sellainen,38837
viedä,38600
suuri,38571
annan,38566
välitä,38499
miestä,38387
vittu,38193
ensi,38025
heillä,37816
Ai,37794
tiedämme,37664
sehän,37618
viitsi,37568
molemmat,37528
vaivaa,37458
tulevat,37447
ihminen,37362
heistä,37330
aiemmin,37208
äitini,37190
rauhoitu,37177
soitan,37139
sopii,37123
päälle,37115
lähdetään,36969
monta,36866
hoitaa,36834
teistä,36831
pääse,36793
miehet,36777
oma,36738
väliä,36375
jäädä,36364
vuonna,36348
huono,36328
samoin,36278
sanot,36254
aio,36233
takana,36071
kysyä,36028
unohda,36023
paremmin,35881
lähde,35859
luo,35767
aamulla,35765
väärin,35629
tulit,35566
haluavat,35544
muka,35528
poikani,35436
ovi,35432
vastaa,35390
kahden,35380
uudestaan,35344
uudelleen,35340
aion,35323
kaikkien,35312
tuossa,35281
sisällä,35257
joita,35245
menemme,35095
voivat,35004
antoi,34941
vaikea,34905
paha,34840
mahtavaa,34827
syytä,34734
asiassa,34689
lapsi,34650
naiset,34618
olleet,34587
toimi,34403
toimii,34378
ase,34310
saattaa,34196
avaa,34177
katsomaan,34161
ongelmia,34141
käydä,34127
tarvitset,34089
naisen,34066
lähden,34050
kuolla,33873
elossa,33816
pidät,33785
etkä,33716
tappoi,33627
tunnin,33551
näitä,33512
sinulta,33494
uutta,33443
onneksi,33289
menet,33271
haluatte,33213
helvettiä,33195
