word,count
que,75781
a,61912
o,53362
de,50124
non,49934
e,40348
é,27883
un,23048
os,16291
unha,15541
se,14858
para,14484
por,14413
do,13643
en,13047
da,11325
as,9896
como,9215
está,8719
si,8401
máis,8344
no,8072
ao,7820
pero,7777
ben,7680
eu,7521
na,7248
con,7022
aquí,6614
son,6441
me,6169
todo,6087
á,6084
iso,5975
meu,5580
hai,5549
xa,5502
ti,5253
cando,5129
ou,4648
dos,4630
só,4594
súa,4579
seu,4349
agora,4337
miña,4319
moi,4060
así,4055
onde,4031
ten,3890
nada,3861
era,3833
ser,3798
facer,3776
foi,3774
el,3631
teño,3568
isto,3545
esta,3505
quen,3428
nos,3403
todos,3359
algo,3325
vai,3260
porque,3219
estou,3167
este,3090
lle,2926
pode,2903
te,2818
casa,2792
sei,2768
quero,2738
mais,2721
xente,2645
das,2600
tamén,2596
señor,2579
tempo,2553
min,2535
vez,2525
nunca,2512
teu,2449
sen,2445
podo,2428
vida,2410
estás,2396
día,2383
polo,2382
estaba,2375
aínda,2347
anos,2323
ver,2304
vostede,2301
tan,2295
túa,2285
dicir,2282
pola,2254
che,2240
ela,2239
home,2223
sobre,2223
moito,2208
mesmo,2203
aos,2177
vou,2160
coma,2138
nin,2131
tes,2121
nós,2112
están,2089
noite,2072
sempre,2048
co,2046
mellor,2016
es,1942
coa,1906
temos,1880
seus,1879
cousas,1869
traballo,1843
dous,1821
antes,1812
mundo,1795
ás,1790
queres,1790
aí,1785
sabes,1766
ir,1764
ter,1758
ese,1757
veña,1751
imos,1751
grazas,1735
esa,1722
verdade,1712
bo,1676
despois,1672
outra,1671
logo,1645
entón,1637
pai,1616
favor,1587
eles,1565
dun,1564
alí,1555
creo,1528
estar,1527
nun,1501
podes,1490
ninguén,1480
falar,1476
quere,1457
fai,1436
noso,1421
pouco,1416
tiña,1395
cada,1389
estamos,1385
alguén,1344
outro,1333
cara,1309
novo,1304
deus,1304
entre,1304
nosa,1299
mañá,1289
hoxe,1270
lugar,1263
nai,1256
ata,1251
cousa,1245
súas,1240
días,1237
dixo,1237
Ola,1224
nas,1216
homes,1215
muller,1202
meus,1199
tres,1197
guerra,1196
fillo,1194
todas,1184
menos,1183
dunha,1172
sexa,1161
sabe,1153
claro,1138
pasa,1131
parte,1125
toda,1112
di,1111
contra,1109
boa,1108
nunha,1108
vas,1102
dende,1100
podemos,1095
podería,1095
Oh,1093
primeiro,1083
fóra,1065
canto,1061
Sr,1057
teñen,1053
veces,1047
mira,1027
ó,1024
tanto,1016
tarde,1000
cos,999
cidade,979
durante,974
nova,963
mal,963
terra,957
momento,954
vale,949
pois,934
dúas,917
quería,911
tal,909
penso,906
nome,904
certo,901
calquera,899
será,897
daquela,895
amor,889
parece,871
outros,869
seguro,865
auga,861
vamos,861
había,860
grande,859
até,858
poder,856
gran,848
tipo,845
xeito,834
medo,822
saber,810
cartos,809
vin,806
merda,801
dixen,800
señora,795
país,795
rei,794
ollos,785
pobo,779
debe,775
moitos,774
nosos,774
ven,766
morte,764
ano,764
van,762
desde,760
historia,757
lles,757
comigo,755
feito,753
uns,751
problema,743
vós,735
mulleres,732
amigo,730
foron,726
estes,722
primeira,716
cabeza,715
somos,715
poden,714
fin,711
fixo,709
ningún,707
eh,705
traballar,705
dentro,699
facelo,693
familia,689
hora,689
persoas,686
man,686
acordo,681
dar,680
mentres,677
cun,675
policía,675
irmán,672
case,666
fillos,665
sería,659
amigos,654
razón,652
polos,651
nenos,644
ca,641
cal,639
moitas,638
estas,637
idea,637
camiño,634
pasar,634
vos,631
vén,624
volta,621
volver,615
teus,613
algunha,612
debería,612
eran,609
coas,608
contigo,608
eses,605
vivir,600
neste,599
demasiado,598
miñas,596
conta,594
pasou,593
mans,593
filme,591
vaia,589
algún,589
ía,589
cinco,585
baixo,581
mamá,581
cunha,579
importa,579
porta,576
catro,576
exército,576
papá,570
mesma,563
fun,562
realmente,559
adeus,559
algúns,557
sabía,554
pensar,554
vexo,553
horas,550
fas,549
chegar,545
síntoo,545
ningunha,540
igual,537
matar,536
problemas,535
saír,532
morrer,531
único,530
xefe,530
fixen,529
rúa,528
fose,528
rapaz,527
estado,526
segundo,524
ves,522
lado,522
clase,518
deste,517
corazón,517
importante,516
sol,516
vir,513
cuarto,511
coche,509
caso,506
diso,505
tío,504
pequeno,503
vello,502
paz,501
gusta,499
deixa,498
aló,497
nosas,495
semana,495
comer,494
podía,494
queda,492
deixar,491
puta,490
persoa,489
medio,485
marchar,485
campo,485
pensei,484
cres,483
