word,count
לא,12027442
את,11693366
אני,10783846
זה,9367791
אתה,5392543
מה,5308228
הוא,3727211
על,3406802
לי,3406145
כן,2900138
של,2855939
לך,2688076
אבל,2268845
יש,2145679
כל,2014721
שלי,2005002
בסדר,2001553
עם,1920087
היא,1898858
אם,1888929
שלך,1878513
טוב,1816133
רוצה,1684951
היה,1668584
אנחנו,1657774
אז,1546760
יודע,1486975
הם,1434811
רק,1386536
אותך,1373522
אותו,1369330
יכול,1324736
יותר,1213090
אותי,1140964
הזה,1131024
כאן,1128908
שאני,1071010
למה,1066385
עכשיו,1030609
להיות,1010688
או,1008243
אחד,984553
משהו,978120
אל,950905
היי,937304
צריך,916091
כמו,887788
איך,881945
אין,873915
כך,854636
נכון,852790
תודה,841010
לעשות,838054
לו,803497
מי,792579
לנו,789923
זאת,787722
שאתה,775469
שם,773885
חושב,746382
כמה,718759
שהוא,715927
אותה,703396
כדי,699544
אולי,684510
הייתי,675882
יודעת,673792
זו,667288
באמת,665406
גם,663876
פשוט,663573
שזה,647775
כי,633043
עושה,613067
עוד,610098
דבר,595553
שלו,584347
שלא,579177
כבר,577098
ואני,573145
קדימה,572455
נראה,559065
האם,541952
שלנו,537459
בבקשה,527657
מאוד,517099
לפני,506617
הרבה,496454
אתם,487675
אומר,487587
יהיה,484975
זמן,478644
אלוהים,477202
פעם,475394
עד,474482
איפה,470583
הולך,466622
לעזאזל,466562
עדיין,463225
יכולה,460439
ממש,451870
אותם,450186
קצת,433926
מישהו,430474
הנה,421898
פה,417029
לה,411534
ובכן,411314
הכל,409160
לראות,403365
אבא,392289
בוא,388112
בכל,385051
הייתה,381953
מר,380188
חייב,379529
בדיוק,378676
אנשים,377064
ללכת,372685
אף,367433
מצטער,363708
שוב,363621
היית,363347
אדוני,363330
לדבר,360408
צריכה,359129
שהיא,356075
חשבתי,355923
היום,355913
שיש,347999
צריכים,342421
קרה,336634
היו,335706
אחת,333279
אה,331080
לזה,328824
שאת,324920
אוהב,322941
חושבת,316386
אחר,313633
תמיד,312094
להם,311657
שום,311461
אפילו,309778
אמא,308613
יום,306827
שלום,304656
שלה,298422
יכולים,298200
בטוח,297065
רואה,295173
בטח,293602
קורה,290915
כולם,290451
בן,287235
הזאת,285883
בגלל,285674
האלה,285642
אחרי,283729
שהם,283213
ואז,283052
הזמן,282762
מדי,282238
רגע,279310
איתך,278767
אמר,271167
אמרתי,267854
איזה,267373
בו,265592
אדם,261722
מבין,259595
תראה,254778
שאנחנו,252041
בשביל,250720
אותנו,249976
בזה,249204
תן,246431
טובה,244337
תהיה,243946
דברים,243540
דרך,243402
מספיק,236215
כלום,236197
בואו,234573
לעזור,233973
ב,231010
לכם,230281
הדבר,228234
לדעת,227339
אוכל,227124
בבית,226329
הכי,225013
מקום,224667
אפשר,222999
ביותר,222497
כזה,221704
מזה,221161
איתי,217364
ככה,217041
יודעים,213502
לכאן,212981
לקחת,212893
מתכוון,209276
הביתה,206697
עליי,206216
לומר,206004
מת,205203
חבר,201288
אנו,201149
שנים,200233
אוקיי,199609
וזה,198903
כאילו,198893
