word,count
क,108239
ह,96459
म,83081
र,57831
स,47660
त,47097
ल,43277
न,40465
य,36450
द,31840
ज,26824
प,22481
ब,21647
व,19170
ग,17730
नह,17140
च,15722
ए,14789
थ,14075
यह,13500
एक,12985
कर,12902
श,12428
ट,12256
रह,11725
आप,11463
ख,10602
हम,10183
ड,9874
छ,9751
और,9578
भ,9481
वह,7899
फ,7784
झ,7659
पर,7228
अपन,6099
इस,5499
करन,5417
सकत,5128
ई,4770
ठ,4657
उस,4313
ष,4147
कह,4049
ओ,3922
गय,3849
ध,3512
पत,3325
चल,3187
हत,2988
हर,2910
आ,2777
करत,2700
बह,2637
अच,2447
उन,2437
अब,2430
तरह,2422
रत,2278
आपक,2077
उसक,2039
पस,2021
सब,1937
लगत,1843
मन,1805
नत,1784
सर,1742
पहल,1674
जब,1632
बत,1602
एग,1590
लग,1569
तक,1533
लड,1520
मत,1519
मह,1518
बन,1491
दर,1480
अभ,1479
बच,1476
बस,1459
अ,1432
आदम,1413
कभ,1389
अगर,1388
अर,1377
जर,1372
समय,1322
रक,1273
जन,1251
घ,1234
अध,1202
सम,1192
घर,1153
यक,1139
रण,1138
यद,1135
सह,1129
सभ,1101
कम,1098
ऐस,1096
वन,1061
धन,1046
कल,1040
अन,1015
इ,994
ओह,988
आत,981
ण,953
लन,948
वर,947
तर,935
जल,928
इन,917
मर,891
इसक,883
आय,867
भगव,853
गल,846
यव,841
तन,837
लत,834
बर,832
रख,830
टर,825
उनक,804
पय,794
इतन,774
आज,749
गर,742
खन,740
गत,739
खत,727
डर,718
कहत,713
वल,712
तव,701
बड,697
आओ,697
सच,689
मतलब,680
जह,680
सक,678
मदद,675
समझ,654
ढ,652
सबस,613
शन,604
गए,598
जगह,582
आग,579
रन,534
पह,525
आन,522
मस,507
यम,494
रहन,492
शर,491
चलत,487
आर,476
गलत,476
खर,474
यर,471
रस,467
उत,465
शक,463
पक,456
कहन,454
पन,453
भर,452
नक,447
यन,446
आश,445
पड,442
फ़,442
नन,433
वक,430
पकड,427
ऊपर,424
अस,423
बढ,421
हतर,418
बदल,415
उसन,412
रखन,412
रहत,410
गई,409
षण,407
उम,402
अक,394
ऊ,390
कन,389
बकव,382
सव,379
लक,379
ओर,374
नट,370
दय,366
अम,366
तज,363
झस,358
अल,357
एल,356
समस,353
रम,342
उठ,342
सत,340
चन,336
गन,331
रभ,330
नर,324
भव,321
एम,321
वत,320
हन,319
टन,318
ज़,317
मज,317
चर,316
मल,315
षम,314
मक,314
इल,311
सल,310
बल,310
तब,308
छल,305
रव,301
उड,299
दग,286
दरव,286
सन,286
महस,284
कब,284
इसल,282
उह,280
आह,279
सप,278
ञ,278
शहर,275
ड़,274
इक,267
जव,265
लय,264
दन,264
कमबख,263
औरत,262
खड,262
कई,254
बज,251
आद,251
अगल,249
चत,248
कड,247
नमस,246
इट,243
आध,242
अज,241
दस,241
नव,238
आए,237
आस,236
असल,234
तल,230
कत,229
हमल,229
इसस,228
उसस,227
आव,226
तस,222
यत,221
हट,220
हव,217
शब,216
उपय,215
पल,214
कस,214
कट,213
परम,212
थन,211
नद,210
नय,206
मम,205
नए,205
सपन,204
बहन,203
कदम,202
अलग,202
उ,201
रश,200
अप,198
रय,198
उद,197
लर,197
महत,192
पढ,191
जय,190
नरक,190
सज,187
परव,185
हमन,183
सड,182
कमर,181
