word,count
է,1008
ես,498
որ,363
եմ,318
մի,299
և,298
ու,251
իմ,231
ինձ,196
նա,186
ոչ,180
թե,175
դու,171
են,169
այդ,166
ի,162
էլ,144
քեզ,140
այս,138
եք,131
նչ,128
համար,122
այն,118
էր,104
սակայն,98
եթե,97
Եվ,97
պիտի,96
չէ,95
նրա,94
կարող,89
իր,89
մեր,88
ինչ,88
ձեր,86
չեմ,86
հա,85
դեռ,85
հետ,85
քո,82
նրան,82
ձեզ,79
հիմա,77
ուզում,74
իսկ,72
դուք,70
ր,70
բայց,69
օհ,68
չի,66
էի,65
ամեն,64
լավ,64
ուրեմն,64
բան,63
միայն,63
ո,62
բարի,61
պր,59
պարոն,58
Այո,58
արդեն,58
վ,56
շատ,56
նրանց,55
դա,53
ենք,53
մենք,52
ս,52
այստեղ,52
թող,51
ն,50
պետք,48
մասին,48
մեջ,47
ավելի,47
Ռոմեո,46
երբ,45
դե,44
ղ,44
մեկ,44
մեզ,43
այդպես,43
մեծ,43
գիշեր,41
ք,41
անգամ,40
նոր,40
կամ,39
գալիս,39
վրա,39
նրանք,38
մոտ,37
քանզի,36
տեր,35
նման,35
լ,34
ոչինչ,34
այլ,34
ւ,34
հետո,32
խնդրում,32
ց,31
ասում,31
օրիորդ,30
հենց,30
ինչո,30
այնտեղ,29
ինչպես,29
ահա,29
Ջուլիետ,28
օր,28
Կատադրոյֆե,28
որտե,28
ասել,28
չես,27
մինչև,27
չեն,27
քանի,27
այլևս,27
մարդ,26
կա,26
լինել,25
սա,25
ժամանակ,25
Ռոմեոն,25
եղել,25
որպես,24
այնքան,24
չէր,24
գուցե,24
անում,24
Աստված,23
տ,23
Փեփփի,23
ասա,23
գնա,23
լինի,22
սիրո,22
ւմ,22
ինչպե,22
իրենց,21
Միլլեր,21
տիկին,21
ապա,21
հայր,21
բոլոր,21
եկել,20
առաջ,20
կարծում,20
էին,20
չկա,20
ազնիվ,20
քան,19
բարով,19
նաև,19
խոսում,19
արի,19
Մերկուցիո,19
կրկին,18
սուրբ,18
առավել,18
նրանից,18
էիր,18
երկու,18
ունի,18
Դրեյվերհավենը,18
պես,18
Կավդորի,17
սպանել,17
դեպի,17
երբեք,17
երեկո,17
դայակ,17
կլինի,17
մեկը,17
ունեմ,17
ով,17
քիչ,17
ունես,16
թեն,16
վաղը,16
Տիբալտ,16
տանի,16
դուրս,16
տուն,16
այնպես,15
մ,15
այսպես,15
տուր,15
չէի,15
դեմ,15
գնանք,15
երեք,15
եղիր,15
Ջորջ,14
չե,14
արդյոք,14
տվեք,14
սերն,14
ճիշտ,14
այդքան,14
օրը,14
անել,14
նույն,14
երկար,14
մնաս,14
տարի,14
հեռու,13
նորից,13
մնա,13
Յակո,13
նույնպես,13
Յակոբ,13
դրա,13
բ,13
մեռած,13
ամենից,13
շուտով,13
այսօր,12
լույս,12
տանը,12
տալիս,12
վեր,12
ողջ,12
թանկագին,12
իրեն,12
շնորհակալ,12
խոսիր,12
սեր,12
արքա,12
բաներ,12
որտեղ,12
գիտեմ,12
որին,12
սպասում,11
ւն,11
Մակբեթը,11
պատրաստ,11
կան,11
մեկն,11
Գրողը,11
պակաս,11
ոք,11
թվում,11
չեք,11
հանգիստ,11
տեսել,11
որն,11
որքան,11
ընկեր,11
գուլդեն,11
խոսք,11
ունեք,11
եղեք,10
փախիր,10
քաղցր,10
փոքրիկ,10
արա,10
անց,10
տեսնել,10
տիրուհի,10
Հեյ,10
հաստատ,10
վերջին,10
վկա,10
ժամը,10
ժամ,10
չ,10
ուշ,10
ուրիշ,10
գա,10
նախագահ,10
սեփական,10
խոսել,10
պարտք,10
հ,10
լոկ,10
լսել,10
Մակբեթին,10
լիներ,10
Ախ,10
ասաց,9
առանց,9
լինում,9
մարդիկ,9
դառնում,9
սիրում,9
մայրս,9
Կեցցե,9
վատ,9
կլիներ,9
թ,9
Ե,9
ասելու,9
տեղ,9
այդտեղ,9
տեսնում,9
չունեմ,9
դեպքում,9
մտածում,9
Մոնտեգյու,9
մորս,9
ծ,9
մինչ,9
չքնաղ,9
չունի,9
ժամին,8
Ջուլիե,8
արյուն,8
սիրուն,8
պատճառով,8
առաջին,8
ամիս,8
ջահել,8
ճշմարիտ,8
լինելու,8
տալ,8
վտանգավոր,8
տա,8
սրիկա,8
մարդկանց,8
գնամ,8
Բանքոյի,8
միջև,8
բանի,8
միակ,8
ձեռքը,8
մեկին,8
եղավ,8
Ձերդ,8
գումարը,8
սնանկ,8
ինքս,8
լա,8
չենք,8
պահիր,8
երդվում,8
Եկ,8
Նանուկը,8
Ներեցեք,8
ասեմ,8
Ա,8
ասեք,8
աշխատում,8
Չգիտեմ,8
անունը,7
լուր,7
Մակբեթ,7
վայել,7
վախենում,7
կենացը,7
կյանքը,7
կատարածու,7
ամենն,7
աղջիկ,7
բլա,7
ահեղ,7
Դրեյվերհավենի,7
ասացի,7
Ֆլինսը,7
ֆիլմը,7
րբ,7
ցույց,7
ցանկանում,7
եկեք,7
գործը,7
Դրեյվերհավենին,7
Դրեյվերհավեն,7
որոնց,7
տեսա,7
Ողջույն,7
գալու,7
գրասենյակում,7
բութ,7
պահել,7
կ,7
չունե,7
էիք,7
նորություն,7
արագ,7
Յան,7
թեև,7
արել,7
լինեն,7
Մակդուֆ,7
կողմից,7
տակ,7
կարելի,7
հասկանում,7
կարևոր,7
հարմար,7
հարկե,7
կինը,7
կին,7
գիշերվա,7
նք,7
էինք,7
թույլ,7
ևս,7
քաջ,7
ապրում,7
միշտ,7
շուտ,7
պատիվ,7
անմիջապես,6
վարկ,6
վայր,6
տան,6
պատրաստվում,6
Վալենթին,6
կթոշնի,6
հողը,6
կարճ,6
Բենվոլիո,6
վաղ,6
Վիլլեմ,6
սև,6
կացեք,6
արյան,6
դավաճան,6
լինես,6
Ռոմեոյին,6
հարյուր,6
մեծություն,6
Կրեդիտային,6
փաստաբան,6
մայր,6
մահվան,6
մահ,6
կլինես,6
ւր,6
մարդու,6
կյանքի,6
գիտեք,6
արքային,6
Բանքո,6
Բանքոն,6
չպիտի,6
Շշշ,6
ընթացքում,6
զարմիկ,6
պատճառ,6
նույնիսկ,6
պահ,6
արքան,6
ծանր,6
մեղքն,6
մտքի,6
Ժորժե,6
ձեռքով,6
դիմաց,6
գունատ,6
չունեն,6
ուղարկել,6
չափազանց,6
ներս,6
ավելին,6
տարօրինակ,6
ընկած,6
գնում,6
գործ,6
որի,6
որոնք,6
դո,6
Դունկանի,6
