word,count
aku,3787019
kau,2727438
yang,2351020
tidak,1903829
ini,1690144
itu,1626042
dan,1434334
di,1424734
dia,1409519
akan,1380277
apa,1343667
kita,1211118
untuk,922096
tak,858477
bisa,836914
ada,782249
mereka,747862
tahu,680780
dengan,663587
anda,609155
dari,606546
ya,575267
saya,571412
tapi,533139
kami,530212
ke,518390
harus,489388
sudah,481729
orang,433652
saja,427496
kamu,417246
adalah,411295
seperti,382972
ingin,382338
jika,380621
pergi,370600
sekarang,353709
semua,353264
sini,349712
hanya,346703
dalam,341891
jadi,335317
bukan,314149
jangan,313862
baik,313225
lagi,303125
bagaimana,295567
punya,288990
lebih,279312
kalian,275738
Oh,267294
pada,263619
lakukan,257407
mungkin,248691
sangat,248421
karena,245987
mau,230669
ayo,228443
satu,225354
juga,224918
siapa,220682
pernah,219031
telah,207744
apakah,207093
saat,202111
kembali,197949
kenapa,196953
hari,195888
datang,195101
hal,191675
atau,189072
benar,185753
banyak,185353
begitu,185215
kasih,184023
sesuatu,183216
lihat,179839
terima,178359
terjadi,176514
melihat,175088
menjadi,173187
bagus,167864
melakukan,167229
seorang,164666
Hei,164109
kalau,159945
masih,159300
tentang,159072
bilang,156642
bahwa,154812
sana,150723
baiklah,149287
mati,146718
tempat,146469
mana,146432
lain,142752
waktu,142227
oke,140995
keluar,138700
lalu,138032
maaf,137308
sekali,134497
malam,132166
sedang,131919
membuat,131635
ayah,131136
sampai,131069
tahun,130599
anak,130178
baru,128293
dapat,125463
hidup,121887
cepat,121444
tunggu,120889
perlu,120510
katakan,120400
sendiri,120295
memiliki,118169
mengapa,115442
semuanya,114802
kan,113983
beberapa,113968
sebuah,112999
sama,111569
masuk,110454
salah,108778
dengar,107946
disini,106066
ia,105923
besar,105254
padaku,104928
pak,103727
pasti,103329
rumah,103239
selamat,101635
mengatakan,100888
masalah,99017
belum,98532
ketika,96463
dua,96407
pikir,95958
tentu,93840
bicara,93771
suka,93052
ibu,93046
selalu,92378
yg,91658
Tuhan,91217
cukup,90326
benar-benar,89751
tolong,89436
melakukannya,87578
dimana,87543
mengerti,86934
seseorang,85884
pria,85650
setelah,85307
baik-baik,83641
atas,83161
dunia,83130
bertemu,82685
yeah,82500
berada,82406
lama,82128
sedikit,81232
apa-apa,81184
jalan,81064
percaya,80848
padamu,80586
tetap,80491
bahkan,80226
boleh,79727
terlalu,79489
menemukan,79371
sayang,79273
makan,79028
tinggal,78708
oleh,77583
kali,77458
berhenti,77341
ku,77219
bekerja,77020
sebagai,76629
wanita,75868
membunuh,75568
luar,75539
kecil,74798
cara,73783
yakin,73762
bersama,73722
mulai,73699
mari,73302
mendapatkan,73284
setiap,73166
pertama,72186
hey,72129
selama,71703
sebelum,71240
diri,70732
kurasa,69591
ayolah,69525
butuh,69121
berpikir,68395
senang,67708
takkan,67403
apapun,67266
dulu,66636
mencari,66332
mengambil,66276
teman,66209
merasa,64937
uang,64682
tanpa,64174
the,64173
para,64045
jam,63233
siap,62654
sebenarnya,62469
denganmu,62047
tuan,61901
gadis,60935
buruk,60546
mencoba,59991
membawa,59783
berapa,59340
ingat,59034
sial,58348
terus,58019
biarkan,57641
polisi,57549
gila,57271
dirimu,56463
segera,56218
memang,55660
orang-orang,55630
pulang,55619
takut,55589
itulah,55378
pun,55358
manusia,55258
mobil,54143
Halo,54133
tidur,54062
yah,53797
nama,53266
seharusnya,53246
sakit,53206
biasa,53026
kemudian,52465
terakhir,52461
kota,52273
berhasil,51662
maksudku,51552
terlihat,51237
depan,51153
kepada,50917
bodoh,49967
minta,49922
bawa,49673
tiga,49292
ambil,49109
sebentar,48999
sungguh,48951
berikan,48926
rasa,48718
membantu,48533
cinta,48267
sepertinya,48208
berbicara,48156
bagian,48109
padanya,47042
hebat,46459
bawah,46454
hai,46415
sialan,46287
air,46216
tepat,45911
ikut,45575
masa,45202
melihatnya,44391
maafkan,44249
untukmu,44188
kehilangan,44177
tangan,44145
Tn,44048
pagi,43838
mendengar,43781
cuma,43638
nanti,43420
bagi,43083
paling,43028
keluarga,42739
bergerak,42675
menunggu,42576
jauh,42440
cH00FFFF,42234
si,42203
selesai,42196
seluruh,41992
hentikan,41930
mu,41813
senjata,41761
tadi,41630
menit,41426
penting,40896
tenang,40880
suatu,40839
terbaik,40636
astaga,40514
coba,40408
aneh,40394
peduli,40315
pekerjaan,40247
aman,40215
kemari,40189
anak-anak,40144
disana,40011
tua,39963
berdua,39869
ok,39662
meninggalkan,39494
nak,39438
buat,38920
khawatir,38735
ah,38437
duduk,38115
bisakah,37869
maka,37860
i,37733
memberikan,37674
besok,37666
secara,37283
kepala,37160
bulan,36915
diam,36740
minum,36720
hampir,36481
sejak,36295
maksudmu,36039
kawan,35881
berarti,35850
sebelumnya,35814
ayahku,35658
sekolah,35442
cari,35209
a,35090
pintu,35067
kumohon,34656
soal,34627
berjalan,34300
sulit,34222
menggunakan,33927
tim,33709
hati,33432
kapan,33293
jatuh,33199
dekat,33171
agar,33111
tetapi,33067
kesempatan,33025
raja,32982
ayahmu,32937
inginkan,32805
berakhir,32732
mudah,32713
kuat,32192
memberi,32097
denganku,32049
benarkah,32049
akhirnya,31995
mata,31957
you,31838
cantik,31680
bunuh,31667
pergilah,31562
iya,31534
bukankah,31321
bermain,31270
kemana,31163
berubah,31086
perang,31049
jelas,31047
uh,31022
mendapat,30961
sekitar,30838
menarik,30830
lari,30750
dengannya,30651
lainnya,30539
beri,30531
kapal,30409
beritahu,30267
alasan,30166
dokter,30034
demi,29932
menyelamatkan,29824
bangun,29791
biar,29738
keras,29613
satu-satunya,29592
lepaskan,29513
kupikir,29377
serius,29307
kerja,29148
kekuatan,29143
awak,29000
kulakukan,28827
dengarkan,28781
kabar,28706
kata,28643
membuatku,28512
menuju,28367
tau,28349
belakang,28283
menurutmu,28272
bertanya,28109
berbeda,28020
indah,27984
kapten,27984
paham,27921
Amerika,27918
