word,count
の,842218
は,725448
に,639137
た,571391
を,568314
て,559105
だ,487902
が,480023
で,305445
ない,290428
か,268106
し,263291
と,262754
も,229797
な,211009
よ,192072
ん,173488
私,138736
てる,122846
何,122785
から,109822
です,104084
ね,92842
それ,86834
わ,84512
する,84178
こと,83677
彼,83088
いる,78587
い,78151
あなた,76581
そう,73607
ます,72504
どう,67019
いい,66485
君,63076
俺,62444
さ,61226
お,61080
ある,58018
じゃ,56899
れ,54317
これ,49326
って,47725
人,47666
この,46754
ここ,44920
くれ,43219
その,41875
お前,41258
誰,41113
事,41095
ば,40478
彼女,39678
ぞ,39297
ら,38699
なら,38020
だっ,36877
よう,36059
まし,35879
さん,35765
もう,34445
見,33501
たら,32983
言っ,32751
たい,32089
なかっ,31679
だけ,31188
たち,30364
今,30276
僕,30037
ませ,29472
者,29015
来,28916
やっ,25926
まで,25164
どこ,25105
へ,25101
けど,24976
なる,24467
時,23268
せ,22487
知っ,22376
なっ,21884
中,21867
達,21784
行く,21685
ため,21579
だろ,21488
前,21385
いう,20746
だろう,20622
必要,20547
ああ,20346
もの,20320
気,19622
あの,19541
なく,19324
奴,19282
あっ,19070
あり,19018
でき,18882
我々,18741
一,18600
大丈夫,18480
話,18226
自分,18049
思っ,17848
時間,17307
られ,17199
まだ,16922
本当,16909
そんな,16835
き,16827
ー,16338
そして,16252
ありがとう,16227
的,16192
思う,16162
いや,15905
家,15841
聞い,15839
言う,15656
や,15633
なぜ,15377
年,15240
つ,15194
持っ,14804
分かっ,14748
男,14697
いつ,14465
ちょっと,14413
日,14379
方,14250
行っ,14164
わかっ,13895
手,13878
出,13746
そこ,13732
仕事,13529
知ら,13472
一緒,13338
できる,13289
待っ,13179
後,13033
れる,13000
話し,12969
すぐ,12898
やる,12878
他,12564
より,12446
なさい,12397
考え,12394
なんて,12313
違う,12164
でしょ,12140
目,12095
おい,12074
みんな,11705
はい,11607
父,11602
電話,11459
みたい,11447
しろ,11333
つい,11327
ええ,11312
様,11279
死ん,11193
無い,11191
また,11028
なん,11005
良い,11002
度,10819
あんた,10790
でしょう,10637
車,10612
所,10551
こんな,10452
殺し,10412
助け,10379
見つけ,10332
場所,10227
あ,10223
あれ,10104
同じ,10070
子供,10034
よく,9885
べき,9852
え,9738
問題,9737
子,9618
ください,9460
ぜ,9419
好き,9326
さあ,9263
ご,9252
世界,9237
たく,9209
金,9115
全て,9114
ダメ,9098
名前,8946
信じ,8924
上,8892
１,8887
来る,8808
皆,8764
願い,8760
もし,8741
はず,8729
少し,8601
２,8496
通り,8492
ただ,8483
分,8266
人間,8130
くれる,8123
よし,8121
せる,8119
行け,8108
しよう,8078
つもり,8076
しかし,7935
出来,7893
やめ,7799
もっと,7745
女,7707
悪い,7693
すべて,7681
どんな,7674
今日,7665
パパ,7606
言わ,7578
欲しい,7558
戻っ,7552
こっち,7473
為,7461
なけれ,7457
でし,7429
うん,7406
早く,7403
物,7373
ママ,7331
ところ,7290
入っ,7272
連れ,7254
教え,7232
心配,7228
ごめん,7205
ましょう,7178
母,7151
じゃあ,7145
力,7136
ず,7067
なり,7064
神,6928
ねえ,6918
居,6791
最後,6763
家族,6734
られる,6712
いいえ,6668
意味,6657
くる,6637
３,6614
官,6600
行か,6542
関係,6542
息子,6477
次,6471
生き,6416
娘,6382
でる,6275
間,6270
警察,6267
分から,6190
入れ,6135
準備,6120
頭,6086
なきゃ,6084
行き,6082
しか,6061
全部,5949
心,5910
死ぬ,5909
しれ,5898
もちろん,5867
銃,5847
感じ,5811
わから,5734
別,5726
理由,5715
情報,5704
とても,5682
一人,5675
愛し,5665
ずっと,5654
殺す,5630
分かる,5626
外,5593
人生,5587
以上,5570
言い,5538
殺さ,5536
数,5531
危険,5525
み,5469
二,5430
安全,5411
捜査,5403
行こう,5379
覚え,5355
船,5337
いく,5330
すれ,5307
最初,5298
出来る,5297
部屋,5283
探し,5242
こう,5236
忘れ,5220
下さい,5192
起き,5176
約束,5106
結婚,5082
連絡,5071
女性,5063
ジョン,5056
新しい,5020
方法,4992
顔,4992
わけ,4945
友達,4925
万,4921
無理,4867
わかる,4848
ちゃん,4829
事件,4808
あいつ,4804
最高,4801
バカ,4791
貴方,4765
仲間,4754
ほど,4741
先,4731
まあ,4718
見え,4717
なに,4701
まま,4700
頼む,4692
計画,4685
下,4682
可能,4680
殺人,4652
会っ,4651
ドル,4627
あと,4626
とき,4620
夜,4611
せい,4584
止め,4563
いけ,4561
不,4557
来い,4538
確認,4518
こちら,4512
明日,4495
機,4485
友人,4433
性,4431
どうぞ,4409
全員,4395
ほら,4391
回,4377
こそ,4364
思い,4355
嘘,4355
オレ,4350
こいつ,4331
くらい,4316
待て,4310
二人,4293
逃げ,4279
理解,4266
見せ,4246
かしら,4226
確か,4220
会い,4209
王,4199
言え,4195
よかっ,4183
命,4180
見る,4169
見える,4166
死,4146
やら,4142
クソ,4135
たり,4120
つけ,4119
あぁ,4090
大,4072
道,4055
夢,4045
終わり,4040
どの,4029
知り,4018
たかっ,4017
やり,4006
攻撃,3950
質問,3921
ドア,3898
話す,3893
先生,3886
感謝,3879
思わ,3866
食べ,3856
戻る,3842
とっ,3830
つまり,3830
国,3826
今夜,3824
言葉,3823
名,3822
帰っ,3821
やつ,3814
第,3801
本,3800
とも,3800
出し,3793
用,3771
妻,3757
やめろ,3747
歳,3728
ござい,3727
野郎,3725
居る,3722
街,3720
多く,3716
やれ,3693
素晴らしい,3682
かけ,3682
おまえ,3675
失礼,3642
だめ,3631
っ,3627
博士,3624
５,3621
しまっ,3614
良く,3613
うち,3611
犯人,3600
すごい,3558
了解,3557
絶対,3549
使っ,3535
説明,3529
得,3527
すま,3525
写真,3524
なし,3524
どれ,3514
もん,3510
終わっ,3501
敵,3497
きっと,3487
番,3481
始め,3476
調べ,3464
聞き,3448
なんか,3448
いっ,3440
父親,3413
良かっ,3402
２人,3387
作っ,3386
ちゃ,3376
重要,3363
室,3355
状況,3355
チーム,3348
水,3330
員,3301
ま,3298
間違い,3291
十分,3284
元気,3279
取っ,3273
大統領,3268
続け,3237
丶,3218
たぶん,3195
出る,3194
命令,3181
血,3177
声,3170
呼ん,3166
証拠,3165
自由,3160
等,3156
相手,3155
受け,3143
一番,3136
答え,3129
人々,3125
戦争,3124
ほう,3121
一体,3112
秘密,3109
報告,3107
音,3096
簡単,3096
体,3094
週間,3073
残念,3053
与え,3046
件,3044
軍,3036
士,3034
す,3033
自身,3029
逮捕,3021
武器,3007
すみ,2999
真実,2984
ねぇ,2983
ヤツ,2981
昔,2951
口,2938
すぎ,2935
月,2932
アメリカ,2916
会社,2914
ちゃっ,2895
元,2891
警官,2875
初めて,2869
など,2869
４,2861
学校,2855
あそこ,2843
見ろ,2840
大変,2830
離れ,2806
ジャック,2800
ばかり,2797
聞こえ,2796
見つける,2781
地球,2773
犯罪,2763
寝,2749
うまく,2749
みろ,2743
いえ,2740
やあ,2739
てろ,2735
伝え,2735
破壊,2734
変,2723
置い,2715
守る,2703
存在,2697
大きな,2686
犬,2686
奥,2685
冗談,2664
間違っ,2664
我,2661
母親,2650
愛,2647
サム,2636
聞く,2633
気持ち,2629
役,2613
店,2613
責任,2610
ながら,2605
共,2600
こんにちは,2597
記録,2596
監視,2596
実,2594
座っ,2576
多分,2572
まず,2559
行動,2549
さえ,2544
違い,2535
分かり,2531
知る,2529
帰る,2528
書い,2524
刑事,2523
兄弟,2523
入る,2521
開け,2517
病院,2498
正しい,2497
生活,2495
６,2485
普通,2484
会,2478
兄,2475
協力,2474
気分,2471
向かっ,2468
何処,2462
嫌,2459
頃,2455
実際,2441
飛行,2423
乗っ,2421
送っ,2409
ゲーム,2406
長,2402
こ,2400
戦い,2399
研究,2399
罪,2391
すぎる,2390
チャンス,2382
大事,2374
消え,2374
唯一,2366
そいつ,2360
今度,2358
結果,2353
夫,2352
発見,2351
薬,2347
くそ,2344
番号,2344
