word,count
ეა,51959
ვ,38913
ნვ,34272
ჟვ,27759
თ,22315
ნა,22283
ჟთ,16172
ჱა,15894
ღვ,13609
რთ,13269
დჲ,12842
ლთ,12775
გ,11061
მთ,10752
ა,10491
რჲგა,10133
ფვ,9948
ჲრ,9084
ჟ,8210
კაკგჲ,7704
რვ,6484
ნჲ,6061
მვ,5562
ჟყმ,5271
აჱ,4693
ეჲბპვ,4371
აკჲ,4360
გჲ,4147
რპწბგა,4023
ჟა,4022
ნწმა,3904
ქრჲ,3886
მჲზვ,3734
მს,3715
ჟამჲ,3604
ნთ,3590
რაკა,3588
გთ,3562
დთ,3550
ოჲ,3501
წ,3469
რსკ,3402
თმა,3400
ბვქვ,3396
რჲა,3346
მნჲდჲ,2989
ჲე,2812
ჱნამ,2792
ეჲ,2736
ჟვდა,2709
კაკ,2709
ევკა,2678
კარჲ,2651
რჲი,2573
ჟჲ,2549
ნვღჲ,2468
ბთ,2449
ჱაღჲ,2284
მვნ,2142
რვბ,2083
ს,2076
გჟთფკჲ,2064
კაკჲ,2009
რჲ,2000
ჟმვ,1980
ჟრვ,1973
თლთ,1835
ჱნავქ,1818
ჲღვ,1775
კყევ,1767
თჟკამ,1750
ეჲბპჲ,1731
მჲდა,1621
ნალთ,1604
ბლადჲეაპწ,1567
გპვმვ,1564
გჟთფკთ,1551
თმამ,1544
კჲდარჲ,1539
ნვდჲ,1526
აჟ,1524
რამ,1518
რჲჱთ,1505
ჲ,1495
ჟსმ,1448
კჲ,1445
ოპჲჟრჲ,1437
ჲგა,1420
ჟამ,1403
კჲვრჲ,1401
რაჱთ,1390
ვეთნ,1361
რწ,1343
კჲი,1340
ნთღჲ,1324
ოპთ,1321
ჳაიევ,1317
მჲზვქ,1265
ნაჟ,1239
არა,1232
თჟკაქ,1224
ჱაღჲრჲ,1219
ჟლვე,1214
მჲ,1211
კჲდა,1206
პაბჲრა,1205
მთჟლწ,1205
ნთვ,1204
თმ,1171
მჲლწ,1171
თმაქ,1164
ეალთ,1147
ვენა,1140
მალკჲ,1139
ოპვეთ,1125
ფჲგვკ,1124
გთვ,1117
ბვჱ,1107
კაჱა,1106
ვრჲ,1098
გვფვ,1091
და,1090
რჲლკჲგა,1077
კჲირჲ,1073
გაჟ,1061
ევ,1060
ნვმა,1053
არ,1049
ევნ,1031
ნწკჲი,1024
რვჱთ,1015
ჱნაფთ,998
გჟვ,991
ვენჲ,968
ჟრაგა,960
რვბვ,954
რჲფნჲ,944
დ-ნ,927
მთჟლთქ,914
ოპაგთქ,875
ჟყზალწგამ,874
ოჲგვფვ,859
კაზა,859
თმამვ,854
კჲთრჲ,849
კჲლკჲ,845
რარკჲ,839
ი,830
ბაღა,829
ნაოპაგთ,825
დჲეთნთ,825
ნათჟრთნა,809
ბთევ,806
რჲდაგა,804
მვნვ,801
ჳჲპა,801
მნჲდს,785
კყმ,780
ზვნა,773
რპვბა,772
კაზთ,766
ბწჳ,751
ბთლ,743
ჟყჟ,742
პაჱბთპა,730
ოპაგთ,725
ოა,718
ნთკჲდა,716
ბყევ,713
ოპვე,713
ნვკა,713
ჲგევ,712
კაკრჲ,710
რომ,705
გთზ,703
ოპვჱ,696
ნვქრჲ,689
ოყრ,682
ფრჲ,669
კაჱაჳ,661
კაევ,654
გვ,639
რგჲ,631
ჟაკამ,628
კაზვქ,621
ჱნავ,619
ჟყპ,618
თჟკა,612
ბჲზვ,611
ჟყღჲ,610
ნვწ,610
ოაკ,609
ჟთრვ,609
ამთ,608
ეჲკარჲ,608
მა,604
ეჲპთ,598
ამა,593
ოაპთ,592
ეგა,591
ეპსდ,588
რაა,581
პვე,581
გთეწ,580
გჟვკთ,579
ჳჲპარა,578
ეწგჲლთრვ,576
გყგ,575
ჲგჲ,575
გთნადთ,572
ჲნ,570
ქრა,569
მწჟრჲ,567
ჱეპაგვი,564
ნთკჲი,563
ბთლჲ,556
რპთ,554
კჲწრჲ,551
რწჳ,549
ეგვ,549
რა,547
ჱჲქრჲ,534
ოჲჟლვ,533
კა,532
ჱავენჲ,530
ნვღა,528
ჱაპაეთ,526
ენვჟ,522
სრპვ,519
მაიკა,517
ოჲე,512
ნაოპაგწ,499
გვფვპ,499
რშ,498
ბთჳ,496
ზთგჲრა,495
ოპჲბლვმ,491
ვლა,490
მჲზვმ,488
ნაპვე,488
ჟთდსპნჲ,487
რპწბგაქვ,486
პაბჲრთ,484
ჟლსფთ,483
ჟრანა,480
რსკა,480
ეჲჟრა,478
ამ,477
მჲპა,473
ჱარჲგა,473
ვევნ,468
ეაი,463
ნვკჲ,458
გთეთმ,458
მჲწ,456
ჲჳ,452
ზთგჲრ,451
მთჟლამ,451
¼ვ,448
მამჲ,446
ჟვბვ,441
რამს,441
მთჟლვჳ,439
კჲთ,437
ნსზეა,437
დჲგჲპთ,433
ეჲიევ,431
სბთ,431
ეჲბყპ,430
ოპთწრვლ,427
ეჲბპა,427
ჲბთფამ,426
ჲჟრაგთ,425
ნაფთნ,424
თჱგთნვრვ,419
ჟაკაქ,419
პაჱბთპამ,419
ოჲ-ეჲბპვ,418
ნწკჲლკჲ,415
მე,413
მჲზამ,412
ბპარ,411
თმვ,410
ოაპთრვ,405
ჱნავრვ,400
მჲი,398
ჟთდსპვნ,397
ჲნა,395
ჲრნჲგჲ,394
მალკს,394
კაკგა,388
ევრვ,387
დლაგარა,386
მჲზვბთ,384
კაკგჲრჲ,384
ცრჲ,381
ჳვი,381
კაჱგამ,380
ჟრანვ,379
თმაქვ,379
პაბჲრარა,378
ეჲჟრარყფნჲ,377
თმარვ,376
ეპსდჲ,374
ჲეთმვ,373
მჲთრვ,372
ეს,372
ოპაგწ,372
სქრვ,370
დჲგჲპთქ,370
თჱდლვზეა,368
ჟსოვპ,366
რჲდაქ,365
გვენადა,363
ეჲმა,362
ბთლა,361
ჟრპანა,360
ბვ,358
მჲმფვრა,357
ნჲღ,357
ჟკჲპჲ,356
ნაოპაგთქ,355
გთეთ,353
დჲჟოჲეთ,350
დჲეთნა,349
ფაკაი,348
თმვრჲ,346
ოჲგვ,344
რთვ,343
მჲმფვ,343
მჲლამ,342
ნაგთჟრთნა,341
ჳსბაგჲ,340
თჟკაჳ,340
ჱეპაჟრთ,339
ენთ,339
ნწმამ,338
ჟთნ,338
ნთქრჲ,337
ჱეპაგჲ,334
კჲვ,331
მჲმვნრ,330
ბყპჱჲ,328
ლს,327
ჟრთდა,327
ეამ,326
ჟკყოა,324
მთნსრთ,322
ნვღარა,322
გპვმვრჲ,322
ჳაპთ,320
კაჱგა,319
