word,count
мен,363
ол,222
жоқ,165
сен,163
не,154
бұл,139
керек,110
оны,102
ба,99
жақсы,97
ма,97
менің,96
Иә,91
маған,91
бар,85
бе,84
деп,79
емес,75
оның,68
сіз,67
ал,66
біз,66
де,64
мені,64
ғой,62
жатыр,59
енді,58
олар,58
үшін,58
сенің,52
бірақ,50
да,50
бір,50
қайда,48
сені,46
саған,46
неге,45
адам,44
осында,43
болады,42
келеді,42
Николас,40
оған,40
доктор,40
Хаку,39
мына,39
бәрі,38
рахмет,38
тек,38
болды,37
дұрыс,36
мүмкін,35
және,35
сол,35
жұмыс,34
еді,34
тағы,34
басқа,33
ме,32
болып,31
егер,31
осы,31
біздің,30
мында,29
едім,29
солай,29
президент,28
өтінемін,28
Малдер,28
екен,27
сіздің,27
кетті,26
сияқты,25
кім,25
кәзір,25
өте,25
тұр,25
білмеймін,24
Скалли,24
Міне,24
болса,24
қалай,24
болған,24
бізге,22
Джо,22
пе,21
Сэн,21
алып,21
ғана,20
шығар,20
ше,20
сізге,20
жерде,20
кеттік,20
бәрін,20
Сәлем,19
шын,19
Уганда,19
бола,19
Кешіріңіз,19
туралы,18
ештеңе,18
әлі,18
жерден,18
Жарайды,18
мырза,17
келді,17
қалды,17
сонда,17
сізді,17
жерге,17
болар,16
онда,16
қой,16
жүр,16
деген,16
Қайырлы,15
жаңа,15
қан,15
бірге,15
адамдар,15
әкей,15
Тихиро,15
ФБР,15
екенін,14
тірі,14
себебі,14
қатты,14
осылай,13
келген,13
білесің,13
тіпті,13
дейді,13
тауып,13
таң,13
оларды,13
алмаймын,13
А,13
МеніңШе,13
жатырмын,12
Әй,12
Апа,12
Амин,12
Гариган,12
білемін,12
қандай,12
бер,12
өз,11
көп,11
У,11
тұрмын,11
бізді,11
Әке,11
бірдеңе,11
іздеп,11
нәрсе,11
олай,11
қол,11
қайта,11
па,11
келе,11
кел,11
бүгін,11
тиіс,10
тез,10
қарай,10
Құдай,10
үлкен,10
одан,10
көріп,10
ойлап,10
тұрсың,10
қажет,10
сондай,10
ең,10
Юбаба,10
дәл,10
ана,10
тым,10
соң,10
әйел,9
жағдай,9
көмек,9
болмайды,9
айтты,9
болмаса,9
түс,9
қарсы,9
Комази,9
келіп,9
келдім,9
уәде,8
бол,8
деймін,8
дене,8
айтып,8
өмір,8
арнайы,8
адамдары,8
боп,8
болу,8
өзі,8
өзім,8
Менде,8
Сендер,8
Кей,8
Тоқта,8
Тарт,8
сэр,8
Мынау,8
мұнда,8
бері,8
бойы,8
барып,8
ақ,8
оларға,8
қиын,8
аласың,8
алмай,8
қонақ,7
алмайсың,7
қуаныШтымын,7
Бо,7
қалдым,7
қарап,7
Аха,7
бала,7
барлық,7
ауырып,7
Маккензи,7
жоғалып,7
кетіп,7
кеткен,7
бұны,7
біреу,7
кезде,7
табылған,7
кейін,7
отыр,7
келмейді,7
екі,7
едік,7
секілді,7
Кәне,7
күтіп,7
тұрсыз,7
Джона,7
дейін,7
келдіңіз,7
Әрине,7
былай,7
жақсымын,6
керегі,6
таба,6
жеп,6
жауап,6
жұмысқа,6
Тоқтай,6
Бұның,6
зат,6
жөнінде,6
ойлайсың,6
барлығын,6
барады,6
жасап,6
О,6
Ой,6
ойлаймын,6
аласыз,6
үйге,6
берген,6
береді,6
қалған,6
Қорықпа,6
алды,6
қашан,6
алтын,6
Сондықтан,6
Шынымен,6
бос,6
шығып,6
өлтіреді,6
тыныш,6
әкем,6
істеп,6
айтасың,6
айтарым,6
үШ,6
әкеліңдер,6
өзен,6
әрі,6
артқа,6
болсаң,6
ешкім,6
Фокс,6
Джонас,6
болатын,6
дейсіз,6
іс,6
дем,6
болдың,6
кісі,6
Рин,6
хабар,6
едің,6
күн,6
Сара,6
Сау,6
көрген,6
керемет,6
көр,5
маңызды,5
лас,5
жүріңдер,5
көмектесе,5
міндетті,5
жол,5
Оботтың,5
Обот,5
барасың,5
баратын,5
ауру,5
жұмысы,5
Кешір,5
кешірім,5
бара,5
қорқып,5
Қайдан,5
қазір,5
алмаймыз,5
Қаша,5
алатын,5
қараШы,5
Қош,5
қызмет,5
құпия,5
берШі,5
қара,5
балақай,5
келсе,5
келмей,5
есімім,5
ем,5
жатқан,5
жатырсың,5
жеке,5
сұрап,5
Сізде,5
жақын,5
бірі,5
келдің,5
иісі,5
онымен,5
Тезірек,5
осыны,5
сөз,5
сұрақ,5
рет,5
сезіп,5
Моника,5
мынаны,5
көмегің,5
көре,5
көрдім,5
Кристиан,5
көреміз,5
отырмын,5
рұқсат,5
сатып,5
оңай,5
едіңіз,5
тұнба,5
етіп,5
Дана,5
дайын,5
ВИРДЖИНИЯ,5
Васва,5
ден,5
тұрыңдар,5
болдым,5
дейсің,5
ШТАТЫ,5
Шотландияда,5
Сонымен,5
сонШалықты,5
ФБР-дің,5
Юбабаның,5
шақырып,5
біледі,5
өмірін,5
өліп,5
Өзің,5
түрде,5
болсын,5
тура,5
істейді,5
Британ,5
істеуге,5
өтінем,5
ұшып,5
алған,5
Алайда,5
Амансыз,5
арада,5
айт,5
