word,count
내가,45842
난,41067
그,40870
안,39674
내,39129
수,38635
이,34948
네,34112
거야,33529
좀,29495
그래,26745
있어,24865
왜,23673
더,21880
그리고,21384
우리,20722
다,19121
한,19005
하지만,18830
무슨,18759
할,18721
잘,18504
어떻게,18217
그냥,18001
게,17434
정말,17315
있어요,16809
그럼,16797
것,16642
있는,16461
해,16345
여기,15654
제가,15631
넌,15479
날,15230
건,15226
전,14951
이제,14802
우리가,14643
지금,14564
걸,14531
뭐,14292
그게,14271
거,14062
네가,13735
없어,13682
아니,13580
돼,13070
제,12969
저,12908
못,12857
우린,12763
좋아,12336
당신이,12118
다른,11670
나,11407
거예요,11372
그런,11353
너무,10987
다시,10950
그건,10928
그래서,10830
이런,10607
그렇게,10604
이건,10567
모든,10535
나도,10354
당신,10215
당신은,9959
좋은,9740
때,9315
아,9283
오,9107
하는,9081
아니야,8843
하고,8757
뭘,8705
너,8585
아냐,8580
봐,8580
알아,8553
같이,8499
없어요,8491
나는,8428
이게,8230
닥터,8129
응,8003
오늘,7960
괜찮아,7726
말이야,7681
줄,7650
널,7501
어떤,7371
아주,7363
또,7352
아직,7298
누가,7282
말,7243
해요,7163
마,7143
진짜,6898
같은,6889
모두,6868
여기서,6790
하지,6779
안돼,6774
어서,6758
일이,6711
위해,6709
알고,6503
빨리,6483
바로,6458
될,6410
그는,6372
근데,6315
엄마,6313
전에,6272
이렇게,6242
있습니다,6229
가,6161
겁니다,6124
계속,6123
아뇨,6072
않아,6060
얼마나,6056
제발,6000
알았어,5985
이거,5951
있지,5932
좋아요,5850
어,5834
사람이,5782
안녕,5769
어디,5734
그래요,5651
같아,5627
우리는,5627
아니에요,5565
있을,5549
당신을,5528
그가,5519
때문에,5448
두,5446
그걸,5442
자,5280
몇,5263
대해,5255
수도,5214
거지,5196
아빠,5137
했어,5134
사람,5122
일을,4993
그렇지,4977
뭐야,4939
거죠,4903
많이,4895
저는,4837
함께,4833
돼요,4797
집에,4797
고마워요,4725
항상,4705
저기,4692
하나,4674
음,4664
나한테,4617
만약,4597
보고,4502
가장,4485
괜찮아요,4480
가서,4477
맞아,4460
말을,4457
잠깐,4448
없는,4343
가자,4336
안녕하세요,4330
알아요,4310
아무도,4300
그러니까,4266
그거,4242
아무것도,4238
와,4231
몰라,4190
많은,4155
뭐가,4130
그만,4110
큰,4108
했어요,4084
일,4076
젠장,4036
고마워,4024
그럴,3993
당신의,3989
것도,3972
말이,3959
사람들이,3959
그의,3889
이걸,3877
뭔가,3857
온,3855
아니면,3845
같아요,3845
이미,3844
아니라,3827
그런데,3824
있고,3819
뭐라고,3775
절대,3754
말은,3752
거에요,3746
있다고,3740
이봐,3716
당장,3710
그를,3681
세상에,3608
그래도,3592
대한,3554
않아요,3545
전부,3535
있죠,3533
둘,3532
자기,3518
갈,3486
말야,3476
하면,3474
거기,3466
야,3432
그녀는,3397
