word,count
ir,143144
aš,133797
tai,121754
kad,108299
tu,101545
ne,91964
taip,85264
jis,75148
ką,73102
čia,68253
į,63933
kaip,62668
ar,61881
su,61513
kas,57711
o,57697
man,57557
gerai,55081
mano,49531
bet,48151
iš,47461
mes,46325
tik,40467
tau,39251
ji,35385
yra,34292
jie,32255
jei,31942
tavo,31318
buvo,30558
savo,29746
kur,29208
kai,28855
mane,28715
dar,28700
jūs,27735
dabar,26644
apie,25915
viskas,25619
jį,25615
tave,24634
jo,24391
jau,23111
to,22790
labai,22677
ten,21154
reikia,20740
už,19981
turi,19843
po,19469
kodėl,19419
nieko,19024
mūsų,18561
dėl,18261
per,18226
nors,17512
gali,17196
jūsų,16987
gal,16753
tikrai,16672
Na,16625
ačiū,16211
nuo,16156
nori,16117
ko,16058
turiu,14485
bus,14256
jos,14058
štai,13830
ją,13298
manęs,13227
mums,12970
būti,12845
jam,12747
jums,12688
visi,12488
nes,12408
noriu,12217
pone,12212
žinai,11936
juk,11729
Ei,11549
tavęs,11395
tiesiog,11369
tą,11258
žinau,11230
nagi,11049
nėra,10945
daug,10875
tas,10824
ant,10803
tada,10705
viską,10570
prie,10499
jų,10357
iki,10138
juos,10025
prašau,9987
Labas,9941
nežinau,9782
vienas,9719
prieš,9703
daugiau,9504
mus,9410
galiu,9127
manau,9102
jus,8764
vis,8747
negaliu,8445
pas,8386
tiek,8364
pat,8193
taigi,8009
toks,7988
kol,7912
net,7897
be,7879
Dieve,7854
kiek,7728
nei,7673
koks,7562
esu,7535
žinoma,7525
mama,7464
pats,7204
būtų,7134
esi,6955
niekada,6870
kartą,6654
tiesa,6648
pasakyti,6547
visą,6484
geriau,6471
niekas,6432
atsiprašau,6397
vieną,6387
jog,6371
turime,6366
kada,6353
eime,6343
negali,6337
kuris,6334
jai,6334
kuo,6232
atrodo,6221
greičiau,6129
šiandien,6128
žmonės,6069
todėl,6045
eik,5983
aišku,5873
metų,5858
palauk,5795
arba,5753
tuo,5743
laiko,5726
atleisk,5721
vėl,5464
manai,5459
patinka,5422
jeigu,5323
šį,5175
visai,5170
tėti,5151
kartu,5147
nereikia,5136
sveiki,5085
du,5081
buvau,5061
puiku,5030
visada,5022
kam,5022
tuoj,4890
ta,4885
namo,4853
žmogus,4828
tačiau,4779
kažkas,4755
klausyk,4749
jiems,4729
darai,4699
juo,4657
visus,4650
sakė,4636
padaryti,4599
irgi,4452
eiti,4411
šūdas,4408
geras,4396
nenoriu,4378
a,4370
sveikas,4302
daryti,4271
kokia,4216
tokia,4202
nutiko,4158
galbūt,4095
gi,4094
visa,4093
viena,4092
kurie,4065
kitą,4038
padėti,3985
tam,3983
i,3942
dieną,3931
šis,3919
nė,3902
žmogau,3900
reiškia,3785
sako,3777
maniau,3772
pasakyk,3764
myliu,3748
velnias,3741
sakiau,3732
žmonių,3721
sau,3692
galima,3666
pinigų,3655
tavimi,3608
manimi,3596
bent,3588
turbūt,3578
tikras,3556
supratau,3511
velnių,3501
nebuvo,3455
norėjau,3389
laikas,3332
buvai,3300
kurį,3295
norėčiau,3295
tėvas,3284
paskui,3249
supranti,3239
matai,3237
vyras,3233
toliau,3212
vyksta,3203
pirmyn,3181
suprantu,3173
turim,3172
diena,3150
vardas,3147
pažiūrėk,3085
tie,3079
atgal,3068
metus,2985
metu,2978
neturi,2978
duok,2965
puikiai,2963
žiūrėk,2932
darbo,2931
lyg,2904
ja,2897
jokių,2896
malonu,2884
kažką,2877
liaukis,2870
sere,2858
šią,2847
Saša,2840
rimtai,2829
žino,2823
ponia,2803
greitai,2800
darbą,2800
tikiuosi,2790
manim,2767
kuri,2723
matau,2715
laiką,2715
ateik,2708
tuomet,2705
ši,2677
tavim,2676
pati,2676
gera,2669
galime,2668
mačiau,2658
gyvenimą,2655
visas,2625
nuostabu,2623
visų,2621
galėčiau,2620
teisingai,2596
visiškai,2587
rytoj,2583
naktį,2553
pinigus,2535
turėjo,2530
tokio,2527
šito,2518
tėtis,2512
Tania,2505
viso,2499
beveik,2484
tarp,2481
pasakė,2472
tikriausiai,2465
sakau,2451
turite,2445
šiek,2436
leisk,2424
kartais,2422
atleiskit,2422
lr,2422
žinoti,2421
sunku,2409
nebus,2393
anksčiau,2392
save,2379
nesu,2378
atsitiko,2373
draugas,2370
tos,2366
ilgai,2357
trys,2353
vieta,2352
neturiu,2351
truputį,2339
gana,2325
labiau,2324
darbas,2308
duris,2305
turėjau,2276
vėliau,2268
tuos,2267
dvi,2240
vadinasi,2230
visiems,2227
turėtų,2215
pamatyti,2195
sakei,2193
kalba,2180
vaikai,2176
šitą,2159
žmona,2150
nesuprantu,2148
kitas,2145
tiesą,2144
tikra,2102
daro,2096
ka,2092
nesvarbu,2088
Kuzia,2084
vakar,2081
matyti,2075
mergina,2067
šio,2059
einam,2052
šios,2048
einu,2040
vietą,2039
būsiu,2024
pagalbos,2020
vaikas,2010
paklausyk,2007
nemanau,2006
pasakysiu,2000
sūnus,1994
pasakiau,1991
žmones,1985
kalbi,1980
sekasi,1979
jas,1978
abu,1976
nenori,1960
tokie,1956
niekad,1953
būtent,1951
galite,1948
padėk,1948
draugai,1946
būčiau,1945
moteris,1945
jumis,1944
būk,1933
būt,1925
liko,1922
tų,1920
girdėjau,1908
mašiną,1906
vos,1902
teisus,1899
sveika,1897
vyrai,1896
kokį,1895
laukia,1892
blogai,1888
pasikalbėti,1888
vardu,1880
pirma,1880
galvą,1879
pro,1875
grįžti,1874
gyvenimas,1872
rankas,1869
padarė,1860
gaila,1859
kelias,1854
kita,1845
kurią,1842
padarei,1839
mieloji,1837
minučių,1836
negalima,1835
gero,1832
vienintelis,1831
dienos,1830
žinote,1816
žinot,1815
tiesiai,1799
vieno,1784
ponas,1783
kapitone,1782
ramiai,1778
norite,1776
reikėjo,1769
daktare,1769
gyvenimo,1767
Atleiskite,1760
nesijaudink,1751
visos,1747
žemės,1745
kiekvieną,1730
mirė,1729
šalia,1725
rytas,1717
atrodai,1712
eina,1711
Aha,1709
galėtų,1709
akis,1703
kurios,1701
kito,1688
pagal,1684
kuriuos,1680
panele,1680
girdi,1679
pirmas,1675
turėčiau,1671
matei,1667
pasaulio,1658
dalykas,1648
kitaip,1640
kiti,1635
vaikų,1633
namuose,1632
esame,1630
tris,1627
klausau,1626
dievo,1619
būsi,1619
as,1618
reikės,1616
tad,1610
niekam,1607
mirties,1603
galėtum,1601
šiuo,1600
vaikinai,1598
seniai,1596
visko,1592
šeima,1591
gyvas,1589
turėtum,1588
metas,1581
pavyko,1580
Jėzau,1579
namų,1578
kalbėti,1575
Džekai,1574
radau,1568
vandens,1561
mumis,1561
Maiklai,1560
jokio,1557
mintis,1554
supratai,1544
esate,1540
pasaulyje,1536
m,1535
tokį,1535
Oho,1534
eikš,1532
šitas,1531
pagaliau,1529
nužudyti,1527
namie,1523
myli,1522
savaitę,1521
žmogaus,1520
atėjo,1519
geriausias,1518
vietos,1517
galėjo,1514
nepatinka,1513
niekur,1504
galim,1504
kelio,1497
Alio,1491
norėjo,1488
gyventi,1487
galais,1482
keista,1477
pasakyt,1475
baik,1475
graži,1474
greit,1474
dievas,1471
vaikinas,1471
veikia,1470
palaukit,1464
įdomu,1463
sakyk,1462
namus,1460
mašina,1459
teks,1454
brolis,1452
ginklą,1452
patikėti,1450
prašom,1444
oro,1443
gyvenime,1443
dolerių,1441
cia,1437
pirmą,1434
padariau,1432
rasti,1423
ponai,1421
bėk,1419
kurio,1419
šeimos,1410
dalis,1407
gauti,1398
šitaip,1398
pasiruošęs,1394
vietoje,1391
pasaulį,1385
šiaip,1384
tokių,1383
užsičiaupk,1379
drauge,1373
lauk,1369
vien,1369
negerai,1366
Ak,1366
toli,1365
imk,1365
palikti,1363
beje,1356
svarbu,1355
tarsi,1350
tegu,1348
negi,1341
sakai,1341
negalime,1339
dėkoju,1330
jais,1329
dingo,1328
motina,1324
gyvena,1321
žmogų,1316
kitų,1315
pusę,1314
dėmesio,1311
paskutinis,1309
pinigai,1308
puikus,1307
atsargiai,1306
dirbti,1305
merginos,1303
ranką,1298
kažkur,1297
būtum,1288
drauguži,1283
surasti,1283
didelis,1280
būna,1277
ateina,1277
suprasti,1274
kelią,1273
baigta,1271
problemų,1271
meilės,1270
pakankamai,1270
kokie,1267
eisiu,1263
tokios,1261
vyrukas,1258
mielasis,1257
naują,1257
brangioji,1246
pasaulis,1242
išeiti,1235
reikalas,1233
mažas,1229
pasakei,1227
miesto,1227
Ala,1224
mašinos,1221
sėkmės,1219
istorija,1215
komanda,1212
dienas,1210
kokios,1210
šiame,1206
vakarą,1204
norit,1200
svarbiausia,1200
iškart,1199
grįšiu,1199
argi,1198
galvoje,1197
kalbu,1194
metai,1193
dienų,1191
velniop,1191
visur,1191
tiesų,1189
nebūtų,1186
karo,1183
policija,1178
Oi,1178
galvos,1178
gražu,1177
priklauso,1177
Džonai,1176
šįvakar,1175
laikykis,1173
bijau,1171
sakyti,1170
neįmanoma,1169
paleisk,1168
jaučiuosi,1168
stok,1168
žemyn,1164
išėjo,1163
džiaugiuosi,1163
patiko,1162
čionai,1161
tėvo,1159
nelabai,1159
važiuojam,1158
juokinga,1156
skamba,1155
naujo,1154
žinojau,1152
berniukas,1151
šaunu,1148
šie,1148
mudu,1148
kurių,1146
eini,1144
smagu,1139
vardą,1138
geriausia,1136
nužudė,1135
dalykų,1134
neblogai,1133
jokios,1132
vaikus,1132
parodyk,1130
galėtume,1129
paimk,1127
galvojau,1127
puiki,1125
tokiu,1116
turit,1113
dviejų,1111
padarysiu,1111
nenorėjau,1110
kambarį,1110
dirba,1105
nežinojau,1103
klausimas,1103
omeny,1102
gražus,1100
susipažinti,1098
dėkui,1096
šaunuolis,1093
maisto,1082
tikrųjų,1080
senas,1079
kiekvienas,1076
bičiuli,1075
sakant,1073
mirti,1073
nebėra,1072
norėtum,1072
aplink,1071
pavyks,1070
mažiau,1069
patys,1068
panašu,1068
nežinai,1067
pradėti,1066
prisiekiu,1065
lipk,1063
patį,1061
miela,1059
sūnau,1058
sveikinu,1057
leisti,1055
pala,1052
paliko,1046
darau,1042
kitos,1040
padėkit,1038
daryt,1037
pasakysi,1034
turėti,1033
sužinoti,1032
daktaras,1031
ateis,1030
nesąmonė,1029
valandų,1028
įvyko,1025
valandą,1024
kartų,1016
tuojau,1016
skauda,1016
valandas,1016
nežino,1016
baigėsi,1015
viduje,1014
kokią,1012
keletą,1011
pamaniau,1007
problema,1004
tapo,1004
namai,1000
tame,997
durų,996
paklausti,996
palik,993
žmonėms,992
proto,992
kažkoks,990
rankos,989
veiki,988
kelių,988
susitikti,988
jaučiu,987
kraujo,985
vakaras,982
d,978
planas,978
eikit,973
pameni,967
Silvestrai,967
lš,964
veidą,964
miestą,963
norėjai,960
ryte,959
nusiramink,958
grįžk,958
likti,958
nakties,957
savęs,955
būdu,950
tėvai,950
dukra,948
mėšlas,947
brangusis,946
atidaryk,946
karalius,945
tinka,945
