word,count
ir,68636
es,65064
tu,44896
un,39689
tas,29976
ka,28989
man,27611
to,27161
vai,24768
ko,24654
ar,23281
par,21677
kas,21381
tā,20958
kā,20153
viņš,19553
tev,17791
jā,17468
uz,16586
mēs,16481
no,16402
nav,15847
labi,15692
nē,15427
jūs,13913
bet,13888
lai,13137
ja,12014
viņa,12012
mani,11814
bija,11633
viņu,10885
esmu,10735
esi,10535
tevi,10279
mums,10164
ne,8109
tikai,7911
tad,7790
kad,7556
viņi,7499
jums,7405
arī,7060
viss,6936
pie,6837
kur,6822
nu,6159
vēl,5849
tik,5847
jau,5812
tur,5767
te,5681
kaut,5658
būs,5549
visu,5403
paldies,5402
tagad,5331
viņam,5326
šeit,5225
pēc,5212
kāpēc,5013
būtu,4600
ļoti,4594
savu,4415
lūdzu,4210
mūsu,4183
taču,4181
šo,3921
Ak,3867
gan,3845
mans,3810
jūsu,3772
kāds,3752
zinu,3647
daudz,3617
jo,3560
esam,3559
kungs,3553
varbūt,3516
cik,3465
zini,3452
tās,3415
mana,3229
domāju,3168
esat,3167
tiešām,3110
pa,3069
varētu,3037
var,3026
būt,3024
visi,2984
tam,2977
nezinu,2931
tāpēc,2927
viens,2892
nekad,2843
šī,2841
līdz,2790
pat,2788
aiziet,2713
gribu,2635
kurš,2580
manu,2577
varu,2553
kopā,2540
gribi,2529
neesmu,2525
tie,2522
prom,2522
dievs,2483
domā,2457
pirms,2456
vairs,2445
neko,2423
viņiem,2391
protams,2324
šis,2323
kādu,2320
vajag,2312
mūs,2301
vien,2293
kārtībā,2278
tieši,2245
tava,2173
atpakaļ,2147
nāc,2132
viņai,2109
nekas,2049
vienu,2022
pats,2005
tavs,2003
viņas,1975
vienmēr,1975
nevaru,1973
patīk,1971
vairāk,1958
vienkārši,1951
notiek,1944
bez,1913
vari,1909
dari,1901
tavu,1893
iet,1871
ej,1840
labāk,1820
pret,1813
dēļ,1785
nebija,1776
kāda,1758
teica,1751
lieliski,1737
biju,1727
šķiet,1712
laiku,1693
nekā,1679
mājās,1660
Sveiks,1647
Tātad,1607
piedod,1593
neviens,1591
zināt,1568
iekšā,1547
ser,1530
atkal,1526
pagaidi,1515
teicu,1500
ejam,1496
trīs,1496
laiks,1494
nevar,1491
viņus,1488
tāds,1481
manis,1462
runā,1444
darīt,1423
tevis,1412
ei,1401
cilvēki,1397
neesi,1385
pārāk,1381
visiem,1369
varam,1363
labs,1362
draugs,1361
sauc,1359
velns,1341
šurp,1337
cilvēks,1320
ārā,1316
sevi,1316
laika,1308
tos,1301
taisnība,1301
tēvs,1296
naudu,1288
viena,1286
skaidrs,1276
šodien,1259
notika,1246
laikā,1244
kuru,1231
lietas,1225
citu,1224
Atvainojiet,1223
tajā,1211
teikt,1208
grib,1191
šīs,1183
šajā,1167
tādu,1160
nozīmē,1153
dienu,1138
laikam,1130
kam,1128
izskatās,1128
mīlu,1112
vajadzētu,1109
žēl,1108
bijis,1105
jābūt,1102
vecīt,1090
tāda,1090
tāpat,1089
tūlīt,1085
redzēt,1082
manas,1080
negribu,1072
noteikti,1070
iespējams,1069
kādēļ,1064
kamēr,1053
palīdzēt,1052
divi,1048
joprojām,1042
savas,1039
zina,1035
saki,1035
visus,1032
cilvēku,1027
nevajag,1027
gatavs,1023
tika,1022
līdzi,1020
ātrāk,1014
redzi,1000
pareizi,997
vietā,997
nebūtu,988
tikko,988
manā,984
ātri,984
ilgi,982
paskaties,972
Sveiki,957
darbu,956
jauki,947
gadu,941
vajadzīgs,940
lieta,937
tiem,934
Sveika,934
visas,928
noticis,919
saka,915
mamma,911
beidz,910
katru,909
velna,900
nebūs,898
galā,890
dēls,882
starp,879
gribēju,879
augšā,876
rokas,872
pateikt,870
gadus,868
gandrīz,867
lūk,865
droši,859
vārdu,858
nedaudz,856
dienas,845
aiz,844
biji,840
gribētu,836
tiek,835
ļauj,835
laba,830
it,830
skaties,830
rīt,822
sev,806
teici,806
Hei,799
liels,797
vārds,797
kundze,796
dod,794
klāt,793
būšu,792
dara,792
savā,787
gadiem,784
dzīvi,774
pāris,771
vietu,766
lietu,765
mazliet,765
diena,762
Harij,756
jāiet,749
mīļā,749
vieta,749
vaļā,744
reizi,738
nevis,734
pasaulē,731
tēt,730
runāt,730
vīrs,729
redzu,728
drīz,726
darba,723
draugi,722
tavas,722
priekšā,721
darbs,718
abi,718
varat,717
ceru,714
laukā,713
nemaz,707
priekšu,706
pasaki,703
atrast,703
redzēju,702
visa,702
cilvēkiem,699
labu,698
lejā,697
puiši,697
nāk,692
atceries,688
saproti,687
saprotu,686
divas,685
tēti,682
sapratu,678
grūti,671
pāri,669
bērni,669
tomēr,669
vajadzēja,668
pasaules,665
kopš,662
nogalināt,660
nevari,660
atvaino,659
nopietni,658
tālāk,658
redzējis,657
doties,655
patiesībā,654
durvis,652
jādara,652
miris,652
saku,647
diezgan,644
nedomāju,642
tikt,639
vēlreiz,635
pati,633
slikti,631
vienalga,627
pilnīgi,626
nost,622
kura,622
cauri,620
naudas,617
šovakar,617
ņem,609
nauda,606
vēlāk,604
vismaz,603
priekš,601
Pīter,600
meitene,600
mašīnu,599
roku,588
FIB,584
reiz,583
dzīve,583
nespēju,581
patiešām,569
sasodīts,569
pirmais,569
tavā,569
ceļu,568
nekādu,567
piedodiet,563
nepatīk,561
būsi,560
atā,559
pašu,558
prieks,558
zemes,556
vietas,554
vēlies,554
acis,553
izdarīt,550
mājas,548
ejiet,548
šie,548
šejienes,544
gribat,543
nesaprotu,543
zem,541
priecājos,541
nolādēts,538
tai,537
paliec,537
gada,537
Klau,535
Nīl,534
iesim,534
mīļais,531
kādreiz,527
kādas,527
cits,527
strādā,526
notiks,526
kungi,525
neesam,520
sieva,520
savus,520
otru,519
dzīvo,519
bērns,518
vienīgais,518
iespēja,515
sava,515
nāciet,515
klausies,513
kādam,509
svarīgi,509
bērnu,508
palikt,505
nevienam,502
liekas,501
vajadzīga,498
labā,496
minūtes,495
dabūt,492
garām,492
runāju,492
tētis,489
izbeidz,489
vēlos,485
beidzot,483
nakti,481
pagaidiet,480
galvu,479
nevaram,476
māte,476
labākais,475
laipni,475
viegli,475
tiks,473
citādi,472
vispār,472
dzīvot,471
ūdens,471
Džek,470
sieviete,470
brauc,469
nedrīkst,469
ceļā,467
pēdējā,466
pirmo,466
puika,465
pirmā,464
dienā,464
tālu,463
Oho,463
atrodas,463
dolāru,462
Dieva,462
tādēļ,461
puisis,461
tām,461
tiksimies,460
kuri,458
būsim,458
mierā,457
mazais,456
atradu,455
palīdzību,454
mammu,454
īsti,454
pusi,453
daži,452
stundas,451
drošs,450
manuprāt,449
sen,448
daru,445
problēma,445
pasaule,443
doma,443
parasti,442
sirds,441
pietiek,438
daļa,436
mašīna,434
izskaties,434
forši,433
pietiekami,433
gadījumā,433
šim,432
uzmanību,429
dažas,429
tādas,428
gadā,428
jautājums,428
aizveries,428
ziņu,427
gribēja,426
nāves,426
brālis,424
ASV,422
liec,422
dzirdēju,422
bijām,420
mājā,419
gaida,419
sievu,418
Labrīt,418
cilvēkus,415
nogalināja,414
vīru,413
zināju,411
kuras,411
palīdzi,410
dzīves,408
skaista,408
meklē,408
gadi,407
paliek,407
satikt,407
šobrīd,405
liela,404
gluži,402
pasauli,402
nezināju,401
atgriezies,399
jaunu,399
ieroci,397
Hallo,397
agrāk,397
kādi,397
vēlu,397
kādā,396
s,396
tuvu,395
Čau,395
zinām,395
nekādas,394
dzīvs,394
ziņas,393
o,393
turies,392
draugu,392
dzīvību,390
kurā,390
nomira,390
rīta,390
iešu,390
mieru,389
pavisam,388
nevienu,388
apkārt,386
māju,385
uzmanīgi,385
Jēziņ,385
plāns,385
spēj,384
sievietes,383
drīkstu,383
ģimenes,383
runa,382
vēlas,381
atceros,381
vajadzēs,380
vārdā,379
gatavi,379
esot,379
domājat,377
patiesību,377
citi,377
spēlē,377
Hārvij,376
blakus,376
smieklīgi,374
vakar,374
tādi,373
dzirdēt,373
pieder,373
vaina,372
jauna,372
minūtēm,371
nedēļas,370
strādāju,370
nomierinies,369
bijusi,368
jūtos,368
caur,367
meitenes,367
vispirms,366
klājas,366
paņem,365
izklausās,365
meiteni,364
īpaši,363
tavi,361
vienā,360
re,359
drošības,358
mašīnā,358
prātā,358
darāt,358
domāt,358
vienīgā,358
vecais,358
zemē,356
palīgā,356
dāmas,355
neuztraucies,355
pakaļ,354
atvainojos,354
nebiju,353
jauns,352
nakts,352
izdevās,352
pār,351
tēvu,351
pēdējo,350
tepat,350
pietiks,350
ģimene,349
saviem,348
bērniem,348
tiesa,346
a,346
tuvojas,346
neesat,346
valsts,346
neviena,345
šiem,345
liek,344
dzirdi,343
negribi,343
divus,343
tikpat,343
iespēju,342
vēlaties,342
ideja,342
mazā,341
jauks,340
īsts,340
nezini,338
apsolu,338
brīdi,338
tici,338
vecāki,338
īstais,337
mašīnas,337
vērts,337
neticami,336
lieliska,336
beigas,334
saprast,334
šoreiz,334
varēja,334
turpini,333
pusē,333
ellē,333
atgriezties,331
kļūst,330
iepriekš,330
māja,330
godīgi,329
desmit,328
pārliecināts,328
braukt,327
skaisti,327
cita,327
braucam,326
kurienes,326
Sāra,325
kurp,325
paklausies,324
asinis,323
aģents,323
parādi,322
skrien,321
durvīm,321
noticēt,320
šos,320
dzīvē,320
spēle,320
cenšos,320
tiesas,320
dīvaini,319
Pīters,318
gatava,318
iepazīties,318
jātiek,317
maz,317
mierīgi,317
padomā,316
lielisks,316
jautri,316
zemi,316
izdarīja,315
vainas,315
izdarīji,315
tēva,314
izmantot,314
lika,314
nekāda,314
redzēji,313
šai,312
ap,311
citiem,311
darīsim,311
Nīls,310
cietumā,307
sakot,306
diez,306
komanda,306
dzimšanas,305
visā,304
brāli,304
atdod,304
pilsētā,303
daudzi,303
cilvēka,302
pēdējais,302
jauka,301
kara,301
nezina,301
katrs,301
aprunāties,301
reizes,301
vienam,300
kreisi,300
gaisā,300
beidzies,299
pieci,298
strādāt,298
viņù,297
kurieni,297
Leo,297
piemēram,296
jautājumu,296
pazīstu,296
darām,296
manai,296
stāsts,295
galvenais,295
likās,295
gulēt,294
rokās,294
manam,294
atrada,294
telefonu,293
otrā,292
tādā,292
atver,292
savām,291
sākt,291
drošībā,291
spēli,291
pateikšu,291
tiesības,291
izņemot,290
dzirdējis,290
paga,290
Jēzus,290
jūties,289
dodas,287
nekur,287
darbojas,287
eju,286
nedari,285
ved,285
džeks,284
reizēm,283
kāp,282
paskat,282
patika,281
Oh,281
bērnus,281
j,280
spēles,280
bail,280
b,279
jāzina,279
traks,279
darītu,278
sūda,277
kājas,277
ļaudis,277
naktī,277
kuģi,277
sievieti,277
iemesls,276
ceļa,276
policija,276
i,276
kļūt,275
visām,274
meita,274
celies,273
veicas,273
mirkli,272
paši,272
zvēru,272
redz,271
sajūta,271
jauno,271
visur,271
suns,270
sāka,270
izmanto,269
mīlestība,269
mazāk,269
vīri,269
seju,269
sāk,268
malā,268
turp,268
iedod,268
skolā,268
dienām,268
dievam,268
lietā,268
nesaki,268
draudziņ,268
darbā,267
atbildi,267
gāja,267
brīnišķīgi,266
lielu,266
zelta,266
istabā,265
dārgā,265
iespējas,265
nepieciešams,265
rokā,265
meklēju,265
ļaujiet,265
apsveicu,264
kapteini,264
jausmas,264
dažreiz,264
nevajadzētu,264
uguni,264
draudzene,263
galda,263
uzreiz,263
jūtu,262
Džon,262
daļu,262
pilsētas,261
ieradies,260
stāstu,260
abiem,260
veids,260
bojā,259
šādi,259
atstāt,259
seko,258
pagaidām,258
jāatrod,258
bieži,257
doktor,257
ceļš,256
gribēji,256
dodies,255
negribēju,255
kuģis,255
ziņā,254
četri,254
parunāt,254
redzat,254
varēsi,254
nāvi,254
the,254
teikšu,253
manī,253
palīdziet,253
karš,252
diemžēl,252
ūdeni,251
jaunkundz,250
slikts,250
klausos,250
parādīt,250
nespēj,250
mister,250
spēku,249
palīdzība,248
tiktu,248
atslēgas,248
ielas,248
galvas,248
citas,248
sākas,247
meklēt,247
ģimeni,247
katram,246
pēkšņi,246
mērķis,246
bijāt,246
nāve,246
zināms,246
kājām,246
jādodas,245
gana,245
arvien,244
zēns,244
patiesi,244
Labdien,244
pretī,243
došos,243
paskatieties,243
tuvāk,242
sāku,242
paklau,242
kafiju,242
vis,241
domājis,241
kurus,241
met,241
dēlu,241
zināji,240
mājām,240
dodamies,240
sākumā,239
patiesība,239
saprati,239
vecs,239
skatieties,239
ciet,238
informāciju,238
t,238
parādā,238
acīs,238
beigās,238
problēmas,238
uzmanies,237
tikšanās,237
vīrietis,236
maniem,236
jāsaka,236
nedomā,236
vina,235
pašā,235
bīstami,235
dosimies,235
virs,234
atradi,233
dabū,233
dr,233
vārdi,232
jaunais,232
skat,232
Tom,231
laid,231
Maik,231
mīl,231
pašam,230
nerunā,230
zināja,230
pastāsti,230
esiet,230
pilnībā,230
ik,229
vērā,229
darīšu,229
sāp,228
jebkad,228
grāmatu,228
kuram,228
divām,228
turi,228
malacis,228
pilsētu,227
apmēram,227
vārdus,227
atgriezīšos,227
lietām,226
zāles,226
šīm,225
izdarījis,225
teiktu,225
dot,224
nevarētu,223
muļķības,223
m,223
darīsi,222
sevis,221
auto,221
vēlētos,220
veidā,220
stāvi,220
draugiem,218
pēdas,218
mākslas,218
sirdi,217
interesanti,217
ēst,217
domāji,216
maksā,216
prieku,216
likt,216
teiksi,216
izdarīju,215
rakstīts,215
Moz,215
brīdis,215
maza,215
paša,215
u,214
spēlēt,214
sāksim,213
māsa,213
virsū,213
labākā,212
mūžu,212
īsta,212
paskatīsimies,212
karalis,212
devās,212
Hārvijs,212
kaptein,212
gaismas,211
jūras,211
cenšas,211
vienas,210
zaudēt,210
numuru,210
aizgāja,210
teicis,210
šejieni,209
prātu,209
dzirdu,209
pateica,208
gribam,208
ticu,208
nepareizi,207
tavai,207
nevajadzēja,207
nākamais,207
ilgu,206
dabūju,206
manus,206
mazo,206
sāpes,206
atrodi,205
ārpus,205
zinātu,205
joko,205
patīkami,205
čārlij,205
kuģa,204
stundām,204
proti,204
puses,204
tevī,204
puisi,204
māti,204
glābt,204
klausieties,203
paņemt,203
vainīgs,203
skolas,203
vinu,203
labais,203
aizmirsti,202
brīdī,202
sejas,202
šorīt,202
labas,202
centies,202
veco,202
mantas,202
kļuva,201
dzīvības,201
pārējie,201
Donna,201
ta,201
kapteinis,201
gaisa,201
nākt,200
vakariņas,200
atgriezīsies,199
slikta,199
vakarā,199
iedomāties,199
mirt,199
tavam,199
mirusi,199
mamm,198
tuvumā,198
stundu,198
atstāj,198
neredzu,197
bumbu,197
sapnis,197
traki,197
mirklīti,197
spēju,196
Džeik,196
vienīgi,196
klusu,196
attiecības,195
pateicos,195
visai,195
jūtas,195
ierocis,195
šķita,195
uzticēties,195
tēvam,195
galu,195
telefona,195
nogalinās,195
centos,195
pirmajā,195
nedēļu,195
skatīties,194
labāko,194
mēnešiem,194
atradām,194
mazs,194
bankas,194
Nik,194
zvana,194
nevarēju,194
vienošanās,193
acīm,193
veiksmi,193
sauca,193
palika,193
Luis,193
šonakt,192
dosies,192
dabūji,192
nekavējoties,192
apsēdies,192
lielais,191
kuriem,191
numurs,191
baidos,191
balss,191
diviem,191
joks,191
gudrs,191
mis,191
uzzināt,191
savam,190
muti,190
meitu,190
Harijs,190
pārbaudi,190
telpā,190
visam,189
parāvis,189
dārgais,189
grāmatas,189
vācies,189
dažus,189
ieročus,188
dzīvoju,188
vārda,188
miljonus,188
brīvs,188
panāc,188
turklāt,188
negrib,188
stāv,188
Šrek,187
garšo,187
skaidri,187
acu,186
kāju,186
labāks,186
mīlestību,186
cilvēkam,186
ziniet,186
otra,186
domas,185
noliec,185
dzirdēji,185
tikšu,185
Arlabunakti,185
gultā,185
redzējusi,185
varēju,184
turpināt,184
padara,184
nevarat,184
kungu,184
nevēlos,184
burvju,184
nesaproti,183
sarunāts,183
mātes,183
pieņemt,183
sāc,183
cip,183
īstā,183
zvanu,183
tikšanos,183
Kenai,183
nepatikšanas,182
pag,182
tiksim,182
lielā,182
skaists,182
boss,182
policijas,182
atradīsim,182
nāku,181
trim,181
viņā,181
palieciet,181
reizē,181
nāks,181
aizņemts,181
iedeva,181
tīrs,180
palicis,180
lido,180
teikts,180
zeme,180
atbilde,180
dodos,180
paņēma,179
pazīsti,179
stāvoklī,179
galvā,179
vidū,179
guļ,179
izdosies,178
laimīgs,178
pirkstu,178
vienošanos,178
gaismu,178
gabalu,178
gaidīt,178
nudien,178
noslēpumu,178
dabūšu,178
mērķi,178
labo,178
meli,178
pakaļu,178
mirst,177
teicāt,177
birojā,177
galam,177
katrā,177
pilsēta,177
vienreiz,177
brāl,176
nenozīmē,176
būsiet,176
cīnīties,176
dažiem,176
paliks,176
piecas,176
pilna,176
muguras,175
puse,175
Džeims,175
Bobij,175
parādīšu,174
darīja,174
izdari,174
neatceros,174
alu,174
darījis,174
jaunā,174
aģent,173
neļauj,173
apturēt,173
pateicu,173
Džesika,173
taviem,173
sekundes,172
pelnījis,172
sākam,172
Stjū,172
apskatīt,172
brīnums,172
kārta,172
tiklīdz,172
ēd,171
savai,171
varonis,171
palīdz,171
Hermione,171
jābrauc,171
sīkais,171
otrs,171
braucu,171
pašlaik,171
Ņujorkā,171
nezinām,171
Deivid,171
projām,171
turieni,171
smadzenes,171
bailes,171
nākamo,170
pārsteigums,170
katra,170
manām,170
Džouns,170
Alan,170
iznīcināt,170
uzdevums,170
slepkava,170
