word,count
jeg,2583065
det,2483337
er,2319286
du,2028819
ikke,1467758
en,1003650
og,983505
i,920116
har,913127
vi,853125
på,821558
å,796343
til,718765
deg,669612
med,647920
meg,632015
han,629903
hva,621454
for,618456
som,564690
at,545646
så,531246
de,504669
kan,501034
den,486502
var,460350
vil,422833
av,419400
om,410506
men,373528
skal,362326
et,327213
ja,319151
her,296902
bare,280751
dere,279717
dette,279640
må,273974
hun,273763
noe,271542
nei,269620
vet,265294
nå,253392
ham,233725
min,225205
ut,224401
kom,217053
din,207440
da,206820
oss,201514
ha,189083
gjør,187581
hvor,184374
fra,182935
være,174579
noen,169489
der,166015
dem,165353
igjen,159795
se,158045
ta,153138
ville,148652
kommer,145040
alle,143429
går,139904
alt,137972
få,135817
tror,134624
hvorfor,134244
opp,133796
hvordan,132975
gjøre,131691
hvis,131399
ingen,130684
seg,130547
hadde,126772
sa,125705
bra,124538
når,123286
får,122937
blir,122308
takk,121037
henne,120711
gå,120082
bli,116441
eller,116323
si,112542
ser,112221
la,111746
hvem,111445
inn,105940
Hei,105377
litt,103919
etter,103438
denne,101604
ble,97806
tilbake,95515
aldri,92198
kanskje,92175
vel,91649
ok,89014
skulle,88994
jo,88762
trenger,85757
to,85229
sier,82446
kunne,82165
over,79798
mer,79034
før,78860
vært,78506
også,78418
tar,76553
man,75653
gi,75271
god,74879
selv,74807
mye,74477
nok,72308
mitt,71713
hans,71610
sammen,68919
gjorde,67909
dag,67081
gang,66728
enn,66290
ned,64991
andre,64551
sett,63741
vær,62786
mine,62285
fikk,61810
ditt,60419
siden,59694
greit,59552
mot,57669
helt,57620
år,57019
faen,56602
deres,56349
hele,54988
komme,54059
godt,53210
snakke,52657
ved,52020
mann,51274
dra,50140
gjort,50062
fordi,50036
rett,49679
folk,48868
liker,48649
mange,48031
dine,47950
mener,47721
alltid,47696
mr,47306
sant,47169
sånn,47147
ting,46534
vent,45902
tok,45461
tre,44937
vår,44838
hold,44773
hjem,44489
finne,43018
Unnskyld,42912
veldig,42388
beklager,42353
tid,41861
uten,40574
burde,40547
hit,40435
trodde,40307
ingenting,40220
bedre,39550
gikk,39163
sir,38978
hjelpe,38439
morgen,38355
livet,37997
vite,37613
akkurat,37570
visste,36722
virkelig,36714
kveld,36649
lenge,36353
slik,36238
snakker,36196
kjenner,36143
skjer,36006
far,35971
sin,35804
elsker,35707
står,34882
samme,34790
ute,34743
død,34070
første,33764
hjelp,33676
disse,33111
snill,32669
feil,32580
forstår,32223
Herregud,32169
gir,31653
siste,31556
pappa,31527
helvete,30620
eneste,30199
én,30103
fant,29972
hennes,29970
hør,29913
mamma,29681
vei,29594
under,29551
klar,29346
sted,29267
blitt,29205
drepe,28554
holder,28498
heter,28419
barn,28246
bør,27873
penger,27746
slutt,27733
fint,27354
visst,27353
prøver,27262
skjedde,27193
Hallo,26961
tro,26936
borte,26919
drar,26894
døde,26784
verden,26773
redd,26674
husker,26649
rundt,26578
snart,26487
mor,26482
bilen,26311
beste,26275
hver,26139
veien,26076
gud,26074
holde,26059
våre,26035
venn,25900
finner,25879
like,25706
tatt,25703
hører,25688
faren,25643
høre,25625
annet,25366
flere,25353
hos,24975
bort,24725
inne,24699
fortelle,24688
måtte,24616
først,24504
fått,24249
stor,23977
gjennom,23926
liv,23907
heller,23608
tiden,23417
ga,23358
betyr,23297
glad,23166
sikker,23157
neste,23085
mannen,22750
sikkert,22654
annen,22560
