word,count
nie,38005919
to,28207021
się,22934317
w,17468188
na,15058881
i,13962837
z,13607862
że,13447561
co,12643357
jest,11946151
do,10305953
tak,9535420
o,7749592
jak,7519289
ale,6517783
mnie,6263850
a,6109296
mi,5417017
za,4597990
ja,3848122
tym,3792647
ci,3771285
go,3764425
tego,3730018
tu,3667356
tylko,3532660
po,3529777
może,3479265
czy,3438958
ty,3404463
ma,3389253
cię,3379509
jestem,3374817
mam,3178862
już,3173002
jesteś,3083990
jeśli,2909913
coś,2874524
wiem,2854862
dla,2803307
dobrze,2579949
od,2575664
pan,2564136
teraz,2496055
więc,2444033
wszystko,2345326
być,2301065
tam,2236223
nic,2228038
masz,2217229
będzie,2208130
proszę,2159593
mogę,2076015
są,2074532
gdzie,2026843
jej,2003353
ten,1988316
on,1917069
ciebie,1903466
sobie,1881290
kiedy,1880377
ze,1837640
by,1824025
był,1811549
wiesz,1807264
bardzo,1737925
nas,1726871
było,1726390
jego,1718886
przez,1717825
ją,1704681
jeszcze,1699208
chcę,1681730
pani,1644687
mój,1640450
dlaczego,1633976
ich,1626623
no,1572785
żeby,1549140
chcesz,1523003
bo,1498121
też,1471538
mamy,1447098
tutaj,1436708
kto,1367791
nigdy,1361668
dobra,1344698
mu,1305175
naprawdę,1302857
możesz,1286825
przepraszam,1273591
chyba,1195185
muszę,1193314
porządku,1182227
dziękuję,1171285
gdy,1169471
nawet,1107318
zrobić,1093382
domu,1087360
prawda,1083988
właśnie,1079934
ona,1071958
nam,1036353
była,1023055
będę,1007466
panie,998317
nim,994825
te,984730
bez,980997
zawsze,980015
musisz,976979
je,969867
ktoś,949722
tej,948845
jesteśmy,944338
moja,944282
dzięki,936447
musimy,926516
Hej,904873
trochę,903307
czas,887844
moje,886894
który,878071
twój,876096
lat,869957
więcej,869387
powiedzieć,864239
możemy,857282
wszyscy,853396
chce,847476
albo,839558
ta,828904
tobą,828665
chodzi,818540
czego,808740
sam,801297
razem,799412
pana,794957
prostu,790754
Cześć,787191
stało,787136
mną,780123
dalej,768307
Boże,761807
przed,754034
was,748222
będziesz,738687
ludzi,738495
raz,738476
ludzie,735843
czym,735726
czemu,729180
niż,723343
przy,705168
życie,696417
niech,694203
myślę,690466
dobry,688137
czasu,673056
lepiej,672353
miał,667686
kim,664198
dzień,662502
robisz,657628
temu,656174
twoja,652223
myślisz,647009
rzeczy,644840
daj,644530
nikt,634790
chodź,631777
niego,629346
my,624032
musi,620683
tych,618841
pod,618800
siebie,613596
które,613408
im,612124
twoje,608898
moim,605266
powiedział,605194
oczywiście,604531
powiedz,599947
jeden,591762
u,584617
mówi,580627
pewnie,578245
dlatego,578190
stąd,574623
aby,569114
ok,568333
wygląda,563416
mojego,555023
dwa,552166
wie,551738
wtedy,550411
dziś,545127
taki,543661
cóż,541310
oni,534536
dzieje,533644
wszystkie,532922
będziemy,532534
mieć,532522
potem,527786
rozumiem,526279
takie,523266
ile,521974
znaczy,519842
skąd,519750
jako,516610
pomóc,513734
miejsce,513670
moją,510133
wiele,509444
nią,508848
jasne,504637
mojej,500900
kilka,496728
iść,494812
wiedzieć,493805
byłem,493390
nich,491613
dużo,490837
cały,489251
wam,488295
swoje,484662
przykro,479737
wszystkich,479012
tę,477679
kurwa,475866
nad,475741
trzeba,475165
jakieś,474820
można,471532
jakiś,470594
dzieci,469128
myśli,468460
mają,466917
tyle,447438
szybko,446329
która,444187
cholera,443148
zanim,441462
sposób,441163
kogoś,439383
mówisz,435562
robić,433594
niej,431711
tobie,430306
bardziej,426340
zbyt,425841
takiego,425836
zaraz,425706
pewno,424608
miałem,418747
mówię,415465
pracy,414400
ani,413246
trzy,409543
rację,409290
kocham,407808
świetnie,405452
myślałem,405104
jaki,402217
stanie,401191
ojciec,400913
stary,400199
zobaczyć,399263
kochanie,395815
robi,393142
dzisiaj,391905
nadal,390566
życia,389466
będą,388454
idź,388388
widzę,387555
kiedyś,387051
przestań,385677
aż,385426
wciąż,381793
długo,379621
twoim,379032
tą,376510
każdy,376175
swoją,375889
później,375871
chciałem,375404
widzisz,371179
dni,369610
nadzieję,368544
potrzebuję,367418
mógł,367320
sie,366252
problem,366082
żebyś,362748
jutro,358972
tato,356860
nami,354359
twojej,353397
ponieważ,352777
żyje,349067
znaleźć,347893
koniec,346680
taka,346229
dokładnie,346177
zabić,345788
widziałem,343953
gdyby,343614
pierwszy,342078
dnia,341756
mamo,341609
nasze,341538
nasz,341305
powiem,340479
nocy,340364
znam,339576
znowu,339119
zrobił,337297
samo,337057
twoją,335338
sama,330529
czuję,330027
razie,329225
jakie,328924
dziecko,328855
wy,328700
minut,328673
chciał,326095
spokój,325684
broń,324198
pieniądze,323144
miała,321332
imię,319205
został,319124
wszystkim,319010
czegoś,318570
dobre,316327
którzy,315350
były,315312
słuchaj,315166
c,314856
chwilę,314299
zostać,313459
drzwi,312936
sobą,311290
spójrz,310421
chciałbym,309988
mogą,309913
bym,309042
wcześniej,308395
miło,307644
mówić,305281
poza,304161
kogo,303555
sir,303518
posłuchaj,302854
porozmawiać,301621
jesteście,300759
roku,298943
dom,297595
twojego,296434
panu,296350
człowiek,295376
wiemy,294118
prawie,293762
we,293451
powinniśmy,290778
macie,289723
mów,289449
powiedziałem,289308
gdzieś,287320
byłeś,286401
którą,285828
lub,285156
pomocy,284856
mama,283455
powodu,283302
jakby,282614
jednak,282096
żadnych,280895
sprawy,280504
końcu,280430
Oh,280020
mówiłem,280002
czekaj,278722
innego,278399
przecież,278309
moich,277861
wydaje,277628
zrobię,277492
razy,274205
dość,272705
lubię,272555
pomysł,271368
jeżeli,268841
którego,267525
miejscu,267453
idziemy,267333
facet,263423
żebym,263224
powinieneś,262708
ciągle,261889
podoba,260748
byłam,260278
ojca,259809
noc,258268
spokojnie,258149
lata,257693
skoro,257170
niczego,255222
źle,255086
pamiętasz,254264
jedno,252890
znasz,252846
pewien,251270
dwie,251185
sprawa,250264
takim,248344
zamknij,247013
rozumiesz,246056
świat,245829
nowy,245493
pokoju,245492
byś,243460
którym,243097
bądź,241715
Och,241408
oczy,240047
powiedziała,238768
których,238227
dr,237849
musiał,237334
nimi,237285
swój,236508
również,235748
dwóch,235679
swojego,235081
jedną,234387
chodźmy,233531
wystarczy,231697
idę,231539
mały,231130
właściwie,230926
której,230197
sądzę,230120
weź,229540
życiu,229460
dokąd,229156
trzymaj,228645
da,227966
śmierć,227803
całą,227086
podczas,226765
śmierci,225721
numer,225685
wrócić,225278
swoim,225001
sprawę,224985
poważnie,224872
byli,224154
chcą,223942
samochód,223702
rano,223358
powinienem,222684
oto,222541
całe,222164
wiedziałem,222068
jedna,221547
dać,221261
mówił,220654
telefon,220603
idzie,220338
myślałam,220231
wczoraj,219977
matka,219783
rzecz,218979
pytanie,216705
miejsca,215328
pozwól,215032
jednego,214596
cokolwiek,214175
czujesz,214034
dopóki,214020
dam,213768
nikogo,213357
chciałam,212874
pracę,212827
ręce,212372
pamiętam,212035
świecie,211705
miałam,211380
znów,210706
powiedziałeś,210421
najpierw,209969
wina,209817
widzieć,209703
inaczej,209649
powiesz,209533
swoich,208828
prawdę,207313
działa,207003
zrobiłem,206624
między,205927
zrób,205800
zrobiłeś,205725
wyglądasz,205466
wielu,204904
Jack,204643
gdybym,204639
swojej,204317
wierzę,203959
przynajmniej,203852
drogi,202845
innych,202740
Halo,202263
robię,200874
udało,199892
chwili,199609
możliwe,198672
tłumaczenie,198665
dziewczyna,198459
prawo,197821
nasza,197798
słyszałem,197695
gra,197301
brzmi,196623
inne,196251
naszej,196139
wiedział,196137
ogóle,196005
potrzebuje,195402
jednym,195310
dopiero,194139
the,193408
plan,193314
wybacz,191861
super,191837
poznać,191797
Witaj,191393
całkiem,190918
panowie,190338
pójdę,190021
mówią,189811
cholery,189623
pięć,189481
naszych,189345
żona,189147
inny,189134
człowieka,188965
chcemy,188955
pieniędzy,188673
godziny,188672
parę,188212
kobiety,188173
wiadomość,187915
raczej,187818
Witam,187640
wiecie,187572
powinien,187406
patrz,187302
także,186442
pojęcia,186303
miłość,186270
serce,186191
ważne,186101
rób,185982
byłoby,185726
każdym,185619
stać,185566
słowa,185001
wcale,184774
tata,184445
natychmiast,183987
diabła,183836
godzin,183605
każdego,182996
krwi,182766
miałeś,182460
