word,count
que,22329715
a,21951103
o,21173979
não,17871309
de,15390154
é,12180513
e,10253531
um,7793158
para,7211468
eu,6262445
uma,5734174
está,5042005
se,4707035
com,4677802
do,4494993
por,4231142
os,3815250
ele,3715766
bem,3662736
em,3631647
mas,3600762
da,3451995
isso,3437949
como,3284929
sim,2837112
as,2728899
no,2667841
mais,2560820
na,2482160
meu,2477540
aqui,2355321
me,2284756
muito,2133366
foi,2116780
isto,2064150
ela,2042645
estou,1995176
fazer,1968701
vamos,1950781
já,1853012
vai,1783030
à,1741628
ser,1740112
minha,1712735
ao,1697532
só,1696901
te,1695134
tem,1652772
tudo,1643032
tu,1627108
tenho,1601061
há,1600767
estás,1591823
vou,1566778
sei,1561090
porque,1552153
agora,1523444
lá,1481421
quando,1480605
onde,1313581
quem,1304984
ter,1284329
então,1278855
nada,1264153
você,1239146
era,1230795
coisa,1217249
ou,1188184
dizer,1135460
sou,1124473
são,1115963
quero,1105704
mesmo,1044190
seu,1029447
pode,1021111
estava,1015170
esta,1013259
todos,1008863
eles,999276
nós,993455
dos,988671
temos,983663
tens,975809
mim,972921
tua,964396
sua,961795
nos,959482
este,953952
posso,946609
ver,940930
bom,940137
estão,938291
teu,935822
nunca,924464
casa,922311
até,905446
assim,877256
falar,875506
ainda,865707
tempo,854337
acho,845425
disse,841250
pai,821984
ir,820771
és,818731
quê,801130
vez,797593
também,796779
favor,785859
sobre,770387
quer,757734
melhor,742012
ti,734279
obrigado,731030
tão,730320
depois,725543
sabes,718580
Deus,712434
mãe,711819
talvez,707616
estamos,707146
Olá,702933
noite,692217
sempre,691176
nem,677632
alguém,674995
dia,673560
vais,669244
certo,664259
alguma,662207
vida,660238
dele,659462
sem,648600
anos,641691
queres,625930
das,622254
homem,617466
estar,610764
tinha,593545
coisas,593308
pelo,578037
boa,575404
ficar,569331
algo,564816
preciso,562949
pessoas,562019
sabe,559613
senhor,557039
dois,553893
parece,552767
claro,544641
Sr,538815
podes,528450
verdade,526329
antes,525295
tipo,525211
lhe,513649
faz,511843
ninguém,502698
apenas,495276
espera,490956
vocês,488263
aí,485393
trabalho,485190
vão,481867
outra,474900
comigo,472907
saber,472495
pois,460635
essa,449871
podemos,449417
grande,443594
esse,443472
dinheiro,438305
pela,436907
qualquer,429229
pouco,426874
cá,419553
desculpa,417768
num,416966
qual,416741
disso,416474
vá,412368
filho,410629
daqui,410088
toda,400382
fora,395699
mulher,394752
meus,393501
olha,392904
merda,391975
hoje,391261
deve,389752
nosso,388877
dela,388224
seja,387439
nome,379549
nossa,378116
sério,377839
diz,373911
queria,370660
certeza,364863
às,363928
outro,361903
sair,361654
têm,359973
dar,359445
todo,357305
tentar,356311
mal,355292
volta,354358
quanto,350822
consigo,350487
amigo,347389
mundo,345142
contigo,344070
Oh,343867
pensar,343081
aconteceu,341646
três,341010
passa,340012
embora,338744
porquê,332201
lado,331759
numa,331149
menos,330671
carro,328720
problema,323521
nas,319232
aos,312839
dentro,311257
vezes,309843
novo,308307
todas,307233
seus,306622
será,304946
parte,304679
vem,304153
fez,303527
voltar,303205
anda,301466
achas,299753
primeiro,298623
obrigada,293952
lugar,292107
algum,290481
ali,289652
pensei,284836
razão,283932
família,282251
aquele,281147
querida,275456
homens,275452
ideia,273566
dias,272149
fui,271849
duas,266575
hora,265978
vi,265245
si,264197
sabia,263769
polícia,263458
aquilo,262405
atrás,257162
podem,256468
uns,253198
gosto,251485
pronto,250561
devia,250449
somos,249580
fica,249003
cabeça,248207
tal,247035
deles,245874
entre,244313
forma,241332
cidade,240900
caso,238389
horas,237752
amor,237670
frente,237239
pessoa,236587
podia,236148
momento,235657
desde,235511
gente,233811
ok,233437
ajudar,232367
encontrar,232293
fiz,230578
amigos,230034
passar,229874
tenha,228865
nenhum,228612
foram,227263
tarde,226765
chegar,225920
deixar,224921
entrar,224843
morrer,224679
desculpe,223976
ia,223513
cima,218859
sido,218381
outros,218078
irmão,218043
nova,216474
morto,215715
durante,215338
quase,214475
tanto,214328
matar,214171
porta,213953
seria,213942
história,212768
fosse,212151
minutos,211756
amanhã,211504
trabalhar,211488
óptimo,210186
contra,209697
ajuda,208408
morte,206870
medo,206216
caminho,205902
maneira,205479
aquela,205065
enquanto,202693
minhas,201801
precisa,200426
rapaz,200292
ouvir,200166
desta,198372
vir,198296
arma,197705
neste,196537
suas,196416
acontecer,195877
primeira,195627
teus,195288
estes,195206
lamento,194916
precisamos,194501
alguns,193876
for,190517
cada,190433
tive,190147
sorte,190141
sinto,189794
feliz,188964
espero,188359
disto,188074
feito,187798
olhos,187693
causa,185188
conta,185136
levar,184893
pessoal,184579
cara,184359
filha,184121
cuidado,182942
ano,181556
mãos,180157
estas,179814
senhora,179783
sangue,179443
acha,177762
única,177232
última,177106
quarto,175953
poder,174185
juntos,174169
adeus,172778
faço,172629
nossos,171136
Ei,170112
perto,169847
importante,169012
guerra,167650
água,167102
difícil,166621
manhã,165918
começar,165407
querem,165314
fala,165242
pára,165031
algumas,164893
cinco,163105
disseste,163003
acabou,162586
ouve,162214
fizeste,162011
acredito,160673
significa,160613
agente,160442
mesma,159828
procura,159774
semana,159483
calma,158285
umas,157987
segurança,157790
usar,157468
raio,157299
altura,156985
Dr,156983
deixa-me,156816
nisso,154882
jogo,154603
sabemos,154247
terra,154224
querido,153786
baixo,153674
dá,153455
problemas,152782
vossa,151900
fim,151823
chefe,151242
dólares,151061
corpo,150631
mão,150163
deste,150153
equipa,149718
sabem,147607
rapariga,147141
parar,147074
dormir,146865
maior,146635
andar,145956
comer,145574
quatro,144690
viver,144437
vê,144279
segundo,144220
estado,144095
coração,143819
mau,143565
vejo,143284
meio,142746
fazes,142562
havia,142498
ontem,142269
capitão,142247
logo,142175
morreu,141522
número,141354
força,141048
rápido,141041
sai,140705
presidente,140037
meses,139814
ouvi,139523
nenhuma,138017
eram,137470
realmente,137423
escola,137413
teve,137396
acordo,136949
marido,136164
muitas,135991
chega,135631
devias,135419
buscar,135276
foste,134264
rapazes,134049
filhos,134030
acabar,133597
depressa,133434
precisas,133383
perder,133207
mil,132656
nesta,132388
dá-me,131668
Jack,131202
idiota,130932
plano,130843
tuas,130793
John,130505
mulheres,130485
olhar,130152
crianças,130106
possível,130087
estavas,130074
suficiente,129747
prazer,128968
contar,128811
festa,128639
faça,128467
muitos,128369
pena,128361
vos,127944
Sra,127888
pais,127839
esperar,127604
longe,127338
brincar,126544
irmã,125856
armas,124506
vivo,124504
