word,count
я,6927605
не,5999226
что,4868515
в,4051152
и,4019143
ты,3793136
это,3608284
на,2269105
с,2069095
он,1767487
мы,1660392
как,1618336
вы,1593553
да,1548411
мне,1477382
у,1444502
нет,1427919
меня,1399509
так,1372705
но,1355878
а,1354806
его,1050343
все,991571
тебя,981365
она,956225
о,945147
если,874636
за,837219
тебе,816395
бы,811964
они,739272
же,660894
чтобы,651787
есть,615940
из,614649
просто,604859
к,602874
ну,581198
для,580932
когда,572692
здесь,566035
хорошо,563015
по,545466
был,536793
то,531230
только,529237
знаю,523200
всё,520655
было,502344
вас,494938
нас,488988
может,487526
вот,473333
от,472118
быть,427414
кто,424062
будет,414795
почему,413162
их,405667
вам,399786
уже,388008
могу,381959
очень,380747
нам,373385
или,370356
еще,370122
там,365201
спасибо,365052
где,352981
сейчас,352489
чем,349359
нужно,348866
этого,344158
хочу,342639
ничего,340645
мой,324886
была,316265
ее,314448
знаешь,307501
до,306846
ладно,303784
этом,302428
теперь,301493
потому,291803
больше,281240
её,278339
со,272891
думаю,271678
п,271369
раз,270625
надо,264673
ему,261408
этот,259716
время,258995
ещё,254794
ли,254603
даже,251896
пока,244658
сказал,240784
себя,236592
должен,236078
давай,233791
тоже,233371
привет,230384
Эй,230242
хочешь,229839
тогда,225946
что-то,223074
никогда,220996
того,219733
ни,218535
тут,215902
него,214757
правда,212940
об,209581
конечно,207951
были,207621
моя,200450
тобой,195173
пожалуйста,193488
один,189834
сказать,187592
сегодня,186790
сюда,183573
лучше,183089
мной,181762
можешь,180713
значит,178250
всегда,173217
сделать,172495
дело,170872
можно,170248
без,166502
должны,166050
ей,166047
порядке,164484
день,161177
буду,160102
том,157331
чего,157270
делать,156758
хотел,152283
эти,151470
много,149536
во,148699
всего,148552
после,148144
твой,147742
этим,147286
ним,146906
ведь,146452
сэр,141269
них,140737
такой,140488
лет,140128
жизнь,138685
мистер,138405
всех,136558
боже,135291
ней,135223
такое,134875
им,134365
потом,133873
зачем,132575
через,132266
который,132226
слишком,131127
себе,129735
возможно,128499
немного,128428
люди,125851
человек,124589
этой,123918
моей,123551
думаешь,122240
должна,121960
свою,121471
точно,120979
знаете,120549
под,119275
твоя,119269
из-за,118609
назад,118057
эту,117382
отец,116197
вместе,115084
случилось,115027
куда,114909
можем,113931
сделал,113760
мои,113564
мама,113540
сказала,113517
мог,112972
никто,111263
друг,110968
поэтому,110352
кажется,109528
эта,108766
сколько,107606
тот,106953
людей,106185
снова,105949
два,105375
жизни,104837
которые,103853
понимаю,102808
видел,102637
нравится,101763
место,99794
помочь,99572
похоже,99029
прости,98387
знать,98048
хочет,97898
всем,97679
кто-то,96979
лишь,96954
домой,96866
люблю,96836
отлично,96543
иди,96325
парень,96140
деньги,96110
разве,95557
времени,95187
именно,94371
говорил,93060
думал,92947
делаешь,92945
сам,92783
дома,92774
стоит,92474
будем,92406
простите,91772
найти,91696
доктор,91562
прямо,91167
своей,90316
прошу,90235
будешь,88821
можете,88712
Ага,88621
слушай,88266
что-нибудь,87449
тем,87393
поговорить,87329
совсем,85669
хотела,85380
три,85361
какой,84993
хотите,84838
моего,84170
знал,84147
давайте,84074
знает,83956
скажи,83930
деле,83536
говорить,83526
вами,82951
дом,82112
свои,81867
дела,81570
про,81036
