word,count
to,2498620
sa,1827793
je,1789648
si,1465198
som,1422925
a,1393008
na,1122459
že,1102311
čo,953976
nie,838475
v,833981
ako,637902
tak,528539
ale,518065
by,513281
s,487552
mi,431738
tu,421114
o,412595
do,397407
ja,381327
sme,378661
ste,349127
áno,342989
z,324212
len,317443
ma,310220
už,288752
aby,277015
ho,268110
dobre,263885
keď,259763
ty,245980
ak,244485
ti,243091
za,238606
ťa,218381
bol,209359
sú,207773
tam,207117
pre,206087
prečo,202589
niečo,199399
toto,196245
teraz,187540
aj,186462
no,185276
hej,181505
mám,175919
byť,171169
ich,168312
bude,154701
ju,151769
ten,148775
všetko,145016
vás,143710
takže,143524
nič,140707
tom,139860
kde,139825
kto,136627
ešte,133093
po,132760
vám,132230
k,131879
toho,127980
bolo,127531
bola,125527
má,122363
alebo,122160
môj,121883
jeho,120616
jej,119709
máš,119369
myslím,117619
viem,114901
mňa,113691
vieš,112989
poriadku,112207
veľmi,111300
tým,111074
prosím,110769
nikdy,108589
nás,108354
mal,108223
od,106371
ani,106311
potom,105321
možno,104112
so,100592
povedal,99065
mu,96729
chcem,96363
neviem,94871
ďakujem,91976
vy,90287
ísť,89667
naozaj,87630
teba,86832
stále,86709
pretože,84019
viac,83294
chceš,83132
nám,80426
povedať,78976
Oh,78853
máme,78788
on,78241
pred,78057
boli,76700
Ahoj,76685
pane,73574
tie,73194
sem,72790
moja,72768
musím,71855
vo,71837
pán,71191
dnes,69786
môžem,69783
budem,69051
ktorý,68965
niekto,68150
poďme,67257
práve,66671
mali,66129
všetci,65115
pozri,64275
myslíš,63773
či,63152
čas,61948
nemôžem,61678
poď,61576
keby,61459
mať,61106
asi,60825
ktoré,59631
tiež,59601
vždy,59485
moje,59275
veľa,59056
my,58505
ľudia,58148
stalo,57958
tomu,57607
deň,57384
tú,57221
pri,57215
musíme,57148
trochu,57014
máte,56982
mala,56548
iba,56385
rád,55830
tvoj,55660
jeden,55208
tá,54725
bez,54459
tento,54361
otec,54358
bože,54091
chcel,53672
zo,52891
dobrý,52642
mohol,52591
budeš,52255
jasné,52077
robiť,51919
veci,51793
ide,51626
mnou,51483
ok,51475
môže,51004
až,50580
mne,49739
ľudí,49617
presne,49558
život,49496
kým,49435
môžeš,48857
viete,48727
preto,47972
dosť,47827
späť,47457
dobré,47448
však,47292
vážne,47202
tebou,46916
všetky,46615
robíš,45934
musíš,45567
deje,45388
nikto,45036
vedieť,44930
budeme,44703
urobiť,44676
prepáč,44482
teda,44376
vďaka,44118
kvôli,43940
nech,43501
domov,43302
povedala,43132
ona,42862
pravdu,42737
im,42614
lebo,42373
hneď,41818
vec,41411
než,41063
každý,40890
prepáčte,40870
svoje,40684
choď,40617
kedy,40299
myslel,40057
daj,39805
tvoja,39791
rokov,39768
povedz,39686
pár,39438
nechcem,39088
raz,38573
samozrejme,38570
videl,38432
miesto,38406
svoju,38180
nemám,38129
potrebujem,37993
takto,37749
také,37587
chce,37562
preč,36881
musí,36636
noc,36631
ním,36555
mohli,36502
žiadne,36222
nejaké,36093
počkaj,35866
idem,35818
problém,35807
spolu,35805
chcete,35693
kurva,35584
vôbec,35575
vlastne,35260
lepšie,35113
vidieť,35098
tvoje,34921
tebe,34697
kam,34663
môžeme,34544
prišiel,34049
dostať,33862
urobil,33486
peniaze,33173
dlho,33145
vyzerá,33122
ktorá,33019
mama,32868
príliš,32710
sám,32653
hovoriť,32406
nich,32396
niekedy,32158
tej,32103
von,32044
rýchlo,31822
určite,31733
celý,31725
úplne,31669
seba,31037
pod,30816
váš,30804
rada,30730
aký,30725
ráno,30652
fajn,30616
všetkých,30609
taký,30514
tých,30429
môžete,30426
nebude,30387
pomôcť,30361
pravda,30019
večer,30012
majú,30012
cez,29986
aké,29924
deti,29843
koľko,29719
dieťa,29644
niekoho,29613
mojej,29545
Nuž,29283
u,29264
tejto,29176
môjho,29095
čom,29071
znamená,29024
meno,28983
ideme,28923
istý,28837
budú,28798
medzi,28692
neho,28678
tieto,28540
predtým,28378
dať,28283
muž,28121
dievča,28114
tri,28072
svoj,27878
pani,27874
podľa,27822
dva,27778
nejaký,27685
chcela,27467
vaše,27460
nebol,27414
nájsť,27018
žena,26845
budete,26822
veď,26733
mohla,26421
pozrite,26354
ľúto,26131
vidím,25803
hore,25781
túto,25753
zajtra,25746
náš,25726
hovorí,25633
moju,25618
správne,25572
ďalej,25510
chvíľu,25488
ktorú,25452
dole,25412
prestaň,25299
dostal,25243
naše,25167
tomto,25137
jedno,25032
super,25026
dal,24918
vedel,24873
aspoň,24656
vie,24614
táto,24536
prácu,24477
oni,24393
myslíte,24281
nemôžeš,24218
vaša,24199
ku,24193
poviem,24005
proste,23989
nej,23978
pozor,23946
človek,23941
robí,23931
pohode,23898
pomoc,23782
jedna,23778
skôr,23642
dve,23512
mami,23409
ktorí,23284
radšej,23007
doktor,23007
nechaj,22665
Čože,22664
páči,22488
okej,22418
nami,22363
zlé,22306
proti,22190
skoro,22152
nemá,21977
jednu,21948
zabiť,21909
odtiaľto,21894
dúfam,21862
neskôr,21767
nad,21747
auto,21659
nemal,21631
ňou,21571
iné,21464
počul,21386
prvý,21366
hovorím,21307
myslela,21227
vami,21163
hovoril,21109
musíte,21010
svojho,20816
i,20793
zdá,20673
koho,20418
fakt,20377
milujem,20360
dobrá,20303
hovoríš,20202
dvere,20149
doma,20095
znova,19983
minút,19953
riti,19908
zlatko,19907
skvelé,19638
počúvaj,19272
našiel,19259
vidíš,19249
mŕtvy,19235
sebe,19189
pekla,19116
zabil,19100
času,19089
nemôže,19080
veľký,19054
nebolo,18991
musieť,18933
ideš,18688
nebudem,18671
prišli,18621
okolo,18596
dvaja,18588
chlap,18520
príde,18423
svet,18376
