word,count
je,10543784
ne,6170846
da,5369290
se,5166049
v,4098430
sem,3822447
to,3693960
in,3587240
si,3125798
kaj,2982005
na,2609841
bi,2523290
za,2176291
ti,1942973
pa,1814585
mi,1711057
ni,1673068
bo,1571461
z,1545522
lahko,1517411
so,1490907
ga,1486424
če,1349787
me,1324278
bom,1322418
te,1222405
še,1208687
kot,1100096
ja,1074733
s,1053858
jaz,1048720
tako,1043651
kako,1011789
ki,935566
vse,893448
samo,846526
ko,843201
ali,840967
o,821845
že,775730
bil,773535
od,739755
vem,725785
jo,717614
kar,715130
boš,712592
zakaj,707658
ste,692969
dobro,682406
nisem,662763
nekaj,643072
redu,636037
tukaj,635391
jih,626914
tudi,621578
smo,612890
prav,597211
res,578566
po,557664
hvala,549583
zdaj,543723
tega,538937
bilo,536748
iz,529755
naj,523972
kdo,523113
ampak,521395
ker,509093
bila,501741
več,494157
ta,493632
tem,446883
kje,443520
imam,442589
tu,442279
veš,435950
moj,423474
bomo,420934
do,420705
mislim,409639
vedno,407198
vas,403366
nič,403272
mu,403246
saj,394926
prosim,392412
zelo,386940
a,385645
potem,371595
sva,368696
vam,367151
pri,360356
rekel,358410
daj,350937
tam,339499
no,338278
imaš,336823
ima,325133
sta,318487
bodo,318187
gospod,315051
zato,310091
nikoli,309614
moram,305626
vsi,296733
nas,293432
malo,290120
toda,288997
le,288438
mogoče,283417
rad,281238
biti,280031
pred,278655
nisi,278454
veliko,277685
torej,272913
moja,270921
Hej,266907
zaradi,262511
morem,261242
seveda,257099
nazaj,253913
misliš,253648
gre,248607
brez,248538
on,248176
pridi,242652
gremo,241960
dan,230013
g,225527
imel,221666
videl,220187
oče,216164
čas,215936
nam,214962
bova,213114
moje,212055
tvoj,210882
boste,210152
žal,208033
k,205186
ji,203819
lepo,202816
poglej,201770
takoj,198380
moral,198073
všeč,197863
morda,197530
kdaj,196943
moraš,196500
vendar,194868
bog,194671
pojdi,193799
prišel,193320
zgodilo,190047
mene,189157
vi,187459
sedaj,186400
grem,185457
ob,185242
dovolj,183293
Oh,183239
ven,179644
sam,179055
stvari,177571
pravi,175554
ime,175117
svoje,173885
imamo,171257
mama,171043
tebe,170586
meni,170034
oprosti,169876
življenje,163907
časa,163471
povedal,163244
hotel,162834
kajne,162509
sploh,161754
let,161123
tvoja,160881
jim,160227
moramo,159289
danes,158112
bolj,157328
človek,156983
dober,156464
hočem,155734
povej,155129
mislil,154758
videti,153701
med,153293
bili,149624
ljudi,149039
naredil,147938
ljudje,147017
nihče,146864
spet,145809
niti,145216
sranje,144679
tole,144235
hočeš,142952
eno,142882
skupaj,142658
dogaja,142614
kam,142560
mano,142212
rekla,141451
svojo,140550
dva,140068
niso,138655
Oprostite,138044
vedel,137829
razumem,137709
želim,137693
koliko,137555
nekdo,136754
vidim,133386
denar,133019
pomeni,132670
rada,132558
tvoje,131893
domov,130991
njim,129140
šel,127697
ona,127574
mora,127543
čez,127280
imela,127015
proti,126276
ubil,126089
treba,125564
naprej,124326
tri,123999
preveč,123937
dolgo,123096
tabo,121341
dobil,120744
hitro,120706
Živjo,120344
delo,117469
enkrat,116822
dokler,116574
ničesar,115829
počakaj,115695
bolje,115216
dela,114779
stran,114777
imate,114395
nočem,114116
greš,113565
noč,113305
ena,113294
greva,113192
morala,113060
dal,112258
narobe,111898
vsak,111728
pod,111690
skrbi,111206
tisti,111040
preden,110792
poslušaj,110397
dve,109861
tebi,109633
videla,108963
mojo,108699
veste,108384
stvar,108182
Zdravo,107746
nimam,107658
en,107255
konec,107153
ve,106963
verjetno,106953
