word,count
da,34338660
je,29930181
ne,14981106
se,14862595
i,13276429
u,12949052
to,11022040
sam,10464277
na,7347802
ti,7133825
mi,6287495
si,6236447
za,6078723
li,5628366
šta,5287127
što,5072572
ja,4847434
sa,4320776
su,4274412
ali,4219342
nije,3865950
ovo,3461656
me,3377346
te,3368384
samo,3338417
ga,3258946
od,3247373
a,3154769
bi,3106167
kako,2973675
dobro,2735334
o,2733684
ako,2667010
sve,2603912
smo,2580690
kao,2519517
æe,2425475
tako,2291915
znam,2177555
nisam,2044949
mogu,2021096
ovde,1987283
ste,1951336
bio,1893380
pa,1876205
zašto,1808456
još,1804805
on,1781481
nešto,1778538
redu,1734944
s,1724560
bilo,1687070
biti,1624138
koji,1610325
vas,1550219
æu,1522703
kad,1468995
hvala,1455839
mislim,1437267
iz,1436980
да,1429506
ima,1401211
znaš,1397288
ih,1368206
ili,1351206
sada,1319722
možda,1300333
više,1295754
gde,1269346
vam,1264939
do,1254082
onda,1253299
moj,1240683
zar,1236702
treba,1231074
bih,1220906
mu,1186396
rekao,1184522
kada,1181056
nas,1174410
је,1158992
nema,1149742
ništa,1137413
malo,1135673
ko,1118264
mene,1115610
bila,1102705
hajde,1074182
ona,1049642
tebe,1046398
molim,1032373
tamo,1013159
ni,1009228
sad,1001930
možeš,986484
imam,969089
može,964985
nam,956955
zbog,923352
vi,922926
želim,922565
tu,905893
Hej,894395
nisi,867310
jesi,860110
svi,846973
stvarno,838043
po,830963
ljudi,823485
zato,809412
baš,805440
jer,799781
moram,796179
koliko,792885
idemo,781763
misliš,773399
æemo,772432
jedan,758232
veæ,742175
æeš,732277
stvari,730100
pre,727408
moja,717050
nego,707018
neæe,705099
dok,690435
koje,688973
uvek,688441
bez,683871
Oh,665111
gospodine,664958
imaš,656509
ono,647795
naravno,640692
toga,640671
možemo,634400
ovaj,629671
neko,620536
taj,613613
oni,612518
tvoj,612382
vreme,604008
mnogo,603125
dana,597615
joj,597356
moje,589807
Zdravo,584813
koja,584008
не,579418
reæi,578759
hoæeš,578619
kod,576744
žao,571953
imamo,571382
znaèi,570360
tome,568860
posao,567874
nikad,563834
се,559726
vidim,556357
moramo,553789
bolje,551380
godina,550635
nemoj,549629
put,549410
mogao,543081
mora,542736
neæu,538682
radi,538130
želiš,535100
bože,534814
jeste,530283
radiš,530057
izgleda,530045
dan,529172
bude,522931
ovdje,522440
rekla,521175
и,518340
ok,517399
у,515687
daj,515428
kažem,514029
moraš,508467
meni,501876
idem,498556
bili,497625
mama,482538
dobar,481969
reci,473960
im,472990
g,470009
vidi,468976
tata,464352
volim,463868
život,462447
kuæi,457926
dva,456521
svoje,453818
mislio,450530
trebalo,450488
njega,450067
stvar,449279
vremena,442024
evo,441491
nisu,440476
nikada,439543
imao,429966
то,423340
odmah,419488
danas,419051
znate,414367
neka,411023
zna,410980
tvoja,410401
video,400069
ime,396944
сам,395168
možete,393483
tri,391631
hoæu,391023
toliko,390870
kaže,388701
tobom,386038
neki,383729
tim,382735
èemu,377692
koju,371608
èak,371590
niko,365529
tvoje,365344
veoma,365104
upravo,358526
idi,355909
oko,355101
svoju,354514
vidiš,350687
mnom,350557
svoj,348591
ide,347860
jesam,346837
god,344903
èovek,344883
žena,343331
gdje,341262
opet,339951
nismo,339018
jednom,338408
postoji,337133
sranje,336903
radim,336772
ove,334911
vidimo,333857
sigurno,332178
èekaj,332049
tebi,330630
kažeš,329328
otac,328715
znao,326879
nemam,326476
ta,323650
puno,322929
puta,318843
pravu,316425
želi,315529
dovoljno,314318
odavde,313841
lepo,312217
dušo,309837
prvi,308557
jako,306427
godine,305491
izvini,301994
novac,301990
ovamo,301941
sutra,301762
njih,300749
koga,299597
sebe,299253
dalje,299061
drugi,298134
slušaj,297263
mesto,295654
došao,295421
dosta,294778
zajedno,294378
imate,291342
prema,289263
problem,287657
vrlo,286034
ova,285813
vrata,284211
drago,283592
uradio,283285
pogledaj,281231
на,280034
ponovo,279460
jedna,279225
neæeš,276529
naèin,275540
kroz,275284
tko,274018
brzo,273083
pomoæi,272619
desilo,272287
budem,271610
siguran,269720
ma,269038
doði,268336
dobra,267305
ти,265841
moju,265561
шта,262584
njim,262144
hteo,262142
verujem,260597
zaista,258880
pod,258549
ovog,257060
gore,255372
posle,254917
neke,254855
par,254524
mogla,253424
trebao,253220
dugo,252543
naš,252515
noæ,252111
nekoliko,250096
previše,250075
mog,249819
veèeras,248707
jednu,248034
vaš,247769
mali,247192
loše,246039
minuta,245249
momci,244390
èuo,244371
ми,243994
ovu,243946
ovako,242459
svaki,242258
nama,242019
izvinite,241916
unutra,241640
æete,241638
protiv,240297
pravo,239583
isto,238733
biæe,238129
