word,count
న,33733
ర,18965
క,17816
మ,15617
ల,13833
ద,12397
త,10942
స,10708
చ,10475
ప,9743
డ,9425
వ,8884
ట,8818
గ,8352
య,8117
ఉ,3193
బ,2903
ఒక,2336
జ,1961
మర,1920
ళ,1758
అన,1753
హ,1611
అతన,1455
ష,1434
కడ,1256
ఈ,1216
శ,1194
ఏమ,1088
అవ,1040
ఆ,1034
ఇద,986
ఫ,924
భ,904
ఉన,882
ధ,860
సర,852
అద,820
ఇక,765
కల,721
వచ,714
ఇప,657
ఖ,645
అ,640
ఎ,631
ఆమ,622
లన,586
ఎల,575
పట,526
వద,516
థ,468
యక,434
రత,428
చడ,412
మన,402
ఎవర,400
ఏ,383
వల,380
అప,378
టర,378
అక,359
జర,359
రమ,358
అర,355
ఏద,354
కన,353
ఎక,334
తన,324
ఓహ,324
పడ,323
పర,322
వస,322
కర,308
కమ,294
ధన,288
అవసర,286
యవ,282
తల,282
నప,271
పన,268
ఇ,253
ఫక,252
ఎప,246
నన,246
ఆల,245
రక,241
టక,241
డట,238
వర,237
సమయ,233
షయ,230
తర,229
అమ,225
ణ,218
తప,217
చన,203
సహ,202
తమ,202
లల,190
రణ,186
సమ,185
అయ,181
లప,181
బర,176
నడ,176
దర,175
యల,175
ఇష,172
ఇవ,172
ఆఫ,171
నవ,171
డబ,169
యన,168
చర,166
వన,166
ఖచ,165
బయటక,160
బట,160
నమ,156
యవచ,153
దయచ,150
అబ,148
అధ,147
రయత,147
యద,144
వత,143
ఓక,139
నద,138
యమ,134
కప,134
రస,134
అల,132
యడ,131
ఉద,130
వడ,124
శన,123
నస,123
మళ,122
గత,121
లక,121
పద,121
రజల,119
ఉత,117
గర,116
తక,115
షన,115
షమ,115
టల,114
తగ,114
దడ,112
వరక,110
ఒ,108
అడ,107
దల,105
దట,104
నట,104
లత,104
రప,102
బహ,102
వలస,101
మక,101
మత,98
ఆహ,96
పక,96
టన,96
సమస,96
దన,93
ఇతర,93
జస,92
పల,92
డవచ,91
ఆర,90
షణ,90
ఉపయ,90
రవ,89
ఆన,87
మహ,86
డవ,85
రశ,84
దమ,83
మరణ,82
రయ,82
రద,82
ఆశ,81
అత,80
లర,80
అభ,80
యర,80
చల,79
ఆప,79
జమ,79
డల,77
రన,77
సన,76
దగ,76
గన,75
కళ,75
నర,74
చక,73
జన,73
డర,72
చవచ,72
ఒకట,71
తయ,71
భయపడ,70
చబడ,70
గస,69
హత,68
మల,68
చట,67
అస,67
హల,66
ళడ,66
గడ,64
ఇల,63
ఐ,63
డడ,62
తరల,61
యత,61
లవ,61
ఇచ,60
ఛ,60
హక,58
