word,count
ฉัน,1354896
ไม่,1351755
จะ,966929
คุณ,947276
ที่,894105
ได้,749339
ไป,742009
เธอ,667382
มัน,664813
ผม,644764
ของ,640676
ว่า,635906
แล้ว,612685
เป็น,575927
นะ,559672
อะไร,524841
ก็,503492
เรา,490207
มี,485675
เขา,483413
มา,482691
ให้,444685
อยู่,385515
กับ,360099
นี่,346764
เลย,345189
ใน,343810
ทำ,341662
ใช่,331393
และ,328683
ต้อง,317700
คน,303187
นาย,296574
แต่,276653
นี้,266709
รู้,265525
ครับ,255912
เหรอ,240247
ถ้า,219490
กัน,206158
ด้วย,204091
ๆ,197734
พวก,183648
คิด,181420
นั้น,180068
ข้า,177323
คือ,172616
ดี,171927
เรื่อง,170589
ล่ะ,168779
ทำไม,166259
ค่ะ,163205
อยาก,162647
บอก,158297
นั่น,156369
มาก,153697
สิ,153426
การ,152101
ยัง,151838
มั้ย,148609
แค่,143174
ใคร,142243
น่ะ,136985
พูด,132836
เธ,130599
เจ้า,128446
อีก,127984
อย่าง,126643
แม่,126464
จาก,126007
ดู,124763
พ่อ,122964
ท่าน,119899
ถึง,118962
หรือ,117377
เอา,117052
งั้น,115952
กำลัง,113094
พวกเขา,112246
ที่นี่,109819
ยังไง,106497
ไหม,105644
ถูก,104434
เห็น,103847
กว่า,103398
ทำให้,102035
เคย,101845
อย่า,101551
ที่จะ,99969
ไว้,99042
ตอนนี้,98289
เพราะ,97532
หรอก,97198
สิ่ง,95805
ไง,94911
ช่วย,93750
จริงๆ,93200
ต้องการ,91993
เค้า,91227
ออก,90472
ไหน,86706
แก,86557
เน,86305
ก่อน,85961
ชั้น,85801
คะ,85559
เพื่อ,84259
ขึ้น,83595
พวกเรา,82871
เอง,82539
ลูก,80957
พี่,78499
เถอะ,76435
ตาย,76238
คง,75126
แบบ,75013
หน่อย,73716
ขอโทษ,72760
สามารถ,71553
ขอบคุณ,69243
หนู,68828
โอเค,68331
ชอบ,65941
เหมือน,65833
หา,64375
หรอ,64282
บอ,63728
สำหรับ,63266
ซะ,62168
น,61956
แบบนี้,61138
ใช้,60310
เกิด,60173
เจอ,60081
รู้สึก,58675
ตัว,58329
เข้าใจ,58234
โอ้,57626
เมื่อ,57508
กลับ,57016
ขอ,56958
เด็ก,55655
จริง,55214
บ้าง,55085
เร็ว,53246
เวลา,53037
บ้าน,52933
ฟัง,52090
ฆ่า,51895
น่า,51551
ใช่ไหม,51418
หยุด,49388
พบ,49317
มิ,48647
เข้า,48014
กลับมา,47545
ลง,46762
อาจจะ,46597
เฮ้,46357
ปี,45596
ทั้งหมด,45471
ส,44647
รอ,44610
วัน,44397
ที่สุด,44396
กิน,44174
อย่างนั้น,43661
ทุกคน,43626
ไม่ต้อง,43521
ริ,43438
ทำงาน,43213
ได้ยิน,42928
เกี่ยวกับ,42913
เนี่ย,42612
รัก,42517
สอง,42088
จัง,41987
โอ,41609
ก็ได้,41547
ส่ง,41282
โดย,41145
ผู้หญิง,40807
วันนี้,40683
ละ,40524
แน่,40477
พยายาม,40156
ล,39955
เริ่ม,39579
ควร,39522
หนึ่ง,39328
เหมือนกัน,39022
งาน,39003
ทาง,38868
ตัวเอง,38671
ทุกอย่าง,38592
เชื่อ,38441
ไม่เป็นไร,38367
คุย,38360
รึ,37932
เดี๋ยว,37912
ตอน,36947
ใหม่,36798
เพื่อน,36660
ไอ้,36517
ซิ,36281
ปล่อย,36064
อา,35792
บ้า,35790
นา,35453
บน,35389
ชื่อ,35260
ต่อ,34934
เล่น,34761
นะคะ,34709
พอ,34337
ที่ไหน,34305
พา,34079
โทร,33856
ออกมา,33318
เรียก,33200
โปรด,33046
ที,32936
น่าจะ,32899
หมด,32886
ได้รับ,32839
ค,32684
ชีวิต,32677
แล้วก็,32599
อาจ,32487
รู้จัก,32368
แน่นอน,31682
เข้าไป,31364
กำลังจะ,31303
เอ,31248
ใส่,31156
เกิดขึ้น,30982
ห้อง,30881
ซา,30734
ซู,30388
เดียว,30359
ถาม,30321
ตอนที่,30311
เงิน,30244
นาน,30092
เข้ามา,29958
พระเจ้า,29922
ควรจะ,29618
ผู้ชาย,29432
หรือเปล่า,29333
มาจาก,29232
ตาม,29014
ดีกว่า,28822
นึง,28165
บางอย่าง,28048
รถ,27920
ดังนั้น,27777
รึเปล่า,27581
โลก,27155
ฮา,27018
ยู,26682
ทิ้ง,26396
เอ่อ,26369
อย่างนี้,26357
นัก,26271
ยอง,26203
ลิ,26121
มากกว่า,26105
ความ,26044
ทำได้,26040
อืม,26021
ต่อไป,25992
ชิ,25561
คนเดียว,25369
ลืม,25356
รับ,25085
มั๊ย,24845
ฮ,24837
ซัง,24403
ครั้ง,24359
จัดการ,24173
สัก,24162
คนอื่น,23980
คา,23950
ครอบครัว,23871
หมายถึง,23860
เจ,23666
ผู้,23634
หมายความว่า,23592
ด้วยกัน,23133
กลัว,23126
สวัสดี,23056
หน้า,23049
แต่งงาน,23009
หมอ,22987
บางที,22936
อย่างไร,22892
แห่ง,22878
ที่นั่น,22844
แน่ใจ,22765
เก็บ,22721
ยา,22659
ซัก,22639
จับ,22615
ทั้ง,22560
ผ่าน,22556
ซื้อ,22495
ลอง,22421
จบ,22310
น้อย,22126
ดื่ม,21911
เพราะว่า,21790
เปิด,21746
ตั้งแต่,21742
ตกลง,21342
มอง,21326
ดูเหมือน,21237
เลือก,21181
เยี่ยม,21150
ผิด,21131
เพิ่ง,21110
สำคัญ,20968
ง,20781
โดน,20777
รีบ,20705
นั่ง,20702
พร้อม,20547
น.,20534
อีกแล้ว,20309
แย่,20251
หวัง,20235
หัวหน้า,20116
เสียง,20033
ชาย,20028
เสียใจ,19990
ออกจาก,19842
อีกครั้ง,19793
หาย,19777
จู,19740
เดิน,19587
อัน,19566
อ,19490
คืน,19473
เร,19473
สวย,19395
ซึ่ง,19333
ยิง,19315
ลี,19307
อื่น,19274
ตา,19268
ขนาด,19233
นาง,19159
จำ,19079
คงจะ,19059
ทุก,19051
อี,19044
นิ,18890
สร้าง,18826
ใหญ่,18822
เปลี่ยน,18820
เอาล่ะ,18799
ไปหา,18741
ความจริง,18686
หนี,18639
เพียง,18603
เท่านั้น,18596
พวกคุณ,18526
สาม,18466
จิ,18285
กิ,18089
แรก,18052
เดี๋ยวนี้,18033
ตำรวจ,18020
นอน,17993
พูดว่า,17980
ที่รัก,17809
ดูแล,17772
ยาก,17769
โซ,17716
กลับบ้าน,17700
ยอม,17672
มีความสุข,17657
แต่ว่า,17445
ดีมาก,17354
หลาย,17253
โกหก,17250
เปล่า,17238
ตรงนี้,17223
เสีย,16954
เหมือนกับ,16945
ฝ่า,16918
หรือไม่,16872
ทีม,16848
สนใจ,16814
โร,16718
เค,16655
บาท,16649
เด,16611
ทา,16611
วิธี,16579
โรงเรียน,16513
เรียน,16460
อยู่แล้ว,16454
ที่อยู่,16387
สัญญา,16276
คำ,16132
เซ,16124
จน,16094
ระหว่าง,16084
เฮ,15977
หลัง,15964
คิดถึง,15936
แฟน,15805
เสร็จ,15768
กา,15757
จอง,15695
ประตู,15684
ตั้ง,15677
วิ,15593
เมือง,15592
มีทาง,15554
มือ,15505
ประธาน,15485
คอย,15382
หล่อน,15374
จิน,15352
เยอะ,15301
อายุ,15251
เป็นเรื่อง,15242
หลังจาก,15239
รี,15199
ยุ่ง,15198
พูดถึง,15190
โง่,15145
สุดท้าย,15113
รา,15076
เหตุผล,15038
ขอให้,15035
มีปัญหา,14925
เจอกัน,14911
ตลอด,14895
องค์,14802
เมื่อไหร่,14793
หัวใจ,14781
เท,14779
บริษัท,14757
เลิก,14670
โน,14626
เกินไป,14591
ถูกต้อง,14588
ใกล้,14580
ลูกชาย,14503
มีชีวิต,14501
นำ,14482
เหลือ,14425
เท่าไหร่,14339
พรุ่งนี้,14235
นาที,14124
ช่าง,14028
เป็นไง,14006
หัว,13960
อาหาร,13930
ขาย,13923
สนุก,13897
คืนนี้,13856
กู,13824
บางคน,13799
ท,13745
เลือด,13742
แปลก,13647
รู้เรื่อง,13506
ชุด,13506
สาย,13496
จ่าย,13472
ก.,13444
โฮ,13374
ข้อมูล,13296
ลูกสาว,13292
ตรง,13272
ลี่,13263
เขียน,13256
ห,13255
กลายเป็น,13253
สัน,13161
ทำลาย,13141
ว,13138
อ่า,13112
กังวล,13044
แน่ๆ,13022
เธญเธ,12992
ปัญหา,12971
อาจารย์,12966
คัง,12908
เดือน,12877
โก,12863
น่ารัก,12857
ไม่ค่อย,12831
ปิด,12823
น้ำ,12810
วาง,12796
ความรัก,12791
ร้าน,12781
ชา,12760
วา,12731
เสมอ,12729
หล่ะ,12720
ยินดี,12711
ติด,12662
ชิน,12645
ขอบใจ,12615
เธฒเธ,12541
มีเรื่อง,12540
ชนะ,12539
ปลอดภัย,12521
จึง,12502
รี่,12482
ซี่,12459
กะ,12456
ยอน,12445
แสดง,12396
ง่าย,12334
โค,12310
ด,12274
เม,12274
มาถึง,12243
ครู,12232
กี่,12218
สู้,12187
สงสัย,12162
โม,12128
เชิญ,12082
โกะ,12074
วิ่ง,12068
ก่อนที่,12042
รักษา,12024
