word,count
ang,4478
sa,4408
na,3751
ng,3150
mo,2180
ko,1896
hindi,1600
ay,1466
mga,1439
at,1395
ako,1370
ka,1268
lang,909
ito,863
ba,862
para,708
kung,702
siya,686
isang,666
si,584
ano,555
may,467
dito,466
alam,448
kayo,447
lahat,444
pero,439
tayo,417
pa,382
nga,342
wala,332
gusto,331
natin,330
ni,328
Oo,328
o,314
niya,314
di,312
ngayon,311
naman,305
sila,296
kami,295
kailangan,291
sige,290
namin,284
tao,280
akong,278
bakit,277
kaya,273
yan,268
nyo,261
ikaw,261
anong,260
walang,255
akin,254
iyon,242
talaga,235
isa,231
kang,229
sabihin,225
mong,223
kong,216
nang,216
sya,211
dahil,206
yun,198
niyo,197
nya,194
aking,192
nasa,192
huwag,191
nila,191
buhay,188
yung,187
mundo,187
iyo,187
sino,174
kita,167
saan,160
Diyos,155
rin,151
meron,151
sir,148
sabi,148
okay,146
kahit,146
araw,142
salamat,141
wag,137
tubig,134
taon,134
bang,133
siyang,133
to,133
dapat,133
din,132
umalis,132
ating,130
iyong,127
po,127
doon,127
siguro,127
iyan,124
eh,124
Wood,122
Nelson,121
paano,121
mula,121
gawin,119
tulad,119
noong,115
nating,114
kay,113
itong,112
kayong,110
tama,109
Oh,109
kaibigan,108
nakita,108
iba,107
Hoy,107
pumunta,104
maging,103
teka,102
Mr,102
tapos,101
ginagawa,101
ibig,100
kasi,97
bago,97
kapag,97
mas,96
nasaan,96
tingnan,95
puwede,94
Max,93
pala,92
sinabi,90
nito,90
nandito,90
buong,88
lamang,88
gabi,88
parang,87
magandang,86
muna,86
tungkol,85
kaniya,84
Reggie,84
bahay,84
sana,82
totoo,82
oras,81
kasama,80
inyo,77
sinasabi,77
ayaw,77
ibang,77
anak,76
kanya,76
ha,75
bilis,75
ninyo,75
pangalan,75
ginawa,74
inyong,74
maraming,73
baka,73
galing,73
pag,73
tayong,72
gagawin,72
maganda,72
panahon,71
bagong,71
pang,71
kanyang,70
Igik,70
Rancho,70
marami,68
bata,68
ayos,67
bagay,67
makita,67
lugar,67
Todd,67
season,64
mukhang,63
palabas,63
nangyayari,63
halika,61
nangyari,61
ah,61
ngunit,61
loob,61
rito,60
kaming,59
taong,59
sayo,59
Elliot,59
talagang,58
sandali,57
pare,57
dalawa,57
man,56
lupa,56
magiging,56
niyang,56
pwede,55
hanggang,54
patay,54
upang,54
silang,54
tingin,53
trabaho,53
mahal,52
kunin,52
nakuha,52
malaman,51
papa,51
aming,51
lalaki,51
naming,51
mabuti,50
habang,50
nakikita,50
problema,50
party,49
patayin,49
diyan,49
pupunta,49
kilala,48
pulis,48
Cyril,48
sarili,48
kamay,48
kanila,48
sorry,48
ama,47
Raju,47
naging,47
the,47
amin,47
magaling,47
kaniyang,47
makikita,47
puso,46
yeah,46
akala,46
heto,46
hey,46
pia,46
pumatay,46
dalawang,46
labas,46
DVD,46
Duke,46
tulong,46
sumigaw,45
detective,45
zoobi,45
busan,45
ilang,45
dati,45
bukas,44
doobi,44
malaking,44
pagkain,44
higit,43
uli,43
bansa,43
pakiusap,43
kanilang,43
dahilan,42
babae,42
makinig,42
diba,42
tulungan,42
malapit,42
makakuha,41
kamusta,41
puwedeng,41
hayop,41
medyo,40
Shishio,40
enerhiya,40
beses,40
dumating,40
gubat,39
tumatawa,39
wow,39
atin,39
noon,39
kapatid,39
kailangang,39
tara,39
hari,39
milyong,39
Farhan,38
huli,38
J-Cub,38
espada,38
pagkatapos,38
Alis,37
kaysa,37
narinig,37
linggo,37
ngayong,37
parati,37
sakin,37
ilalim,37
halos,37
sikat,37
daan,36
pinto,36
DWARF,36
hangin,36
bilang,36
nawala,36
aso,36
kumuha,35
bilyong,35
Hello,35
dagat,35
susunod,35
bawat,35
nung,35
bumalik,35
hayaan,34
nakatira,34
kelangan,34
gumagawa,34
takbo,34
masyadong,34
sasabihin,34
maaari,34
bilisan,34
uh,33
lungsod,33
gonna,33
gamit,32
lumabas,32
syang,32
tanga,32
nitong,32
gasps,32
pabilis,32
mukha,31
ganito,31
yaon,31
kundi,31
paraan,31
gustong,31
gumawa,31
mayroon,31
merong,31
Battosai,31
maghintay,31
ganon,31
Winters,30
umaga,30
nagbibigay,30
huling,30
populasyon,30
tatay,30
minsan,30
kasalanan,30
bear,30
you,29
katulad,29
Kyoto,29
mamatay,29
n'yo,29
planeta,29
show,29
langis,29
Ivan,29
Huy,29
nakalimutan,29
maliit,29
tren,29
malaki,29
takot,28
sigurado,28
kayang,28
matagal,28
of,28
nilang,28
Ok,28
no,28
my,28
kada,28
dyan,28
yes,28
baby,28
tumingin,28
kotse,28
pumasok,28
ano'ng,28
magsalita,27
me,27
buwan,27
well,27
sa'yo,27
namang,27
Miss,27
natatakot,27
tawagan,27
masaya,27
makina,27
dun,26
lalaking,26
ilog,26
naku,26
nalaman,26
maaaring,26
naninirahan,26
ulo,26
Tumahimik,26
niyong,26
makuha,26
Barking,26
magagawa,26
iniisip,26
sumama,26
parehong,26
pangunahing,26
J,25
a,25
Virus,25
kitang,25
bigyan,25
Opo,25
minuto,25
car,25
naisip,25
unang,24
karagatan,24
pareho,24
likod,24
nandoon,24
Cub,24
pano,24
eksena,24
buksan,24
manatili,24
Su-an,24
carbon,24
Ranchhoddas,24
Ramone,24
wakas,23
mabilis,23
yang,23
basta,23
makapaniwala,23
asawa,23
tumigil,23
yaman,23
liwanag,23
pamilya,23
ipakita,23
Jeremy,23
sobrang,23
kalikasan,23
kalokohan,23
mahirap,23
kamahalan,23
kahoy,23
pagkakataon,23
ganyan,23
taas,23
parating,23
agad,22
uri,22
so,22
KAPWA,22
telepono,22
mali,22
malakas,22
siyempre,22
Dumbo,22
panganib,22
mo'ng,22
nais,22
libo,22
pinatay,22
ligtas,22
gobyerno,21
THORIN,21
pakialam,21
puno,21
namatay,21
Chatur,21
Pasensiya,21
hanapin,21
Dubai,21
halaman,21
kausapin,21
Tweet,21
Katie,21
Kenshin,21
ability,21
lawa,21
Kumusta,21
libong,21
mag-alala,21
ito'y,21
magkaroon,21
syudad,21
Excuse,21
mamaya,21
harap,20
naiintindihan,20
maupo,20
guwapo,20
Dad,20
ilan,20
palm,20
dugo,20
kailan,20
Saki,20
tumawag,20
klima,20
lagi,20
ulit,20
kama,20
Katsuji,20
Toddy,20
masama,20
lakas,20
Fresnoy,20
hirap,20
ice,19
nahuli,19
nanay,19
hot,19
mismo,19
I'm,19
nakakaraan,19
puwet,19
ibibigay,19
huh,19
pagiging,19
ganoon,19
darating,19
Mama,19
Sighs,19
may-ari,19
makukuha,19
grabe,19
guys,19
mangyayari,19
tabi,19
babalik,19
tawag,19
bahala,19
kuwarto,19
ulan,19
maayos,19
laban,19
pera,18
tuloy,18
kumain,18
mahalaga,18
tunay,18
Aleman,18
Wangdu,18
ganitong,18
pangako,18
kalimutan,18
boypren,18
nagkaroon,18
subukan,18
tanong,18
kanina,18
species,18
salita,18
Uy,18
ibigay,18
please,18
tignan,18
on,18
ganun,18
sakit,18
I,18
muli,18
nahanap,18
card,18
s'ya,18
Tigil,17
kalahati,17
mahilig,17
nyang,17
pati,17
Chanchad,17
narito,17
nagiging,17
mata,17
kagabi,17
mabuhay,17
Control,17
pum,17
nakaraan,17
gamitin,17
daw,17
galit,17
ginagamit,17
bakla,17
pamamagitan,17
litrato,17
maalala,17
mag,17
papunta,17
episode,17
kamatayan,17
ayoko,17
pangangailangan,17
umaasa,16
Turbo,16
sulat,16
Sugita,16
likas,16
kinuha,16
kwento,16
yelo,16
engineer,16
panoorin,16
Jin-hee,16
mamamatay,16
bears,16
sundalo,16
mawala,16
eto,16
kakaiba,16
naaalala,16
kesa,16
up,16
Kuha,16
tahimik,16
batang,16
bayag,16
lampin,16
Sinong,16
panginoon,16
naririnig,16
Daejeon,16
iligtas,16
puro,16
krus,16
gawa,16
nanganganib,16
ORC,16
agrikultura,16
out,16
good,16
hinahanap,16
ibinigay,15
andito,15
are,15
for,15
gaano,15
nalalaman,15
baril,15
pagod,15
palagay,15
Buti,15
nakakatakot,15
disyerto,15
ring,15
Pasensya,15
natural,15
bundok,15
patawarin,15
yon,15
Whoa,15
Ayokong,15
tatlong,15
nun,15
uncensored,15
maintindihan,15
laman,15
nilalang,15
mangyari,15
sarap,15
isda,15
isipin,15
maari,15
tamang,15
tiwala,15
papuntang,15
estudyante,15
Butler,15
dating,15
dalhin,15
kaguluhan,15
inumin,15
apoy,14
gawing,14
pag-asa,14
pagdating,14
halimbawa,14
Mona,14
palaki,14
hubad,14
Himura,14
bumili,14
kailanman,14
Soo-an,14
simula,14
Chief,14
sina,14
sinira,14
Dog,14
Hesus,14
ina,14
naintindihan,14
Sweetie,14
kabundukan,14
station,14
Engineering,14
papatayin,14
titi,14
kasal,14
nyong,14
gutom,14
zombie,14
mahusay,14
labi,14
Kim,14
katawan,14
kayamanan,14
tumakbo,14
lumaki,14
baba,14
Tumabi,14
Tumayo,14
tuwing,14
wherethebearsare.tv,13
Aya,13
libro,13
klase,13
katotohanan,13
Aba,13
ako'y,13
kalawakan,13
Tandaan,13
mahahanap,13
Kapoor,13
Kaoru,13
mag-isa,13
Tiny,13
New,13
exam,13
emergency,13
malalaman,13
sapat,13
itsura,13
sumunod,13
papaano,13
phone,13
Eagle,13
DRAGON,13
Pasko,13
handa,13
ibaba,13
ibabaw,13
nakakatawa,13
nagtatrabaho,13
dadaan,13
nagsimula,13
ipapakita,13
naalala,13
pwedeng,13
Honey,13
ideya,13
ikot,13
paggawa,13
gaya,13
Gidget,13
opisina,13
ate,13
Viper,12
limang,12
lebel,12
Punta,12
pataas,12
itlog,12
Itigil,12
e-mail,12
pasok,12
mabait,12
magkakaroon,12
bola,12
gayon,12
magnanakaw,12
magaralgal,12
pong,12
suot,12
Hi,12
guwapong,12
maniwala,12
sama,12
Datu,12
nag,12
Pranses,12
papel,12
mahanap,12
pinili,12
sira,12
plano,12
sexy,12
kalaban,12
oil,12
dioxide,12
Rapanui,12
gas,12
masamang,12
malayo,12
pwersa,12
relasyon,12
ding,12
balita,12
balanse,12
tong,12
umupo,12
apat,12
susi,12
Um,12
kainin,11
pusa,11
matapos,11
Magkita,11
time,11
karne,11
lupain,11
Thanksgiving,11
Bosselet,11
pool,11
Joy,11
misyon,11
linya,11
kumakain,11
tumpok,11
aktor,11
Tugtog,11
nawawala,11
Natutuwa,11
KILI,11
nakaraang,11
BILBO,11
Tanggapin,11
nandun,11
hingal,11
grado,11
Panting,11
kaarawan,11
computer,11
Nasan,11
pag-ibig,11
Palakpakan,11
is,11
makapaniwalang,11
sandata,11
Chuckles,11
extra,11
pantalon,11
pansinin,11
Danny,11
Iori,11
seryoso,11
Sasama,11
sex,11
malalaking,11
gotta,11
Sigaw,11
buddy,11
pagitan,11
naghahanap,11
dala,11
Dali,11
Rastogi,11
Rechampot,11
una,11
Kuya,11
langit,11
yata,11
niyan,11
Contestant,11
nanalo,11
naglagay,11
sangkatauhan,11
sumasayaw,10
ginamit,10
Mister,10
bar,10
usok,10
utos,10
Where,10
lihim,10
Africa,10
atmosphere,10
dami,10
pessimist,10
Europa,10
isla,10
pen,10
Pendleton,10
boyfriend,10
lumang,10
sigurong,10
cap,10
lumalaking,10
teritoryo,10
sukat,10
magalala,10
magkano,10
Springs,10
magagandang,10
kapangyarihan,10
kapaligiran,10
mataas,10
mahigit,10
pinakamalaking,10
sala,10
sa'kin,10
Silencer,10
Germany,10
pagdiriwang,10
pagpunta,10
pagkakamali,10
sinubukan,10
paligid,10
butil,10
butas,10
school,10
pagkamatay,10
Paalam,10
san,10
pinuno,10
pinakamataas,10
makarating,10
mundong,10
impormasyon,10
gabing,10
