word,count
bir,18847305
bu,11077741
ne,8032355
ve,7772557
için,5485281
mi,5360367
o,5024245
ben,4918657
çok,4855550
de,4803923
ama,4670240
var,4392390
Evet,4351651
mı,4001750
değil,3892280
şey,3605040
da,3557546
hayır,3433864
daha,3319558
sen,3289507
kadar,2698560
bana,2662108
yok,2494631
onu,2477422
seni,2458377
bunu,2447799
beni,2446718
gibi,2429801
iyi,2385762
tamam,2344085
her,2265704
benim,2232405
sana,2065292
ki,1954747
neden,1867828
zaman,1810096
senin,1807668
sadece,1799180
burada,1781340
nasıl,1657515
olduğunu,1627266
hiç,1574322
sonra,1545855
şimdi,1543416
en,1482202
ya,1454843
öyle,1442117
mu,1425255
şu,1378758
misin,1338434
hadi,1319461
önce,1292404
biraz,1270862
musun,1220651
güzel,1214823
oldu,1142015
böyle,1141159
ona,1117819
lütfen,1096464
İyi,1094341
yani,1066037
bile,1064323
artık,1025319
bak,1021188
geri,1018921
onun,1014870
istiyorum,979029
peki,966279
eğer,957138
çünkü,955448
kim,951013
biliyorum,937562
gerçekten,929222
başka,922731
tek,905440
olarak,900649
belki,888319
doğru,884863
Bay,877516
büyük,859201
buraya,850000
biri,837693
olan,824865
olur,809392
Hey,796525
adam,793925
olacak,786622
hiçbir,775269
efendim,768775
demek,754143
yardım,753137
biz,738460
ile,732005
nerede,723870
sanırım,722205
tanrım,719944
tüm,707027
orada,705554
bilmiyorum,701288
gün,695217
fazla,692354
ederim,692257
bunun,692082
şeyi,683592
teşekkürler,682401
yeni,680115
et,674246
son,673631
Merhaba,657426
kötü,655813
gece,651127
şeyler,649750
İşte,646843
biliyor,641852
iki,640009
sorun,624900
tam,620986
bütün,613145
hemen,608626
harika,608242
olsun,606064
gerek,602476
ol,601641
siz,593065
onları,576288
size,571620
üzgünüm,569605
gel,563453
diye,563179
küçük,562669
devam,541913
teşekkür,541768
bayan,540145
tabii,537302
olabilir,536714
aynı,532085
ver,531965
yüzden,529642
kendi,529539
bize,524169
bizi,520894
haydi,520781
hakkında,519576
kız,510472
oluyor,503333
izin,495661
sizi,491413
iş,490468
buna,488209
dur,485120
git,475031
kimse,473247
geldi,464824
bizim,463975
asla,463795
yoksa,457767
göre,454252
mısın,454185
seninle,452981
vardı,451649
