word,count
ہے,11418
میں,10019
کے,9512
آپ,5251
نہیں,5166
کی,4754
سے,4588
ایک,4511
ہیں,4333
کو,4101
اس,3875
نے,3645
یہ,3550
کیا,3517
تم,3240
اور,3054
وہ,2635
ہو,2573
ہم,2555
کر,2533
کہ,2469
لئے,2377
پر,2073
ہوں,2015
تھا,1983
کا,1925
مجھے,1856
بھی,1361
کرنے,1324
تو,1323
ٹھیک,1270
رہے,1246
گا,1183
کچھ,1180
کوئی,1159
رہا,1150
سب,1105
یہاں,1076
ساتھ,1044
ہاں,1028
اسے,987
گیا,983
ان,978
اب,946
لیکن,928
طرح,916
سکتے,908
صرف,874
میرے,769
اپنے,741
گے,738
بہت,734
سکتا,723
زیادہ,704
جی,704
بات,701
کسی,651
جاؤ,637
دیا,618
چلو,617
جا,587
بارے,581
کرنا,572
دو,570
باہر,560
تھے,556
کریں,539
ضرورت,538
میری,538
حاصل,536
تمہیں,533
طور,520
جانتے,519
کہا,517
وہاں,511
جو,510
آ,510
ہی,507
ن,505
چاہتے,500
جائے,488
وقت,482
پھر,468
کرتے,463
اچھا,463
کام,457
اگر,449
ء,448
کرو,443
یا,441
کیوں,438
تک,428
کبھی,426
چاہتا,421
کس,415
لے,412
³,408
انہوں,402
پہلے,389
لگتا,385
ہمارے,383
جب,383
مل,377
واپس,371
کرتا,366
کہاں,365
ہ,360
مجھ,358
ہر,351
ہمیں,342
نہ,342
لوگوں,334
طرف,331
تمام,328
ظ,327
اپنی,321
پاس,319
خ,315
مدد,313
آدمی,306
ایسا,305
ش,301
میرا,299
ي,296
پتہ,296
کون,289
تھی,288
بعد,287
دیکھ,287
ارے,285
شکریہ,278
لوگ,276
ہج,274
یقین,274
دے,274
گھر,272
إ,272
بند,267
نام,263
لیا,262
والا,253
ماں,250
لیے,247
کوشش,245
¹,245
چھوڑ,244
جانا,241
اوہ,241
ہوگا,239
تلاش,238
گی,237
جاتا,231
نیچے,230
ہوا,228
خیال,227
وجہ,226
بس,215
رات,214
صاحب,211
بار,211
دن,210
دیکھو,210
جانے,209
خدا,208
دور,200
چاہئے,200
جگہ,199
رہی,199
بالکل,197
مطلب,196
دیکھا,195
تمہارے,193
کیلئے,192
انتظار,192
تیار,191
ابھی,191
کرے,189
جانتا,189
د,187
جنگ,187
ہونا,184
دنیا,182
معلوم,181
استعمال,180
شاید,178
والد,177
پاگل,177
گئے,176
ہمیشہ,176
سر,176
رکو,174
واقعی,173
¼,173
کیونکہ,172
سال,171
کم,169
آج,169
زندگی,168
بغیر,166
ہونے,166
دیں,164
ضروری,161
ہماری,160
یاد,159
پسند,159
رہو,157
سمجھ,156
خود,156
کہہ,155
کیسے,152
پیچھے,152
ختم,151
فون,148
نہيں,148
مر,148
چیز,147
قسم,146
آئے,146
شروع,145
مت,144
اندر,143
اچھی,142
والے,142
ہا,141
کروں,141
انہیں,141
یہی,141
منٹ,141
و,140
ویسے,140
معاف,140
سی,140
نمبر,139
نظر,138
بہتر,138
تمہاری,137
خوش,136
منتقل,136
مہربانی,136
براہ,135
مار,133
دوسرے,132
¾ئ,132
جس,131
محبت,131
دوست,131
مسئلہ,130
محفوظ,130
تین,130
اہ,130
صحیح,130
گئی,129
ہوئے,129
شہر,129
جیسے,126
آخر,124
کافی,124
بن,123
موجود,123
ملا,122
کہیں,121
سوچا,121
ہوتا,121
ڈاکٹر,121
قتل,120
پوشیدہ,119
آیا,118
بڑا,118
وکٹر,118
µ,117
سچ,115
لو,115
دی,114
جہاں,114
چلا,113
آئی,113
ؤ,113
