word,count
tôi,904099
không,851290
là,608817
có,591801
anh,589865
ta,454658
của,336947
đi,332226
đã,317348
chúng,312657
sẽ,309963
đó,308437
gì,301900
được,297043
một,295821
và,280694
cô,267507
làm,262035
phải,261402
rồi,256913
người,251917
này,248550
cho,236888
đây,225596
em,217565
con,216028
sao,204840
ở,200129
nó,197852
ông,197361
biết,197217
nói,194582
thể,193535
cậu,182089
với,180834
thế,177692
lại,173439
ra,172787
vậy,166151
nào,157557
để,154756
ấy,149831
cái,149435
đang,146127
trong,137980
như,137779
muốn,136152
mà,135159
nhưng,132221
đến,124702
đâu,124237
những,123918
khi,122005
chuyện,115501
chỉ,114473
cả,113210
về,109567
thì,109045
họ,108633
thôi,106495
giờ,105698
còn,104762
thấy,104691
vào,100622
cũng,100474
các,99615
đấy,96154
bị,95524
ai,93827
nghĩ,93056
thật,92712
hắn,91787
nếu,89156
mình,88975
i,86199
nữa,84193
việc,83545
cần,83391
rất,83155
vì,82258
chứ,79074
à,78584
điều,77468
sự,74074
lên,71146
tới,70775
thứ,70187
xin,69929
chưa,69055
từ,67740
nhà,67671
đúng,67102
nghe,65590
hơn,65083
bạn,65063
mọi,64702
mẹ,64626
mày,63038
chết,62761
nên,61667
đầu,61414
ơn,60575
đừng,60324
tìm,60107
n,59536
tốt,58736
tớ,57800
ng,57411
tin,55126
hãy,54799
quá,53548
nhiều,53110
trước,52756
cảm,52619
t,52411
tao,51901
công,51477
ý,51304
nhất,51193
hay,50875
bố,50536
tất,50184
tên,49706
bà,49223
trên,49136
bao,48656
lỗi,46819
tại,46707
thành,46563
theo,45798
cháu,45695
sau,45374
xem,45198
ngày,45161
qua,45108
khác,44463
c,44293
bắt,43733
ngay,43716
nhìn,43378
cùng,43308
vẫn,43141
chắc,43076
cứ,43021
gặp,42950
yêu,42946
bọn,42878
cách,42783
y,42597
sống,42594
thích,42151
lúc,41369
giết,41195
mới,41024
đưa,40626
lắm,40573
chào,40459
ngài,40452
quan,40092
bảo,39816
hết,38893
gọi,38490
hai,38478
ngươi,38382
rằng,37991
lấy,37953
ăn,37713
giúp,37559
hiểu,37392
tự,37224
tay,36829
lần,36707
chính,36457
cha,36030
nhân,35318
bỏ,35274
cuộc,34969
mất,34910
vụ,34348
xe,34325
năm,34319
hả,33964
nhận,33062
a,32879
chúa,32474
khỏi,32116
cơ,31561
định,31305
gia,31144
nhé,30951
nay,30947
la,30921
thời,30778
do,30700
tiền,30370
trở,30307
đường,30249
mặt,30186
xuống,29596
nơi,29504
động,29189
thưa,29177
luôn,29148
vâng,29082
bé,29054
nhau,28659
toàn,28567
kẻ,28549
mấy,28359
lời,28199
số,28006
gái,28004
ngoài,27991
nhanh,27821
đồ,27747
từng,27741
bây,27514
sát,27485
thực,27449
bất,27358
thằng,27336
chiến,27335
hàng,26849
phòng,26772
chẳng,26594
chị,26542
quay,26453
nhớ,26445
chỗ,26329
chú,26301
bằng,26276
đại,26114
chút,26047
cố,25804
học,25676
bên,25669
tuyệt,25623
lý,25466
nhiên,25454
sĩ,25442
tiếp,25406
cứu,25378
ơi,25180
m,24953
ổn,24865
hỏi,24804
tâm,24668
lẽ,24654
đồng,24588
gian,24583
vui,24578
vị,24494
tình,24421
u,24389
bộ,24379
máy,24195
ba,24061
đánh,24034
sinh,24001
đều,23974
trả,23856
đề,23756
trai,23491
kia,23215
nước,23214
giống,23073
chơi,23070
xảy,23025
vài,22976
hành,22903
tối,22788
cảnh,22749
giữ,22684
Ừ,22473
giới,22219
câu,22199
kết,21989
hiện,21582
vô,21322
ko,21319
báo,21269
vừa,21043
chờ,20880
tưởng,20874
lo,20738
tiếng,20724
bởi,20666
đẹp,20551
hình,20415
viên,20265
đáng,20120
hôm,19794
bình,19693
thần,19652
trọng,19626
vấn,19376
tra,19319
lâu,19188
thông,19119
đủ,19101
lớn,19046
sáng,19023
bắn,18943
sợ,18732
ca,18612
cuối,18594
rõ,18521
biệt,18437
bác,18426
cám,18408
giải,18365
trung,18314
cửa,18307
phụ,18285
thương,18208
quân,18193
vẻ,18121
dùng,18071
đội,18071
thường,18033
Oh,18031
hợp,17939
chạy,17880
bản,17827
mang,17795
tiên,17778
Ôi,17771
cầu,17713
hội,17439
an,17400
co,17346
nh,17312
xác,17273
bay,17241
thêm,17161
thân,17127
thay,17120
cổ,17100
trời,17023
đời,16895
liên,16880
vệ,16789
nhỏ,16749
đổi,16739
ngủ,16695
đứa,16691
chiếc,16513
điện,16501
sư,16388
phát,16357
nghĩa,16310
xa,16298
dù,16019
ma,16012
tội,15987
gần,15949
hoàn,15800
đối,15780
đất,15706
đêm,15693
nữ,15678
trẻ,15665
nhỉ,15611
trường,15574
đợi,15519
đứng,15468
ạ,15461
tính,15135
trông,15127
ngồi,15044
coi,15032
bệnh,14908
năng,14886
tập,14588
sẵn,14510
quyết,14459
súng,14402
khó,14358
vọng,14358
dừng,14342
kể,14290
cao,14267
mở,14163
xong,14161
chuyển,14161
sắp,14129
vật,14117
chịu,14074
giá,14069
tử,14064
chứng,13981
kiểm,13943
ảnh,13866
chọn,13865
thống,13859
dưới,13814
thư,13803
hoặc,13797
đấu,13675
mắt,13633
mạnh,13630
điên,13621
kế,13616
kiếm,13575
đa,13560
đàn,13550
chủ,13523
biến,13516
thử,13505
uống,13439
ít,13429
đình,13385
cu,13327
trưởng,13289
phần,13266
o,13252
tiến,13226
phía,13130
lòng,13097
no,13095
trái,13086
quái,13042
lực,13006
loại,12988
tàu,12908
thức,12842
sàng,12762
dụng,12541
quả,12507
phút,12393
thuốc,12363
điểm,12328
dễ,12291
sai,12291
minh,12284
khốn,12196
kỳ,12164
gã,12107
chắn,12098
mừng,12092
hạ,12072
chân,12063
đau,12040
quên,12014
tệ,12009
vợ,11915
Ồ,11913
to,11906
trí,11879
yeah,11867
hơi,11852
kìa,11841
sức,11828
the,11811
thủ,11807
đặc,11762
duy,11670
may,11664
kinh,11651
vũ,11595
quyền,11561
tuần,11509
chu,11470
khí,11443
tư,11422
hiệu,11341
trò,11324
đặt,11246
quý,11241
mỗi,11236
phố,11202
ư,11198
mau,11170
đô,11153
yên,11127
tạo,11124
quốc,11107
tài,11103
phép,11098
cá,11075
na,11060
va,10996
mua,10964
dân,10947
đôi,10895
bài,10888
nổi,10884
buổi,10879
mai,10879
chuẩn,10831
phá,10819
khách,10736
hệ,10720
diễn,10707
pháp,10677
phục,10676
dẫn,10672
tháng,10666
mặc,10660
tục,10649
tiêu,10642
khiến,10637
độ,10608
đơn,10549
khu,10530
máu,10529
hoàng,10511
thú,10485
chi,10468
hôn,10455
hiểm,10442
tinh,10361
tuổi,10319
nhiệm,10261
nhiêu,10244
luật,10180
mạng,10172
cây,10105
tránh,10075
tranh,9962
chó,9946
thúc,9921
thắng,9910
phạm,9909
chúc,9895
danh,9887
tấn,9873
bàn,9870
p,9820
nghi,9815
hy,9812
sách,9763
thoại,9759
gây,9699
xấu,9678
xuất,9651
thiết,9621
thoát,9616
mật,9616
trình,9592
tiệt,9578
áo,9555
hoa,9540
thê,9531
liệu,9465
tượng,9460
cấp,9424
đê,9408
sếp,9403
lạc,9335
giả,9259
gi,9236
chí,9224
xử,9218
khá,9215
dự,9196
đo,9178
lệnh,9162
địa,9146
pha,9098
thi,9091
rời,9067
chàng,9060
nằm,9034
hứa,9030
giáo,8999
thanh,8986
đoán,8958
hoạch,8944
ch,8910
ngon,8909
bán,8905
hướng,8878
tạm,8857
mời,8851
di,8834
thuật,8808
thiên,8774
sớm,8752
nguy,8750
mô,8714
giữa,8679
cánh,8618
mục,8606
sử,8603
you,8602
dậy,8581
vời,8564
ổng,8563
phản,8552
dối,8550
ngu,8522
dịch,8518
bóng,8487
ha,8484
nhóc,8483
tĩnh,8470
thuyền,8437
hại,8426
viết,8424
giỏi,8390
mơ,8387
hồ,8377
hộ,8369
nghỉ,8368
tim,8368
đá,8355
trốn,8350
giao,8328
phi,8316
căn,8261
lượng,8236
dấu,8228
lập,8208
da,8196
vòng,8171
hey,8160
trị,8140
lũ,8139
bước,8131
tế,8127
đọc,8063
kiểu,8040
tù,8037
băng,8028
tổng,8020
okay,7992
Mỹ,7986
vua,7985
nạn,7972
phim,7960
rối,7952
thận,7931
se,7927
viện,7887
càng,7873
lạ,7854
đóng,7845
ban,7841
tham,7818
đươ,7802
đức,7767
cười,7758
ngốc,7738
bí,7676
rượu,7672
tác,7670
tức,7627
hề,7617
đám,7544
bánh,7529
vi,7504
trang,7481
già,7477
hồi,7474
thầy,7453
tụi,7452
gửi,7411
đùa,7411
độc,7402
nhảy,7400
mong,7395
cẩn,7383
đông,7364
án,7311
khoan,7306
nghiệp,7306
sơ,7304
thu,7259
văn,7239
giác,7227
khoảng,7217
cáo,7212
l,7201
đầy,7198
câ,7194
hẹn,7189
khả,7182
thất,7179
lái,7167
trừ,7155
tha,7150
kéo,7145
món,7142
nghiệm,7099
suy,7094
khỏe,7093
trận,7079
nè,7061
hạnh,7051
hóa,7026
khủng,7002
triệu,7001
lửa,7000
im,6981
mãi,6974
suốt,6956
bức,6874
biển,6843
dành,6807
quanh,6794
tương,6792
nổ,6791
thù,6775
màu,6775
tiếc,6774
kiếp,6747
hoạt,6742
dài,6737
chả,6736
đỡ,6731
rô,6721
nàng,6692
nhật,6677
buồn,6643
bữa,6604
riêng,6594
đạo,6589
vâ,6588
chống,6582
lính,6573
thả,6569
thị,6551
binh,6544
ngờ,6543
thẳng,6536
nguyên,6532
lịch,6529
thâ,6520
thuộc,6520
linh,6515
đem,6513
chừng,6474
chồng,6459
cầm,6454
ly,6444
chất,6442
khóa,6440
đuổi,6431
chức,6430
mắn,6429
ngăn,6406
tổ,6359
nhập,6324
gắng,6319
nha,6280
dạy,6279
ngươ,6265
nam,6258
đạn,6244
kiến,6221
quen,6215
phương,6212
ho,6174
dây,6124
hủy,6117
ngôi,6108
chia,6105
ghét,6098
sở,6091
mi,6064
truyền,6050
lão,6034
đen,6029
ghi,6028
hẳn,6020
thiếu,6008
cắt,5992
cũ,5980
vàng,5979
tây,5960
lợi,5957
trách,5955
ký,5935
lắng,5929
bi,5901
thậm,5893
hi,5875
âm,5866
phân,5850
trợ,5844
ngoại,5834
đảm,5826
chế,5817
nga,5799
tòa,5796
tai,5791
lối,5786
lựa,5783
vết,5773
ơ,5754
nghiêm,5750
nghị,5727
huy,5723
nhắc,5717
dám,5716
biê,5684
uh,5678
bại,5657
ngựa,5635
cướp,5635
kì,5632
quần,5632
đổ,5615
đằng,5611
lầm,5609
nửa,5606
phiền,5602
chung,5601
mối,5591
quỷ,5556
ước,5550
chấp,5545
John,5525
ok,5521
tá,5518
cưới,5506
ràng,5497
mã,5493
chuyến,5477
cư,5455
tiệc,5454
nhờ,5440
vùng,5408
tận,5363
hát,5361
cử,5354
vượt,5346
lai,5344
tiểu,5326
cưng,5309
th,5292
kích,5282
v,5274
đoàn,5259
tích,5199
thái,5187
thịt,5168
săn,5150
rơi,5148
đâ,5138
nhóm,5137
phù,5122
khăn,5119
nóng,5116
nhạc,5084
ô,5083
bắc,5079
thuyết,5066
tướng,5050
dữ,5032
lễ,5028
rắc,5025
trắng,5005
giây,4990
giấy,4990
thuận,4987
tăng,4986
tiết,4981
kim,4978
du,4975
tỉnh,4956
vơ,4952
tóc,4951
xét,4941
buộc,4930
phúc,4915
huynh,4913
cực,4912
vương,4909
cung,4882
lạnh,4877
chăm,4874
and,4867
mái,4866
trộm,4835
sa,4828
soát,4816
tường,4780
cộng,4779
yếu,4776
sản,4743
túi,4739
phí,4708
ứng,4693
giận,4691
miệng,4689
mức,4686
b,4678
sửa,4673
ty,4664
lệ,4660
tín,4649
sâu,4641
hùng,4635
dõi,4634
phóng,4598
thượng,4591
bom,4581
đảo,4580
cuốn,4569
khai,4567
lừa,4551
đỏ,4548
phủ,4548
hòa,4522
hưởng,4522
lãnh,4506
diện,4500
khỉ,4493
thánh,4486
hậu,4465
ích,4464
thở,4451
đột,4448
ác,4446
chương,4446
cơn,4444
tí,4420
cà,4419
diệt,4413
luyện,4408
hầu,4407
rút,4392
ánh,4389
kỹ,4385
tô,4376
nỗi,4373
Jack,4368
thề,4355
xúc,4353
hồn,4342
nặng,4337
loạn,4334
me,4332
chuyên,4324
phong,4315
chim,4314
kính,4310
sang,4308
giơ,4306
loài,4294
chữa,4268
tấm,4265
biểu,4263
thủy,4260
dĩ,4251
kho,4250
lộ,4248
thỏa,4233
ti,4230
xanh,4221
Frank,4219
vực,4217
ah,4216
lớp,4214
á,4208
não,4205
cạnh,4203
sạch,4196
đoạn,4185
khẩu,4179
trại,4176
xếp,4168
giản,4166
tắt,4159
mùi,4159
bận,4158
nhẫn,4148
quy,4147
sóc,4138
đón,4129
Sam,4126
lí,4119
núi,4117
hộp,4108
giấu,4099
so,4089
ấn,4077
lá,4073
tồi,4067
hỏng,4058
phu,4057
tầm,4056
thăm,4055
ngừng,4040
siêu,4025
sót,4020
tôn,4010
â,3995
lành,3991
lưu,3981
quán,3980
Ê,3975
ngạc,3973
New,3968
thuê,3968
đập,3924
trực,3923
thừa,3914
dựng,3912
lặng,3892
sân,3890
khắp,3889
chà,3883
tầng,3878
quà,3872
nhắn,3867
mắc,3864
quản,3860
nguyện,3858
hạn,3855
khoa,3854
nội,3841
đài,3841
tộc,3839
dọn,3820
nợ,3820
ngân,3816
giám,3812
chặn,3810
truy,3807
muộn,3806
nắm,3792
nguồn,3767
in,3762
tắm,3757
chạm,3751
giấc,3749
đống,3744
đích,3743
cục,3740
kiện,3739
of,3738
tồn,3733
hiệp,3730
tàn,3714
khởi,3707
hảo,3705
mùa,3685
say,3675
hữu,3657
hút,3644
xây,3641
rừng,3630
thua,3625
bạc,3592
xinh,3589
ẩn,3571
chìa,3568
ờ,3568
ném,3560
chặt,3556
giường,3552
nhầm,3544
đẩy,3519
đói,3517
bang,3516
thang,3513
bốn,3512
mê,3510
phận,3507
dòng,3501
áp,3500
vận,3475
phê,3470
dính,3467
chụp,3457
hào,3442
h,3435
tờ,3433
nghệ,3428
can,3423
trấn,3423
đèn,3421
khóc,3421
sổ,3419
chậm,3418
muô,3414
mẫu,3414
ngàn,3401
nuôi,3374
hổ,3367
khắc,3367
lưng,3358
lùi,3355
chữ,3355
chư,3349
cháy,3345
úy,3338
khổ,3320
mệnh,3317
chán,3316
kêu,3308
trễ,3294
dọa,3291
whoa,3290
đào,3289
tốc,3288
biên,3284
luận,3282
s,3282
đe,3275
tung,3272
đệ,3268
dàng,3262
hoang,3261
vê,3257
kỷ,3256
túc,3253
hầm,3247
dị,3230
xứng,3228
dương,3221
vinh,3219
ngục,3211
trạng,3209
vỡ,3187
dục,3183
nghiên,3179
ả,3179
triển,3177
lỗ,3168
ninh,3167
bầu,3166
ám,3166
my,3163
trải,3162
châu,3158
giảm,3154
mũi,3147
tiện,3129
e,3128
ga,3120
khiển,3111
mệt,3107
dao,3101
chiều,3095
lô,3095
bội,3080
đư,3077
xung,3070
vĩ,3070
tặng,3060
tóm,3056
che,3052
sông,3046
ngoan,3040
hải,3039
