word,count
的,2349598
我,2079887
你,1937052
了,1351854
是,972547
在,625250
我們,542036
他,522497
嗎,475591
不,415184
有,366008
說,362541
好,359148
и,332902
吧,321654
就,317636
來,298865
她,293597
都,260137
知道,257419
什麼,254457
啊,240641
對,236286
去,235487
也,223858
要,219966
很,215505
他們,210161
那,201154
人,200196
沒,193940
為,190226
會,186215
和,179300
想,179242
琌,176703
讓,165351
把,162947
不是,159318
到,157670
ぃ,149672
做,147693
什么,145947
一個,144973
這,140828
得,134522
跟,126046
可以,125299
上,123398
呢,122872
這個,118149
走,116402
但,114172
就是,113869
個,113704
看,109258
能,108021
這是,105753
這樣,104418
硂,102286
怎麼,100987
們,99295
如果,98266
τ,94481
被,93419
你們,93194
事,86581
聽,84020
誰,82742
自己,82366
現在,81694
話,78831
不會,78630
從,78605
或,77718
真的,77136
因為,77082
它,76566
著,76523
沒有,75827
死,74145
不能,73630
再,71558
先生,70592
謝謝,70565
不要,69750
告訴,67370
別,66897
快,66681
那個,66546
ㄓ,65542
後,65001
只是,64787
璶,64661
需要,64336
像,63467
叫,62305
時候,62187
該,61758
可能,59247
妳,59133
但是,58372
所以,58275
又,57075
請,56616
見,55770
等,55581
還有,55315
喜歡,55199
您,55084
找,54549
一下,54320
我要,54224
這裡,54220
穦,54126
怎么,53235
一起,52915
已經,52357
哦,51997
這些,50917
才,50795
多,49712
碞,49496
ぐ,48827
殺,47849
還是,47242
裏,46918
問題,46911
孩子,46909
我會,46893
這麼,46491
馬,46098
看到,45778
錢,45715
而,45322
東西,45204
吃,43974
一樣,43957
盾,43347
應該,43120
帶,42706
幫,41792
沒事,40690
時間,40425
工作,39944
用,39916
一定,39561
哪,39131
開始,38995
長,38174
啦,38129
回來,38124
有人,38124
今天,38094
朋友,37866
嗯,37543
看看,37508
希望,37426
嘿,37284
找到,36922
地方,36385
一直,36123
當然,35525
不想,35407
天,35212
弧,35184
抱歉,34777
最,34712
拿,34534
於,34473
笵,34465
那些,34414
真是,34367
以,34059
下,33960
可,33916
中,33913
稱,33409
真,33370
不起,33055
那麼,33040
你好,33025
打,32950
爸爸,32767
更,32489
只,32470
大家,32434
相信,32411
起來,32391
所有,32112
明白,32100
事情,32068
不過,32045
一切,31881
眔,31365
覺得,31058
時,30709
非常,30694
媽媽,30624
筁,30436
想要,30415
準備,30254
發生,30001
必須,29999
大,29913
一,29764
愛,29540
嘛,29506
年,29225
ㄆ,29114
這里,28681
呀,28613
離開,28324
與,28303
比,28218
癸,27684
認為,27504
一點,27017
意思,26952
這種,26832
這兒,26757
快點,26743
太,26562
倒,26389
過來,26370
沒錯,26228
临,26124
只有,26057
跑,26039
已,25995
ネ,25356
一次,25335
可是,24508
女人,24314
不用,23858
妓,23801
拜,23784
幹,23780
世界,23701
感覺,23450
之前,23092
辦,23043
秨,22939
痷,22926
而且,22923
小,22797
出去,22650
不行,22549
之,22540
噢,22415
很多,22396
向,22337
發現,22320
常,22305
翴,22247
那樣,22042
出來,21987
一些,21953
等等,21899
ぱ,21871
嗨,21759
開,21663
喂,21618
名字,21365
月,21326
住,21286
任何,21250
生活,21162
地,21128
到底,21104
摆,21102
卻,21026
兩個,20966
里,20645
р,20387
是不是,20321
羅,20213
擔心,20203
我覺,20151
肯定,19999
他媽,19991
認識,19972
怎樣,19859
如何,19844
最好,19828
父親,19805
瞷,19698
好像,19641
男人,19636
有點,19376
所,19329
е,19268
繼續,19098
只要,19017
重要,19012
這么,18951
官,18771
買,18761
懂,18734
前,18645
不錯,18603
要是,18550
親愛的,18445
小姐,18216
電話,18174
給我,18171
明天,18135
錯,18020
回家,18018
ǐ,17802
正在,17741
得到,17657
上帝,17608
先,17475
多少,17471
新,17440
哪裡,17331
癬,17324
琵,17289
哪兒,17211
醫生,16915
今晚,16906
也許,16904
寫,16881
回去,16575
以前,16566
暗,16527
再見,16354
出,16333
它們,16283
係,16242
吹,16231
不到,16032
怎麼樣,15918
警察,15855
完全,15706
女孩,15694
安全,15644
那裡,15628
み,15618
記得,15589
兒子,15486
小心,15436
我能,15431
復,15426
ㄇ,15415
不管,15402
還好,15379
喔,15366
放,15358
掉,15301
那么,15293
好好,15272
如此,15231
送,15144
公司,15124
說過,14810
其他,14772
行,14731
弄,14692
傢,14676
搞,14668
結束,14604
聽著,14540
然后,14521
站,14518
總,14490
我來,14458
一天,14435
情況,14387
點,14350
根本,14312
進來,14311
い,14252
ㄠ,14159
礛,14157
も,14140
槍,14066
ǎ,13969
或者,13958
決定,13841
確定,13794
清楚,13791
т,13777
兄弟,13750
我現,13743
處,13725
女兒,13675
種,13642
託,13560
穿,13537
ゴ,13469
機會,13435
高興,13426
睡,13400
辦法,13396
ノ,13297
混蛋,13258
手,13230
び,13227
蛤,13144
老,13112
玩,13102
家,12973
無法,12943
那邊,12930
其實,12921
歲,12801
寶貝,12787
產,12763
有些,12724
不了,12645
伙,12593
忘,12592
喝,12568
祇,12524
完,12522
狦,12509
派,12473
過去,12313
坐,12231
歡迎,12117
ρ,12104
回事,12068
女士,12036
稲,12024
進去,12012
晚上,11903
軍,11875
ウ,11863
每個,11843
方正,11772
讽,11686
成為,11680
我想,11675
美國,11644
干,11616
玡,11599
瘋,11542
還在,11535
救,11507
克,11499
這次,11497
另,11479
不好,11470
就要,11433
我们,11359
看來,11200
故事,11172
幹什麼,11137
杠,11124
生命,11123
唯一,11103
帝,11063
幫助,11046
接受,11033
樣,11007
改變,10995
由,10956
注意,10946
打算,10944
漂亮,10936
麻煩,10912
下去,10883
竒,10856
房子,10813
還,10801
那兒,10801
鬼,10792
笑,10781
衣服,10768
街,10768
約,10750
害怕,10738
玩笑,10686
猭,10685
夢,10655
留下,10627
蹤,10558
忙,10527
砆,10477
待,10425
還要,10411
雖然,10407
疭,10400
成功,10392
第一,10343
真正,10334
爸,10329
才能,10309
那種,10296
選擇,10296
曾,10289
結婚,10285
倆,10233
钩,10214
這邊,10176
各位,10167
保護,10157
哇,10146
眖,10134
母親,10130
計劃,10081
回,10042
